; Candidate 15594
; ADRP+ADD at VM 0xfffffff009c42d68 (fileoff 0x2c3ed68): page=0x778000 add_imm=0xd58

0xfffffff009c42ce8: 10221791  add	x16, x16, #0x5c8
0xfffffff009c42cec: 10420091  add	x16, x16, #0x10
0xfffffff009c42cf0: f10313aa  mov	x17, x19
0xfffffff009c42cf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c42cf8: 300ac1da  pacda	x16, x17
0xfffffff009c42cfc: 700200f9  str	x16, [x19]
0xfffffff009c42d00: c03b0090  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c42d04: 00a03691  add	x0, x0, #0xda8
0xfffffff009c42d08: 01d0fef0  adrp	x1, #0xfffffff007645000
0xfffffff009c42d0c: 21cc2c91  add	x1, x1, #0xb33
0xfffffff009c42d10: e20313aa  mov	x2, x19
0xfffffff009c42d14: 03518052  mov	w3, #0x288
0xfffffff009c42d18: 88839a97  bl	#0xfffffff0082e3b38
0xfffffff009c42d1c: 5005ff90  adrp	x16, #0xfffffff007cea000
0xfffffff009c42d20: 10422191  add	x16, x16, #0x850
0xfffffff009c42d24: 10420091  add	x16, x16, #0x10
0xfffffff009c42d28: f10300aa  mov	x17, x0
0xfffffff009c42d2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c42d30: 300ac1da  pacda	x16, x17
0xfffffff009c42d34: 100000f9  str	x16, [x0]
0xfffffff009c42d38: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c42d3c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c42d40: ff0f5fd6  retab	
0xfffffff009c42d44: 7f2303d5  pacibsp	
0xfffffff009c42d48: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c42d4c: fd030091  mov	x29, sp
0xfffffff009c42d50: c03b0090  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c42d54: 00a03691  add	x0, x0, #0xda8
0xfffffff009c42d58: 67869a97  bl	#0xfffffff0082e46f4
0xfffffff009c42d5c: c03b0090  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c42d60: 00003691  add	x0, x0, #0xd80
0xfffffff009c42d64: 64869a97  bl	#0xfffffff0082e46f4
0xfffffff009c42d68: c03b0090  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c42d6c: 00603591  add	x0, x0, #0xd58
0xfffffff009c42d70: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c42d74: ff2303d5  autibsp	
0xfffffff009c42d78: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009c42d7c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009c42d84
0xfffffff009c42d80: 208e38d4  brk	#0xc471
0xfffffff009c42d84: 5c869a17  b	#0xfffffff0082e46f4
0xfffffff009c42d88: 7f2303d5  pacibsp	
0xfffffff009c42d8c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c42d90: fd030091  mov	x29, sp
0xfffffff009c42d94: 01d0fef0  adrp	x1, #0xfffffff007645000
0xfffffff009c42d98: 212c3d91  add	x1, x1, #0xf4b
0xfffffff009c42d9c: e204ffd0  adrp	x2, #0xfffffff007ce0000
0xfffffff009c42da0: 423046f9  ldr	x2, [x2, #0xc60]
0xfffffff009c42da4: 031b8052  mov	w3, #0xd8
0xfffffff009c42da8: 64839a97  bl	#0xfffffff0082e3b38
0xfffffff009c42dac: 5005ff90  adrp	x16, #0xfffffff007cea000
0xfffffff009c42db0: 10423b91  add	x16, x16, #0xed0
0xfffffff009c42db4: 10420091  add	x16, x16, #0x10
0xfffffff009c42db8: f10300aa  mov	x17, x0
0xfffffff009c42dbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c42dc0: 300ac1da  pacda	x16, x17
0xfffffff009c42dc4: 100000f9  str	x16, [x0]
0xfffffff009c42dc8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c42dcc: ff0f5fd6  retab	
0xfffffff009c42dd0: 5f2403d5  bti	c
0xfffffff009c42dd4: 48869a17  b	#0xfffffff0082e46f4
0xfffffff009c42dd8: 7f2303d5  pacibsp	
0xfffffff009c42ddc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c42de0: fd030091  mov	x29, sp
0xfffffff009c42de4: 50f59e97  bl	#0xfffffff008400324
