; Candidate 8899
; ADRP+ADD at VM 0xfffffff0088eb760 (fileoff 0x18e7760): page=0x1fe983000 add_imm=0xd14

0xfffffff0088eb6e0: 1706f8b7  tbnz	x23, #0x3f, #0xfffffff0088eb7a0
0xfffffff0088eb6e4: fbfe60d3  lsr	x27, x23, #0x20
0xfffffff0088eb6e8: 69230011  add	w9, w27, #8
0xfffffff0088eb6ec: 3f01176b  cmp	w9, w23
0xfffffff0088eb6f0: 88050054  b.hi	#0xfffffff0088eb7a0
0xfffffff0088eb6f4: 000140f9  ldr	x0, [x8]
0xfffffff0088eb6f8: 100040f9  ldr	x16, [x0]
0xfffffff0088eb6fc: f10300aa  mov	x17, x0
0xfffffff0088eb700: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088eb704: 301ac1da  autda	x16, x17
0xfffffff0088eb708: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0088eb70c: e90310aa  mov	x9, x16
0xfffffff0088eb710: e2730091  add	x2, sp, #0x1c
0xfffffff0088eb714: 010080d2  mov	x1, #0
0xfffffff0088eb718: 030080d2  mov	x3, #0
0xfffffff0088eb71c: f10309aa  mov	x17, x9
0xfffffff0088eb720: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff0088eb724: 11093fd7  blraa	x8, x17
0xfffffff0088eb728: e0000034  cbz	w0, #0xfffffff0088eb744
0xfffffff0088eb72c: f50300aa  mov	x21, x0
0xfffffff0088eb730: f80300f9  str	x24, [sp]
0xfffffff0088eb734: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb738: 00c42c91  add	x0, x0, #0xb31
0xfffffff0088eb73c: 39aee997  bl	#0xfffffff008357020
0xfffffff0088eb740: f30315aa  mov	x19, x21
0xfffffff0088eb744: 18070011  add	w24, w24, #1
0xfffffff0088eb748: e8fe9f92  mov	x8, #-0xfff8
0xfffffff0088eb74c: 0800b0f2  movk	x8, #0x8000, lsl #16
0xfffffff0088eb750: 6803088b  add	x8, x27, x8
0xfffffff0088eb754: f7021c8b  add	x23, x23, x28
0xfffffff0088eb758: 1f0114eb  cmp	x8, x20
0xfffffff0088eb75c: e8faff54  b.hi	#0xfffffff0088eb6b8
0xfffffff0088eb760: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb764: 00503491  add	x0, x0, #0xd14
0xfffffff0088eb768: 78000094  bl	#0xfffffff0088eb948
0xfffffff0088eb76c: 13008052  mov	w19, #0
0xfffffff0088eb770: e00313aa  mov	x0, x19
0xfffffff0088eb774: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088eb778: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088eb77c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088eb780: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088eb784: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0088eb788: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0088eb78c: ff030291  add	sp, sp, #0x80
0xfffffff0088eb790: ff0f5fd6  retab	
0xfffffff0088eb794: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb798: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088eb79c: 6b000094  bl	#0xfffffff0088eb948
0xfffffff0088eb7a0: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb7a4: 00603691  add	x0, x0, #0xd98
0xfffffff0088eb7a8: 68000094  bl	#0xfffffff0088eb948
0xfffffff0088eb7ac: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb7b0: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088eb7b4: 65000094  bl	#0xfffffff0088eb948
0xfffffff0088eb7b8: 7f2303d5  pacibsp	
0xfffffff0088eb7bc: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088eb7c0: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0088eb7c4: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0088eb7c8: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088eb7cc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088eb7d0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088eb7d4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088eb7d8: fdc30191  add	x29, sp, #0x70
0xfffffff0088eb7dc: 164840f9  ldr	x22, [x0, #0x90]
