; Candidate 3978
; ADRP+ADD at VM 0xfffffff00877e008 (fileoff 0x177a008): page=0x1fe9b3000 add_imm=0xd90

0xfffffff00877df88: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00877df8c: ff830091  add	sp, sp, #0x20
0xfffffff00877df90: ff0f5fd6  retab	
0xfffffff00877df94: 7f2303d5  pacibsp	
0xfffffff00877df98: ff0301d1  sub	sp, sp, #0x40
0xfffffff00877df9c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00877dfa0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00877dfa4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00877dfa8: fdc30091  add	x29, sp, #0x30
0xfffffff00877dfac: f30303aa  mov	x19, x3
0xfffffff00877dfb0: f50302aa  mov	x21, x2
0xfffffff00877dfb4: f40300aa  mov	x20, x0
0xfffffff00877dfb8: 6ce4fe97  bl	#0xfffffff008737168
0xfffffff00877dfbc: 1094fff0  adrp	x16, #0xfffffff007a00000
0xfffffff00877dfc0: 10e23c91  add	x16, x16, #0xf38
0xfffffff00877dfc4: 10420091  add	x16, x16, #0x10
0xfffffff00877dfc8: f10300aa  mov	x17, x0
0xfffffff00877dfcc: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00877dfd0: 300ac1da  pacda	x16, x17
0xfffffff00877dfd4: 100000f9  str	x16, [x0]
0xfffffff00877dfd8: 4094ff90  adrp	x0, #0xfffffff007a05000
0xfffffff00877dfdc: 00a01891  add	x0, x0, #0x628
0xfffffff00877dfe0: 4561ef97  bl	#0xfffffff0083564f4
0xfffffff00877dfe4: 01008052  mov	w1, #0
0xfffffff00877dfe8: e20315aa  mov	x2, x21
0xfffffff00877dfec: b6700094  bl	#0xfffffff00879a2c4
0xfffffff00877dff0: 80da02f9  str	x0, [x20, #0x5b0]
0xfffffff00877dff4: f54effb0  adrp	x21, #0xfffffff00715a000
0xfffffff00877dff8: b5fe0d91  add	x21, x21, #0x37f
0xfffffff00877dffc: 600100b5  cbnz	x0, #0xfffffff00877e028
0xfffffff00877e000: c8078052  mov	w8, #0x3e
0xfffffff00877e004: f52300a9  stp	x21, x8, [sp]
0xfffffff00877e008: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877e00c: 00403691  add	x0, x0, #0xd90
0xfffffff00877e010: e193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877e014: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877e018: 234effd0  adrp	x3, #0xfffffff007144000
0xfffffff00877e01c: 63503a91  add	x3, x3, #0xe94
0xfffffff00877e020: 02008052  mov	w2, #0
0xfffffff00877e024: 43d4ee97  bl	#0xfffffff008333130
0xfffffff00877e028: 08008952  mov	w8, #0x4800
0xfffffff00877e02c: 889600f9  str	x8, [x20, #0x128]
0xfffffff00877e030: 4094ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff00877e034: 00a01a91  add	x0, x0, #0x6a8
0xfffffff00877e038: 01008452  mov	w1, #0x2000
0xfffffff00877e03c: 2100a072  movk	w1, #1, lsl #16
0xfffffff00877e040: 6463ef97  bl	#0xfffffff008356dd0
0xfffffff00877e044: 809200f9  str	x0, [x20, #0x120]
0xfffffff00877e048: 600100b5  cbnz	x0, #0xfffffff00877e074
0xfffffff00877e04c: a8088052  mov	w8, #0x45
0xfffffff00877e050: f52300a9  stp	x21, x8, [sp]
0xfffffff00877e054: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877e058: 00403691  add	x0, x0, #0xd90
0xfffffff00877e05c: e193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877e060: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877e064: 234effd0  adrp	x3, #0xfffffff007144000
0xfffffff00877e068: 631c3b91  add	x3, x3, #0xec7
0xfffffff00877e06c: 02008052  mov	w2, #0
0xfffffff00877e070: 30d4ee97  bl	#0xfffffff008333130
0xfffffff00877e074: 9f622339  strb	wzr, [x20, #0x8d8]
0xfffffff00877e078: f50300f9  str	x21, [sp]
0xfffffff00877e07c: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877e080: 00403691  add	x0, x0, #0xd90
0xfffffff00877e084: e193fff0  adrp	x1, #0xfffffff0079fd000
