; Candidate 6432
; ADRP+ADD at VM 0xfffffff00882aefc (fileoff 0x1826efc): page=0x1fe9bf000 add_imm=0xe80

0xfffffff00882ae7c: a9148052  mov	w9, #0xa5
0xfffffff00882ae80: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00882ae84: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882ae88: 08e93c91  add	x8, x8, #0xf3a
0xfffffff00882ae8c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882ae90: a80a8052  mov	w8, #0x55
0xfffffff00882ae94: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882ae98: f40300f9  str	x20, [sp]
0xfffffff00882ae9c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882aea0: 00003a91  add	x0, x0, #0xe80
0xfffffff00882aea4: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882aea8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882aeac: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882aeb0: 63340691  add	x3, x3, #0x18d
0xfffffff00882aeb4: 02008052  mov	w2, #0
0xfffffff00882aeb8: 9e20ec97  bl	#0xfffffff008333130
0xfffffff00882aebc: 000080d2  mov	x0, #0
0xfffffff00882aec0: e4ffff17  b	#0xfffffff00882ae50
0xfffffff00882aec4: ba240294  bl	#0xfffffff0088b41ac
0xfffffff00882aec8: f40300aa  mov	x20, x0
0xfffffff00882aecc: 80008052  mov	w0, #4
0xfffffff00882aed0: 60420194  bl	#0xfffffff00887b850
0xfffffff00882aed4: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882aed8: 083d3f91  add	x8, x8, #0xfcf
0xfffffff00882aedc: 29158052  mov	w9, #0xa9
0xfffffff00882aee0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00882aee4: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882aee8: 08e93c91  add	x8, x8, #0xf3a
0xfffffff00882aeec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882aef0: a80a8052  mov	w8, #0x55
0xfffffff00882aef4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882aef8: f40300f9  str	x20, [sp]
0xfffffff00882aefc: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882af00: 00003a91  add	x0, x0, #0xe80
0xfffffff00882af04: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882af08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882af0c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882af10: 63180791  add	x3, x3, #0x1c6
0xfffffff00882af14: 02008052  mov	w2, #0
0xfffffff00882af18: 8620ec97  bl	#0xfffffff008333130
0xfffffff00882af1c: 000080d2  mov	x0, #0
0xfffffff00882af20: ccffff17  b	#0xfffffff00882ae50
0xfffffff00882af24: a2240294  bl	#0xfffffff0088b41ac
0xfffffff00882af28: f50300aa  mov	x21, x0
0xfffffff00882af2c: 80008052  mov	w0, #4
0xfffffff00882af30: 48420194  bl	#0xfffffff00887b850
0xfffffff00882af34: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00882af38: c84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882af3c: 08490091  add	x8, x8, #0x12
0xfffffff00882af40: a9158052  mov	w9, #0xad
0xfffffff00882af44: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882af48: a84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff00882af4c: 08e93c91  add	x8, x8, #0xf3a
0xfffffff00882af50: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882af54: a80a8052  mov	w8, #0x55
0xfffffff00882af58: f52300a9  stp	x21, x8, [sp]
0xfffffff00882af5c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882af60: 00003a91  add	x0, x0, #0xe80
0xfffffff00882af64: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882af68: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882af6c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882af70: 63e40791  add	x3, x3, #0x1f9
0xfffffff00882af74: 02008052  mov	w2, #0
0xfffffff00882af78: 6e20ec97  bl	#0xfffffff008333130
