; Candidate 5409
; ADRP+ADD at VM 0xfffffff0087ef0c8 (fileoff 0x17eb0c8): page=0x1fe9fa000 add_imm=0xe80

0xfffffff0087ef048: e81300f9  str	x8, [sp, #0x20]
0xfffffff0087ef04c: 2851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087ef050: 08851091  add	x8, x8, #0x421
0xfffffff0087ef054: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ef058: 080f8052  mov	w8, #0x78
0xfffffff0087ef05c: 2051ffd0  adrp	x0, #0xfffffff007215000
0xfffffff0087ef060: 00081291  add	x0, x0, #0x482
0xfffffff0087ef064: f42300a9  stp	x20, x8, [sp]
0xfffffff0087ef068: fe20d797  bl	#0xfffffff007db7460
0xfffffff0087ef06c: 85000014  b	#0xfffffff0087ef280
0xfffffff0087ef070: 4f140394  bl	#0xfffffff0088b41ac
0xfffffff0087ef074: f60300aa  mov	x22, x0
0xfffffff0087ef078: 80008052  mov	w0, #4
0xfffffff0087ef07c: f5310294  bl	#0xfffffff00887b850
0xfffffff0087ef080: 88674979  ldrh	w8, [x28, #0x4b2]
0xfffffff0087ef084: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087ef088: 6a5b40b9  ldr	w10, [x27, #0x58]
0xfffffff0087ef08c: f82306a9  stp	x24, x8, [sp, #0x60]
0xfffffff0087ef090: f45705a9  stp	x20, x21, [sp, #0x50]
0xfffffff0087ef094: fb2b04a9  stp	x27, x10, [sp, #0x40]
0xfffffff0087ef098: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0087ef09c: 2851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087ef0a0: 08e51091  add	x8, x8, #0x439
0xfffffff0087ef0a4: c9338052  mov	w9, #0x19e
0xfffffff0087ef0a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ef0ac: 2851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087ef0b0: 08851091  add	x8, x8, #0x421
0xfffffff0087ef0b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ef0b8: 080f8052  mov	w8, #0x78
0xfffffff0087ef0bc: 8352ff90  adrp	x3, #0xfffffff00723f000
0xfffffff0087ef0c0: 63283d91  add	x3, x3, #0xf4a
0xfffffff0087ef0c4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087ef0c8: c04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ef0cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ef0d0: c190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ef0d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ef0d8: 02008052  mov	w2, #0
0xfffffff0087ef0dc: 1510ed97  bl	#0xfffffff008333130
0xfffffff0087ef0e0: f70319aa  mov	x23, x25
0xfffffff0087ef0e4: 000f8052  mov	w0, #0x78
0xfffffff0087ef0e8: 81008052  mov	w1, #4
0xfffffff0087ef0ec: b9310294  bl	#0xfffffff00887b7d0
0xfffffff0087ef0f0: c0030034  cbz	w0, #0xfffffff0087ef168
0xfffffff0087ef0f4: 000f8052  mov	w0, #0x78
0xfffffff0087ef0f8: c8310294  bl	#0xfffffff00887b818
0xfffffff0087ef0fc: f50300aa  mov	x21, x0
0xfffffff0087ef100: 2b140394  bl	#0xfffffff0088b41ac
0xfffffff0087ef104: f60300aa  mov	x22, x0
0xfffffff0087ef108: 80008052  mov	w0, #4
0xfffffff0087ef10c: d1310294  bl	#0xfffffff00887b850
0xfffffff0087ef110: 15040034  cbz	w21, #0xfffffff0087ef190
0xfffffff0087ef114: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087ef118: e95a40b9  ldr	w9, [x23, #0x58]
0xfffffff0087ef11c: 8ac640b9  ldr	w10, [x20, #0xc4]
0xfffffff0087ef120: 157d8012  mov	w21, #-0x3e9
0xfffffff0087ef124: ead705a9  stp	x10, x21, [sp, #0x58]
0xfffffff0087ef128: e9d304a9  stp	x9, x20, [sp, #0x48]
0xfffffff0087ef12c: e8df03a9  stp	x8, x23, [sp, #0x38]
0xfffffff0087ef130: 0851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087ef134: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087ef138: a93e8052  mov	w9, #0x1f5
0xfffffff0087ef13c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087ef140: 2851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087ef144: 08fd2491  add	x8, x8, #0x93f
