; Candidate 13764
; ADRP+ADD at VM 0xfffffff00957772c (fileoff 0x257372c): page=0x1fdfe6000 add_imm=0xd89

0xfffffff0095776ac: 1f0108f1  cmp	x8, #0x200
0xfffffff0095776b0: 02030054  b.hs	#0xfffffff009577710
0xfffffff0095776b4: 08fd43d3  lsr	x8, x8, #3
0xfffffff0095776b8: 29008052  mov	w9, #1
0xfffffff0095776bc: 2921c89a  lsl	x9, x9, x8
0xfffffff0095776c0: 6a0a40f9  ldr	x10, [x19, #0x10]
0xfffffff0095776c4: 4901298a  bic	x9, x10, x9
0xfffffff0095776c8: 690a00f9  str	x9, [x19, #0x10]
0xfffffff0095776cc: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff0095776d0: 1f0d00f9  str	xzr, [x8, #0x18]
0xfffffff0095776d4: e00313aa  mov	x0, x19
0xfffffff0095776d8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0095776dc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0095776e0: ff030191  add	sp, sp, #0x40
0xfffffff0095776e4: ff2303d5  autibsp	
0xfffffff0095776e8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0095776ec: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0095776f4
0xfffffff0095776f0: 208e38d4  brk	#0xc471
0xfffffff0095776f4: 1a4ba517  b	#0xfffffff007eca35c
0xfffffff0095776f8: c8528152  mov	w8, #0xa96
0xfffffff0095776fc: 29fffed0  adrp	x9, #0xfffffff00755d000
0xfffffff009577700: 29ad3491  add	x9, x9, #0xd2b
0xfffffff009577704: 2afffed0  adrp	x10, #0xfffffff00755d000
0xfffffff009577708: 4a213991  add	x10, x10, #0xe48
0xfffffff00957770c: 06000014  b	#0xfffffff009577724
0xfffffff009577710: 08638152  mov	w8, #0xb18
0xfffffff009577714: 29fffed0  adrp	x9, #0xfffffff00755d000
0xfffffff009577718: 29ad3491  add	x9, x9, #0xd2b
0xfffffff00957771c: 2afffed0  adrp	x10, #0xfffffff00755d000
0xfffffff009577720: 4ae93791  add	x10, x10, #0xdfa
0xfffffff009577724: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009577728: ea0300f9  str	x10, [sp]
0xfffffff00957772c: 20fffed0  adrp	x0, #0xfffffff00755d000
0xfffffff009577730: 00243691  add	x0, x0, #0xd89
0xfffffff009577734: 7673bc97  bl	#0xfffffff00849450c
0xfffffff009577738: 7f2303d5  pacibsp	
0xfffffff00957773c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009577740: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009577744: fd830091  add	x29, sp, #0x20
0xfffffff009577748: 3f0001f1  cmp	x1, #0x40
0xfffffff00957774c: 42040054  b.hs	#0xfffffff0095777d4
0xfffffff009577750: e803022a  mov	w8, w2
0xfffffff009577754: 080500d1  sub	x8, x8, #1
0xfffffff009577758: 09088052  mov	w9, #0x40
0xfffffff00957775c: 0a088052  mov	w10, #0x40
0xfffffff009577760: eb0301eb  negs	x11, x1
0xfffffff009577764: 6b154092  and	x11, x11, #0x3f
0xfffffff009577768: 2c144092  and	x12, x1, #0x3f
0xfffffff00957776c: 8c458bda  csneg	x12, x12, x11, mi
0xfffffff009577770: 2b010ccb  sub	x11, x9, x12
0xfffffff009577774: 7f010aeb  cmp	x11, x10
0xfffffff009577778: 6b318a9a  csel	x11, x11, x10, lo
0xfffffff00957777c: 0d0040f9  ldr	x13, [x0]
0xfffffff009577780: ac25cc9a  lsr	x12, x13, x12
0xfffffff009577784: 8c0108ca  eor	x12, x12, x8
0xfffffff009577788: 8c01c0da  rbit	x12, x12
0xfffffff00957778c: 8c11c0da  clz	x12, x12
0xfffffff009577790: 7f010ceb  cmp	x11, x12
0xfffffff009577794: e8000054  b.hi	#0xfffffff0095777b0
0xfffffff009577798: 6101018b  add	x1, x11, x1
0xfffffff00957779c: 4a010bcb  sub	x10, x10, x11
0xfffffff0095777a0: 00200091  add	x0, x0, #8
0xfffffff0095777a4: 5f0100f1  cmp	x10, #0
0xfffffff0095777a8: ccfdff54  b.gt	#0xfffffff009577760
