; Candidate 15383
; ADRP+ADD at VM 0xfffffff009b58f30 (fileoff 0x2b54f30): page=0x1fdad0000 add_imm=0xed0

0xfffffff009b58eb0: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b58eb4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b58eb8: e00313aa  mov	x0, x19
0xfffffff009b58ebc: 010080d2  mov	x1, #0
0xfffffff009b58ec0: f10308aa  mov	x17, x8
0xfffffff009b58ec4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b58ec8: 31093fd7  blraa	x9, x17
0xfffffff009b58ecc: f80300aa  mov	x24, x0
0xfffffff009b58ed0: 700240f9  ldr	x16, [x19]
0xfffffff009b58ed4: f10313aa  mov	x17, x19
0xfffffff009b58ed8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b58edc: 301ac1da  autda	x16, x17
0xfffffff009b58ee0: f10310aa  mov	x17, x16
0xfffffff009b58ee4: f147c1da  xpacd	x17
0xfffffff009b58ee8: 1f0211eb  cmp	x16, x17
0xfffffff009b58eec: 40000054  b.eq	#0xfffffff009b58ef4
0xfffffff009b58ef0: 408e38d4  brk	#0xc472
0xfffffff009b58ef4: 08620891  add	x8, x16, #0x218
0xfffffff009b58ef8: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b58efc: e00313aa  mov	x0, x19
0xfffffff009b58f00: 010080d2  mov	x1, #0
0xfffffff009b58f04: f10308aa  mov	x17, x8
0xfffffff009b58f08: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b58f0c: 31093fd7  blraa	x9, x17
0xfffffff009b58f10: e80315aa  mov	x8, x21
0xfffffff009b58f14: e86b02a9  stp	x8, x26, [sp, #0x20]
0xfffffff009b58f18: 88d6fef0  adrp	x8, #0xfffffff00762b000
0xfffffff009b58f1c: 08350e91  add	x8, x8, #0x38d
0xfffffff009b58f20: 89d6feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b58f24: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b58f28: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b58f2c: f80300a9  stp	x24, x0, [sp]
0xfffffff009b58f30: 80d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b58f34: 00403b91  add	x0, x0, #0xed0
0xfffffff009b58f38: a3d6feb0  adrp	x3, #0xfffffff00762d000
0xfffffff009b58f3c: 63f80091  add	x3, x3, #0x3e
0xfffffff009b58f40: e10317aa  mov	x1, x23
0xfffffff009b58f44: e20316aa  mov	x2, x22
0xfffffff009b58f48: 7a689f97  bl	#0xfffffff008333130
0xfffffff009b58f4c: 5a420036  tbz	w26, #0, #0xfffffff009b59794
0xfffffff009b58f50: e1f30091  add	x1, sp, #0x3c
0xfffffff009b58f54: e2e30091  add	x2, sp, #0x38
0xfffffff009b58f58: e00314aa  mov	x0, x20
0xfffffff009b58f5c: 4ea4ff97  bl	#0xfffffff009b42094
0xfffffff009b58f60: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff009b58f64: 891a40f9  ldr	x9, [x20, #0x30]
0xfffffff009b58f68: 2a2540f9  ldr	x10, [x9, #0x48]
0xfffffff009b58f6c: 4801088b  add	x8, x10, x8
0xfffffff009b58f70: 282500f9  str	x8, [x9, #0x48]
0xfffffff009b58f74: 68c641b9  ldr	w8, [x19, #0x1c4]
0xfffffff009b58f78: 09057bf2  ands	x9, x8, #0x60
0xfffffff009b58f7c: f6179f1a  cset	w22, eq
0xfffffff009b58f80: 292400b4  cbz	x9, #0xfffffff009b59404
0xfffffff009b58f84: 281af036  tbz	w8, #0x1e, #0xfffffff009b592c8
0xfffffff009b58f88: c5d38d97  bl	#0xfffffff007ecde9c
0xfffffff009b58f8c: 1f040071  cmp	w0, #1
0xfffffff009b58f90: c1190054  b.ne	#0xfffffff009b592c8
0xfffffff009b58f94: 700240f9  ldr	x16, [x19]
0xfffffff009b58f98: f10313aa  mov	x17, x19
0xfffffff009b58f9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b58fa0: 301ac1da  autda	x16, x17
0xfffffff009b58fa4: 113d80d2  mov	x17, #0x1e8
0xfffffff009b58fa8: 1002118b  add	x16, x16, x17
0xfffffff009b58fac: 080240f9  ldr	x8, [x16]
