; Candidate 5830
; ADRP+ADD at VM 0xfffffff008807064 (fileoff 0x1803064): page=0x1fea0c000 add_imm=0xe0f

0xfffffff008806fe4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008806fe8: ff0f5fd6  retab	
0xfffffff008806fec: 7f2303d5  pacibsp	
0xfffffff008806ff0: ff4302d1  sub	sp, sp, #0x90
0xfffffff008806ff4: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008806ff8: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008806ffc: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008807000: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008807004: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008807008: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00880700c: fd030291  add	x29, sp, #0x80
0xfffffff008807010: f30300aa  mov	x19, x0
0xfffffff008807014: 082c4491  add	x8, x0, #0x10b, lsl #12
0xfffffff008807018: 16412391  add	x22, x8, #0x8d0
0xfffffff00880701c: 800e8052  mov	w0, #0x74
0xfffffff008807020: e1008052  mov	w1, #7
0xfffffff008807024: ebd10194  bl	#0xfffffff00887b7d0
0xfffffff008807028: a0040034  cbz	w0, #0xfffffff0088070bc
0xfffffff00880702c: 800e8052  mov	w0, #0x74
0xfffffff008807030: fad10194  bl	#0xfffffff00887b818
0xfffffff008807034: f50300aa  mov	x21, x0
0xfffffff008807038: 5db40294  bl	#0xfffffff0088b41ac
0xfffffff00880703c: f40300aa  mov	x20, x0
0xfffffff008807040: e0008052  mov	w0, #7
0xfffffff008807044: 03d20194  bl	#0xfffffff00887b850
0xfffffff008807048: 75010034  cbz	w21, #0xfffffff008807074
0xfffffff00880704c: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff008807050: 088d1491  add	x8, x8, #0x523
0xfffffff008807054: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008807058: 880e8052  mov	w8, #0x74
0xfffffff00880705c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008807060: f40300f9  str	x20, [sp]
0xfffffff008807064: 6050ff90  adrp	x0, #0xfffffff007213000
0xfffffff008807068: 003c3891  add	x0, x0, #0xe0f
0xfffffff00880706c: fdc0d697  bl	#0xfffffff007db7460
0xfffffff008807070: 13000014  b	#0xfffffff0088070bc
0xfffffff008807074: 4eb40294  bl	#0xfffffff0088b41ac
0xfffffff008807078: f40300aa  mov	x20, x0
0xfffffff00880707c: e0008052  mov	w0, #7
0xfffffff008807080: f4d10194  bl	#0xfffffff00887b850
0xfffffff008807084: 8850fff0  adrp	x8, #0xfffffff00721a000
0xfffffff008807088: 088d1491  add	x8, x8, #0x523
0xfffffff00880708c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008807090: 880e8052  mov	w8, #0x74
0xfffffff008807094: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008807098: f40300f9  str	x20, [sp]
0xfffffff00880709c: 004fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088070a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088070a4: 0190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088070a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088070ac: e351ffd0  adrp	x3, #0xfffffff007245000
0xfffffff0088070b0: 63181091  add	x3, x3, #0x406
0xfffffff0088070b4: 02008052  mov	w2, #0
0xfffffff0088070b8: 1eb0ec97  bl	#0xfffffff008333130
0xfffffff0088070bc: d40240f9  ldr	x20, [x22]
0xfffffff0088070c0: 140100b4  cbz	x20, #0xfffffff0088070e0
0xfffffff0088070c4: e00314aa  mov	x0, x20
0xfffffff0088070c8: d0ba0294  bl	#0xfffffff0088b5c08
0xfffffff0088070cc: 2090ffb0  adrp	x0, #0xfffffff007a0c000
0xfffffff0088070d0: 00603d91  add	x0, x0, #0xf58
0xfffffff0088070d4: e10314aa  mov	x1, x20
0xfffffff0088070d8: 8d3ded97  bl	#0xfffffff00835670c
0xfffffff0088070dc: df0200f9  str	xzr, [x22]
0xfffffff0088070e0: 68ce4491  add	x8, x19, #0x133, lsl #12
