; Candidate 2250
; ADRP+ADD at VM 0xfffffff0085c3bcc (fileoff 0x15bfbcc): page=0x1feb35000 add_imm=0xd2f

0xfffffff0085c3b4c: 0001c03d  ldr	q0, [x8]
0xfffffff0085c3b50: 2001803d  str	q0, [x9]
0xfffffff0085c3b54: e00314aa  mov	x0, x20
0xfffffff0085c3b58: 7785f497  bl	#0xfffffff0082e5134
0xfffffff0085c3b5c: e00313aa  mov	x0, x19
0xfffffff0085c3b60: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085c3b64: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085c3b68: ff0f5fd6  retab	
0xfffffff0085c3b6c: 7f2303d5  pacibsp	
0xfffffff0085c3b70: ff4301d1  sub	sp, sp, #0x50
0xfffffff0085c3b74: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0085c3b78: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0085c3b7c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0085c3b80: fd030191  add	x29, sp, #0x40
0xfffffff0085c3b84: f40301aa  mov	x20, x1
0xfffffff0085c3b88: f30300aa  mov	x19, x0
0xfffffff0085c3b8c: ff7f0039  strb	wzr, [sp, #0x1f]
0xfffffff0085c3b90: 100040f9  ldr	x16, [x0]
0xfffffff0085c3b94: f10300aa  mov	x17, x0
0xfffffff0085c3b98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085c3b9c: 301ac1da  autda	x16, x17
0xfffffff0085c3ba0: 113d80d2  mov	x17, #0x1e8
0xfffffff0085c3ba4: 1002118b  add	x16, x16, x17
0xfffffff0085c3ba8: 080240f9  ldr	x8, [x16]
0xfffffff0085c3bac: e90310aa  mov	x9, x16
0xfffffff0085c3bb0: 010080d2  mov	x1, #0
0xfffffff0085c3bb4: f10309aa  mov	x17, x9
0xfffffff0085c3bb8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085c3bbc: 11093fd7  blraa	x8, x17
0xfffffff0085c3bc0: b559ff90  adrp	x21, #0xfffffff0070f7000
0xfffffff0085c3bc4: b5be1291  add	x21, x21, #0x4af
0xfffffff0085c3bc8: e05700a9  stp	x0, x21, [sp]
0xfffffff0085c3bcc: a059ffb0  adrp	x0, #0xfffffff0070f8000
0xfffffff0085c3bd0: 00bc3491  add	x0, x0, #0xd2f
0xfffffff0085c3bd4: 134df697  bl	#0xfffffff008357020
0xfffffff0085c3bd8: a89fffd0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085c3bdc: 084d41f9  ldr	x8, [x8, #0x298]
0xfffffff0085c3be0: 010140f9  ldr	x1, [x8]
0xfffffff0085c3be4: e00314aa  mov	x0, x20
0xfffffff0085c3be8: 4380f497  bl	#0xfffffff0082e3cf4
0xfffffff0085c3bec: 606a00f9  str	x0, [x19, #0xd0]
0xfffffff0085c3bf0: 001200b4  cbz	x0, #0xfffffff0085c3e30
0xfffffff0085c3bf4: 100040f9  ldr	x16, [x0]
0xfffffff0085c3bf8: f10300aa  mov	x17, x0
0xfffffff0085c3bfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085c3c00: 301ac1da  autda	x16, x17
0xfffffff0085c3c04: 112380d2  mov	x17, #0x118
0xfffffff0085c3c08: 1002118b  add	x16, x16, x17
0xfffffff0085c3c0c: 080240f9  ldr	x8, [x16]
0xfffffff0085c3c10: e90310aa  mov	x9, x16
0xfffffff0085c3c14: a159ffb0  adrp	x1, #0xfffffff0070f8000
0xfffffff0085c3c18: 21dc3491  add	x1, x1, #0xd37
0xfffffff0085c3c1c: f10309aa  mov	x17, x9
0xfffffff0085c3c20: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0085c3c24: 11093fd7  blraa	x8, x17
0xfffffff0085c3c28: a89fffd0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085c3c2c: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0085c3c30: 140140f9  ldr	x20, [x8]
0xfffffff0085c3c34: e10314aa  mov	x1, x20
0xfffffff0085c3c38: 2f80f497  bl	#0xfffffff0082e3cf4
0xfffffff0085c3c3c: 600300b4  cbz	x0, #0xfffffff0085c3ca8
0xfffffff0085c3c40: e27f0091  add	x2, sp, #0x1f
0xfffffff0085c3c44: e00313aa  mov	x0, x19
0xfffffff0085c3c48: 41128052  mov	w1, #0x92
