; Candidate 222
; ADRP+ADD at VM 0xfffffff007e34054 (fileoff 0xe30054): page=0x239d000 add_imm=0xd20

0xfffffff007e33fd4: 28050db9  str	w8, [x9, #0xd04]
0xfffffff007e33fd8: 78008052  mov	w24, #3
0xfffffff007e33fdc: d7008052  mov	w23, #6
0xfffffff007e33fe0: 35008052  mov	w21, #1
0xfffffff007e33fe4: 24fdff17  b	#0xfffffff007e33474
0xfffffff007e33fe8: e81e01b0  adrp	x8, #0xfffffff00a210000
0xfffffff007e33fec: 084d4eb9  ldr	w8, [x8, #0xe4c]
0xfffffff007e33ff0: e91c01d0  adrp	x9, #0xfffffff00a1d1000
0xfffffff007e33ff4: 29514db9  ldr	w9, [x9, #0xd50]
0xfffffff007e33ff8: 0801092a  orr	w8, w8, w9
0xfffffff007e33ffc: 68a1ff34  cbz	w8, #0xfffffff007e33428
0xfffffff007e34000: 27fdff17  b	#0xfffffff007e3349c
0xfffffff007e34004: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34008: 00803491  add	x0, x0, #0xd20
0xfffffff007e3400c: e10313aa  mov	x1, x19
0xfffffff007e34010: d5e1fd97  bl	#0xfffffff007dac764
0xfffffff007e34014: 43ffff17  b	#0xfffffff007e33d20
0xfffffff007e34018: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e3401c: 00803491  add	x0, x0, #0xd20
0xfffffff007e34020: e10313aa  mov	x1, x19
0xfffffff007e34024: d0e1fd97  bl	#0xfffffff007dac764
0xfffffff007e34028: 68265839  ldrb	w8, [x19, #0x609]
0xfffffff007e3402c: e8c2ff35  cbnz	w8, #0xfffffff007e33888
0xfffffff007e34030: 18feff17  b	#0xfffffff007e33890
0xfffffff007e34034: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34038: 00803491  add	x0, x0, #0xd20
0xfffffff007e3403c: e10313aa  mov	x1, x19
0xfffffff007e34040: 42008052  mov	w2, #2
0xfffffff007e34044: addefd97  bl	#0xfffffff007dabaf8
0xfffffff007e34048: 881a4db9  ldr	w8, [x20, #0xd18]
0xfffffff007e3404c: a8a3ff35  cbnz	w8, #0xfffffff007e334c0
0xfffffff007e34050: 1bfeff17  b	#0xfffffff007e338bc
0xfffffff007e34054: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34058: 00803491  add	x0, x0, #0xd20
0xfffffff007e3405c: e10313aa  mov	x1, x19
0xfffffff007e34060: 42008052  mov	w2, #2
0xfffffff007e34064: a5defd97  bl	#0xfffffff007dabaf8
0xfffffff007e34068: 9efeff17  b	#0xfffffff007e33ae0
0xfffffff007e3406c: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e34070: 00803491  add	x0, x0, #0xd20
0xfffffff007e34074: e10313aa  mov	x1, x19
0xfffffff007e34078: bbe1fd97  bl	#0xfffffff007dac764
0xfffffff007e3407c: a2feff17  b	#0xfffffff007e33b04
0xfffffff007e34080: f0fffff0  adrp	x16, #0xfffffff007e33000
0xfffffff007e34084: 10e20c91  add	x16, x16, #0x338
0xfffffff007e34088: f023c1da  paciza	x16
0xfffffff007e3408c: e00310aa  mov	x0, x16
0xfffffff007e34090: 01008052  mov	w1, #0
0xfffffff007e34094: 2132fe97  bl	#0xfffffff007dc0918
0xfffffff007e34098: e81e01b0  adrp	x8, #0xfffffff00a211000
0xfffffff007e3409c: 1f011139  strb	wzr, [x8, #0x440]
0xfffffff007e340a0: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e340a4: e20308aa  mov	x2, x8
0xfffffff007e340a8: 5fffa288  casl	w2, wzr, [x26]
0xfffffff007e340ac: 5f00086b  cmp	w2, w8
0xfffffff007e340b0: 21040054  b.ne	#0xfffffff007e34134
0xfffffff007e340b4: f0fffff0  adrp	x16, #0xfffffff007e33000
0xfffffff007e340b8: 10e20c91  add	x16, x16, #0x338
0xfffffff007e340bc: f1a09ad2  mov	x17, #0xd507
0xfffffff007e340c0: 3002c1da  pacia	x16, x17
0xfffffff007e340c4: e00310aa  mov	x0, x16
0xfffffff007e340c8: 010080d2  mov	x1, #0
0xfffffff007e340cc: 02008052  mov	w2, #0
0xfffffff007e340d0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
