; Candidate 5196
; ADRP+ADD at VM 0xfffffff0087ded08 (fileoff 0x17dad08): page=0x1fea0b000 add_imm=0xe80

0xfffffff0087dec88: f70300aa  mov	x23, x0
0xfffffff0087dec8c: 48550394  bl	#0xfffffff0088b41ac
0xfffffff0087dec90: f60300aa  mov	x22, x0
0xfffffff0087dec94: 00018052  mov	w0, #8
0xfffffff0087dec98: ee720294  bl	#0xfffffff00887b850
0xfffffff0087dec9c: d7010034  cbz	w23, #0xfffffff0087decd4
0xfffffff0087deca0: f55303a9  stp	x21, x20, [sp, #0x30]
0xfffffff0087deca4: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087deca8: 08751391  add	x8, x8, #0x4dd
0xfffffff0087decac: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087decb0: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087decb4: 081d0291  add	x8, x8, #0x87
0xfffffff0087decb8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087decbc: 280a8052  mov	w8, #0x51
0xfffffff0087decc0: 8051ffd0  adrp	x0, #0xfffffff007210000
0xfffffff0087decc4: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087decc8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087deccc: e561d797  bl	#0xfffffff007db7460
0xfffffff0087decd0: 16000014  b	#0xfffffff0087ded28
0xfffffff0087decd4: 36550394  bl	#0xfffffff0088b41ac
0xfffffff0087decd8: f60300aa  mov	x22, x0
0xfffffff0087decdc: 00018052  mov	w0, #8
0xfffffff0087dece0: dc720294  bl	#0xfffffff00887b850
0xfffffff0087dece4: f55303a9  stp	x21, x20, [sp, #0x30]
0xfffffff0087dece8: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087decec: 08751391  add	x8, x8, #0x4dd
0xfffffff0087decf0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087decf4: a851ff90  adrp	x8, #0xfffffff007212000
0xfffffff0087decf8: 081d0291  add	x8, x8, #0x87
0xfffffff0087decfc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ded00: 280a8052  mov	w8, #0x51
0xfffffff0087ded04: f62300a9  stp	x22, x8, [sp]
0xfffffff0087ded08: 4050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ded0c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ded10: 4191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ded14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ded18: e352ffd0  adrp	x3, #0xfffffff00723c000
0xfffffff0087ded1c: 63380c91  add	x3, x3, #0x30e
0xfffffff0087ded20: 02008052  mov	w2, #0
0xfffffff0087ded24: 0351ed97  bl	#0xfffffff008333130
0xfffffff0087ded28: 811a40f9  ldr	x1, [x20, #0x30]
0xfffffff0087ded2c: 822e40f9  ldr	x2, [x20, #0x58]
0xfffffff0087ded30: e00313aa  mov	x0, x19
0xfffffff0087ded34: 0b000094  bl	#0xfffffff0087ded60
0xfffffff0087ded38: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0087ded3c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0087ded40: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0087ded44: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0087ded48: ff030291  add	sp, sp, #0x80
0xfffffff0087ded4c: ff2303d5  autibsp	
0xfffffff0087ded50: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0087ded54: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0087ded5c
0xfffffff0087ded58: 208e38d4  brk	#0xc471
0xfffffff0087ded5c: 3f550314  b	#0xfffffff0088b4258
0xfffffff0087ded60: 7f2303d5  pacibsp	
0xfffffff0087ded64: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0087ded68: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0087ded6c: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0087ded70: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0087ded74: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0087ded78: fd430291  add	x29, sp, #0x90
0xfffffff0087ded7c: f50302aa  mov	x21, x2
0xfffffff0087ded80: f40301aa  mov	x20, x1
0xfffffff0087ded84: f30300aa  mov	x19, x0
