; Candidate 15772
; ADRP+ADD at VM 0xfffffff009d07e68 (fileoff 0x2d03e68): page=0x6b4000 add_imm=0xed8

0xfffffff009d07de8: f10313aa  mov	x17, x19
0xfffffff009d07dec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d07df0: 300ac1da  pacda	x16, x17
0xfffffff009d07df4: 700200f9  str	x16, [x19]
0xfffffff009d07df8: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07dfc: 00203a91  add	x0, x0, #0xe88
0xfffffff009d07e00: e1cafeb0  adrp	x1, #0xfffffff007664000
0xfffffff009d07e04: 21c41491  add	x1, x1, #0x531
0xfffffff009d07e08: e20313aa  mov	x2, x19
0xfffffff009d07e0c: 030b8052  mov	w3, #0x58
0xfffffff009d07e10: 4a6f9797  bl	#0xfffffff0082e3b38
0xfffffff009d07e14: d0fffef0  adrp	x16, #0xfffffff007d02000
0xfffffff009d07e18: 10023891  add	x16, x16, #0xe00
0xfffffff009d07e1c: 10420091  add	x16, x16, #0x10
0xfffffff009d07e20: f10300aa  mov	x17, x0
0xfffffff009d07e24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d07e28: 300ac1da  pacda	x16, x17
0xfffffff009d07e2c: 100000f9  str	x16, [x0]
0xfffffff009d07e30: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07e34: 00c03a91  add	x0, x0, #0xeb0
0xfffffff009d07e38: e1cafeb0  adrp	x1, #0xfffffff007664000
0xfffffff009d07e3c: 21d81591  add	x1, x1, #0x576
0xfffffff009d07e40: e20313aa  mov	x2, x19
0xfffffff009d07e44: 03108052  mov	w3, #0x80
0xfffffff009d07e48: 3c6f9797  bl	#0xfffffff0082e3b38
0xfffffff009d07e4c: f0fffe90  adrp	x16, #0xfffffff007d03000
0xfffffff009d07e50: 10a20091  add	x16, x16, #0x28
0xfffffff009d07e54: 10420091  add	x16, x16, #0x10
0xfffffff009d07e58: f10300aa  mov	x17, x0
0xfffffff009d07e5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d07e60: 300ac1da  pacda	x16, x17
0xfffffff009d07e64: 100000f9  str	x16, [x0]
0xfffffff009d07e68: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07e6c: 00603b91  add	x0, x0, #0xed8
0xfffffff009d07e70: e1cafeb0  adrp	x1, #0xfffffff007664000
0xfffffff009d07e74: 212c1991  add	x1, x1, #0x64b
0xfffffff009d07e78: e20313aa  mov	x2, x19
0xfffffff009d07e7c: 030b8052  mov	w3, #0x58
0xfffffff009d07e80: 2e6f9797  bl	#0xfffffff0082e3b38
0xfffffff009d07e84: f0fffe90  adrp	x16, #0xfffffff007d03000
0xfffffff009d07e88: 10020991  add	x16, x16, #0x240
0xfffffff009d07e8c: 10420091  add	x16, x16, #0x10
0xfffffff009d07e90: f10300aa  mov	x17, x0
0xfffffff009d07e94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d07e98: 300ac1da  pacda	x16, x17
0xfffffff009d07e9c: 100000f9  str	x16, [x0]
0xfffffff009d07ea0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d07ea4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d07ea8: ff0f5fd6  retab	
0xfffffff009d07eac: 7f2303d5  pacibsp	
0xfffffff009d07eb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d07eb4: fd030091  mov	x29, sp
0xfffffff009d07eb8: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ebc: 00603b91  add	x0, x0, #0xed8
0xfffffff009d07ec0: 0d729797  bl	#0xfffffff0082e46f4
0xfffffff009d07ec4: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ec8: 00c03a91  add	x0, x0, #0xeb0
0xfffffff009d07ecc: 0a729797  bl	#0xfffffff0082e46f4
0xfffffff009d07ed0: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ed4: 00203a91  add	x0, x0, #0xe88
0xfffffff009d07ed8: 07729797  bl	#0xfffffff0082e46f4
0xfffffff009d07edc: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ee0: 00803991  add	x0, x0, #0xe60
0xfffffff009d07ee4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
