; Candidate 16713
; ADRP+ADD at VM 0xfffffff009f31bc0 (fileoff 0x2f2dbc0): page=0x1fd92b000 add_imm=0xec6

0xfffffff009f31b40: 096340f9  ldr	x9, [x24, #0xc0]
0xfffffff009f31b44: 2ab542f9  ldr	x10, [x9, #0x568]
0xfffffff009f31b48: 5f0108eb  cmp	x10, x8
0xfffffff009f31b4c: 42000054  b.hs	#0xfffffff009f31b54
0xfffffff009f31b50: 28b502f9  str	x8, [x9, #0x568]
0xfffffff009f31b54: e00318aa  mov	x0, x24
0xfffffff009f31b58: 1d000094  bl	#0xfffffff009f31bcc
0xfffffff009f31b5c: e00318aa  mov	x0, x24
0xfffffff009f31b60: e211fe97  bl	#0xfffffff009eb62e8
0xfffffff009f31b64: e00318aa  mov	x0, x24
0xfffffff009f31b68: 1f98fc97  bl	#0xfffffff009e57be4
0xfffffff009f31b6c: 00eaff34  cbz	w0, #0xfffffff009f318ac
0xfffffff009f31b70: 086740f9  ldr	x8, [x24, #0xc8]
0xfffffff009f31b74: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f31b78: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009f31b7c: e9e18052  mov	w9, #0x70f
0xfffffff009f31b80: 48c9fef0  adrp	x8, #0xfffffff00785c000
0xfffffff009f31b84: 08550e91  add	x8, x8, #0x395
0xfffffff009f31b88: e82700a9  stp	x8, x9, [sp]
0xfffffff009f31b8c: 40c9fef0  adrp	x0, #0xfffffff00785c000
0xfffffff009f31b90: 00d43c91  add	x0, x0, #0xf35
0xfffffff009f31b94: 4c37fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f31b98: 45ffff17  b	#0xfffffff009f318ac
0xfffffff009f31b9c: dc028052  mov	w28, #0x16
0xfffffff009f31ba0: 086740f9  ldr	x8, [x24, #0xc8]
0xfffffff009f31ba4: 098942f9  ldr	x9, [x8, #0x510]
0xfffffff009f31ba8: f9f301a9  stp	x25, x28, [sp, #0x18]
0xfffffff009f31bac: 88db8052  mov	w8, #0x6dc
0xfffffff009f31bb0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009f31bb4: 48c9fef0  adrp	x8, #0xfffffff00785c000
0xfffffff009f31bb8: 08550e91  add	x8, x8, #0x395
0xfffffff009f31bbc: e80300f9  str	x8, [sp]
0xfffffff009f31bc0: 40c9fef0  adrp	x0, #0xfffffff00785c000
0xfffffff009f31bc4: 00183b91  add	x0, x0, #0xec6
0xfffffff009f31bc8: 14feff17  b	#0xfffffff009f31418
0xfffffff009f31bcc: 7f2303d5  pacibsp	
0xfffffff009f31bd0: ff4301d1  sub	sp, sp, #0x50
0xfffffff009f31bd4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009f31bd8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009f31bdc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009f31be0: fd030191  add	x29, sp, #0x40
0xfffffff009f31be4: f40300aa  mov	x20, x0
0xfffffff009f31be8: 010080d2  mov	x1, #0
0xfffffff009f31bec: bd850094  bl	#0xfffffff009f532e0
0xfffffff009f31bf0: 00020034  cbz	w0, #0xfffffff009f31c30
0xfffffff009f31bf4: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009f31bf8: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f31bfc: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009f31c00: 68c9fe90  adrp	x8, #0xfffffff00785d000
0xfffffff009f31c04: 08c50a91  add	x8, x8, #0x2b1
0xfffffff009f31c08: 09778052  mov	w9, #0x3b8
0xfffffff009f31c0c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f31c10: 60c9fe90  adrp	x0, #0xfffffff00785d000
0xfffffff009f31c14: 00bc0991  add	x0, x0, #0x26f
0xfffffff009f31c18: 2b37fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f31c1c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009f31c20: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009f31c24: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009f31c28: ff430191  add	sp, sp, #0x50
0xfffffff009f31c2c: ff0f5fd6  retab	
0xfffffff009f31c30: 93c20291  add	x19, x20, #0xb0
0xfffffff009f31c34: e00313aa  mov	x0, x19
0xfffffff009f31c38: 5eef7997  bl	#0xfffffff007dad9b0
0xfffffff009f31c3c: 95c20791  add	x21, x20, #0x1f0
