; Candidate 14099
; ADRP+ADD at VM 0xfffffff0096fba54 (fileoff 0x26f7a54): page=0x1fde95000 add_imm=0xead

0xfffffff0096fb9d4: 550300b4  cbz	x21, #0xfffffff0096fba3c
0xfffffff0096fb9d8: a80240b9  ldr	w8, [x21]
0xfffffff0096fb9dc: 19000014  b	#0xfffffff0096fba40
0xfffffff0096fb9e0: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fb9e4: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fb9e8: 88f4feb0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fb9ec: 08e91391  add	x8, x8, #0x4fa
0xfffffff0096fb9f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fb9f4: f40300f9  str	x20, [sp]
0xfffffff0096fb9f8: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fb9fc: 004c3a91  add	x0, x0, #0xe93
0xfffffff0096fba00: 886db197  bl	#0xfffffff008357020
0xfffffff0096fba04: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fba08: 100040f9  ldr	x16, [x0]
0xfffffff0096fba0c: f10300aa  mov	x17, x0
0xfffffff0096fba10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fba14: 301ac1da  autda	x16, x17
0xfffffff0096fba18: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0096fba1c: e90310aa  mov	x9, x16
0xfffffff0096fba20: f0fffff0  adrp	x16, #0xfffffff0096fa000
0xfffffff0096fba24: 10521691  add	x16, x16, #0x594
0xfffffff0096fba28: 31a897d2  mov	x17, #0xbd41
0xfffffff0096fba2c: 3002c1da  pacia	x16, x17
0xfffffff0096fba30: e10310aa  mov	x1, x16
0xfffffff0096fba34: 020080d2  mov	x2, #0
0xfffffff0096fba38: 2f000014  b	#0xfffffff0096fbaf4
0xfffffff0096fba3c: e8ff8152  mov	w8, #0xfff
0xfffffff0096fba40: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff0096fba44: 89f4feb0  adrp	x9, #0xfffffff00758c000
0xfffffff0096fba48: 29e91391  add	x9, x9, #0x4fa
0xfffffff0096fba4c: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff0096fba50: f60300f9  str	x22, [sp]
0xfffffff0096fba54: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fba58: 00b43a91  add	x0, x0, #0xead
0xfffffff0096fba5c: 716db197  bl	#0xfffffff008357020
0xfffffff0096fba60: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fba64: 100040f9  ldr	x16, [x0]
0xfffffff0096fba68: f10300aa  mov	x17, x0
0xfffffff0096fba6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fba70: 301ac1da  autda	x16, x17
0xfffffff0096fba74: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0096fba78: e90310aa  mov	x9, x16
0xfffffff0096fba7c: f0fffff0  adrp	x16, #0xfffffff0096fa000
0xfffffff0096fba80: 10522291  add	x16, x16, #0x894
0xfffffff0096fba84: 31a897d2  mov	x17, #0xbd41
0xfffffff0096fba88: 3002c1da  pacia	x16, x17
0xfffffff0096fba8c: e10310aa  mov	x1, x16
0xfffffff0096fba90: a2a300d1  sub	x2, x29, #0x28
0xfffffff0096fba94: 18000014  b	#0xfffffff0096fbaf4
0xfffffff0096fba98: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fba9c: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fbaa0: 881e0012  and	w8, w20, #0xff
0xfffffff0096fbaa4: 89f4feb0  adrp	x9, #0xfffffff00758c000
0xfffffff0096fbaa8: 29e91391  add	x9, x9, #0x4fa
0xfffffff0096fbaac: f52700a9  stp	x21, x9, [sp]
0xfffffff0096fbab0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0096fbab4: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fbab8: 00683b91  add	x0, x0, #0xeda
0xfffffff0096fbabc: 596db197  bl	#0xfffffff008357020
0xfffffff0096fbac0: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fbac4: 100040f9  ldr	x16, [x0]
0xfffffff0096fbac8: f10300aa  mov	x17, x0
0xfffffff0096fbacc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fbad0: 301ac1da  autda	x16, x17
