; Candidate 740
; ADRP+ADD at VM 0xfffffff008061f84 (fileoff 0x105df84): page=0x1ff00d000 add_imm=0xe38

0xfffffff008061f04: 896f099b  madd	x9, x28, x9, x27
0xfffffff008061f08: 2ab940b9  ldr	w10, [x9, #0xb8]
0xfffffff008061f0c: 4a050051  sub	w10, w10, #1
0xfffffff008061f10: 2ab900b9  str	w10, [x9, #0xb8]
0xfffffff008061f14: ea0315aa  mov	x10, x21
0xfffffff008061f18: 5f0d06f8  str	xzr, [x10, #0x60]!
0xfffffff008061f1c: 2b4540f9  ldr	x11, [x9, #0x88]
0xfffffff008061f20: 750100f9  str	x21, [x11]
0xfffffff008061f24: 2a4500f9  str	x10, [x9, #0x88]
0xfffffff008061f28: aaa24039  ldrb	w10, [x21, #0x28]
0xfffffff008061f2c: 4a011d32  orr	w10, w10, #8
0xfffffff008061f30: aaa20039  strb	w10, [x21, #0x28]
0xfffffff008061f34: 2abd40b9  ldr	w10, [x9, #0xbc]
0xfffffff008061f38: 4a050011  add	w10, w10, #1
0xfffffff008061f3c: 2abd00b9  str	w10, [x9, #0xbc]
0xfffffff008061f40: a9a24039  ldrb	w9, [x21, #0x28]
0xfffffff008061f44: 18410191  add	x24, x8, #0x50
0xfffffff008061f48: 89f71f36  tbz	w9, #3, #0xfffffff008061e38
0xfffffff008061f4c: e00316aa  mov	x0, x22
0xfffffff008061f50: e10318aa  mov	x1, x24
0xfffffff008061f54: e20315aa  mov	x2, x21
0xfffffff008061f58: e30317aa  mov	x3, x23
0xfffffff008061f5c: 15f8ff97  bl	#0xfffffff00805ffb0
0xfffffff008061f60: a9a24039  ldrb	w9, [x21, #0x28]
0xfffffff008061f64: c9f62f37  tbnz	w9, #5, #0xfffffff008061e3c
0xfffffff008061f68: b8ffff17  b	#0xfffffff008061e48
0xfffffff008061f6c: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff008061f70: 005c3891  add	x0, x0, #0xe17
0xfffffff008061f74: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061f78: 21142a91  add	x1, x1, #0xa85
0xfffffff008061f7c: 82908052  mov	w2, #0x484
0xfffffff008061f80: 25f61094  bl	#0xfffffff00849f814
0xfffffff008061f84: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff008061f88: 00e03891  add	x0, x0, #0xe38
0xfffffff008061f8c: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061f90: 21142a91  add	x1, x1, #0xa85
0xfffffff008061f94: 22928052  mov	w2, #0x491
0xfffffff008061f98: 1ff61094  bl	#0xfffffff00849f814
0xfffffff008061f9c: 7f2303d5  pacibsp	
0xfffffff008061fa0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008061fa4: fd030091  mov	x29, sp
0xfffffff008061fa8: 08a841b9  ldr	w8, [x0, #0x1a8]
0xfffffff008061fac: 09450051  sub	w9, w8, #0x11
0xfffffff008061fb0: 3f090071  cmp	w9, #2
0xfffffff008061fb4: 04294f7a  ccmp	w8, #0xf, #4, hs
0xfffffff008061fb8: 41010054  b.ne	#0xfffffff008061fe0
0xfffffff008061fbc: 08e840b9  ldr	w8, [x0, #0xe8]
0xfffffff008061fc0: 1f414071  cmp	w8, #0x10, lsl #12
0xfffffff008061fc4: 23020054  b.lo	#0xfffffff008062008
0xfffffff008061fc8: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff008061fcc: 00783b91  add	x0, x0, #0xede
0xfffffff008061fd0: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061fd4: 21142a91  add	x1, x1, #0xa85
0xfffffff008061fd8: 82a28052  mov	w2, #0x514
0xfffffff008061fdc: 0ef61094  bl	#0xfffffff00849f814
0xfffffff008061fe0: 1f090071  cmp	w8, #2
0xfffffff008061fe4: 01010054  b.ne	#0xfffffff008062004
0xfffffff008061fe8: 08e840b9  ldr	w8, [x0, #0xe8]
0xfffffff008061fec: 09390011  add	w9, w8, #0xe
0xfffffff008061ff0: 3f414071  cmp	w9, #0x10, lsl #12
0xfffffff008061ff4: a2040054  b.hs	#0xfffffff008062088
0xfffffff008061ff8: 083d0012  and	w8, w8, #0xffff
0xfffffff008061ffc: 08390011  add	w8, w8, #0xe
0xfffffff008062000: 02000014  b	#0xfffffff008062008
