; Candidate 5827
; ADRP+ADD at VM 0xfffffff008806c54 (fileoff 0x1802c54): page=0x1fe9e3000 add_imm=0xe80

0xfffffff008806bd4: 08650e91  add	x8, x8, #0x399
0xfffffff008806bd8: c9168052  mov	w9, #0xb6
0xfffffff008806bdc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008806be0: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806be4: 08690891  add	x8, x8, #0x21a
0xfffffff008806be8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008806bec: 880e8052  mov	w8, #0x74
0xfffffff008806bf0: f42300a9  stp	x20, x8, [sp]
0xfffffff008806bf4: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806bf8: 00003a91  add	x0, x0, #0xe80
0xfffffff008806bfc: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806c00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008806c04: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806c08: 630c0991  add	x3, x3, #0x243
0xfffffff008806c0c: 02008052  mov	w2, #0
0xfffffff008806c10: 48b1ec97  bl	#0xfffffff008333130
0xfffffff008806c14: 03feff17  b	#0xfffffff008806420
0xfffffff008806c18: 65b50294  bl	#0xfffffff0088b41ac
0xfffffff008806c1c: f50300aa  mov	x21, x0
0xfffffff008806c20: 80008052  mov	w0, #4
0xfffffff008806c24: 0bd30194  bl	#0xfffffff00887b850
0xfffffff008806c28: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008806c2c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008806c30: 4850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff008806c34: 08b92791  add	x8, x8, #0x9ee
0xfffffff008806c38: e91a8052  mov	w9, #0xd7
0xfffffff008806c3c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008806c40: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806c44: 08690891  add	x8, x8, #0x21a
0xfffffff008806c48: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008806c4c: 880e8052  mov	w8, #0x74
0xfffffff008806c50: f52300a9  stp	x21, x8, [sp]
0xfffffff008806c54: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806c58: 00003a91  add	x0, x0, #0xe80
0xfffffff008806c5c: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806c60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008806c64: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806c68: 63040c91  add	x3, x3, #0x301
0xfffffff008806c6c: 02008052  mov	w2, #0
0xfffffff008806c70: 30b1ec97  bl	#0xfffffff008333130
0xfffffff008806c74: ecfdff17  b	#0xfffffff008806424
0xfffffff008806c78: 4db50294  bl	#0xfffffff0088b41ac
0xfffffff008806c7c: f50300aa  mov	x21, x0
0xfffffff008806c80: 80008052  mov	w0, #4
0xfffffff008806c84: f3d20194  bl	#0xfffffff00887b850
0xfffffff008806c88: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008806c8c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008806c90: 4850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff008806c94: 08b92791  add	x8, x8, #0x9ee
0xfffffff008806c98: a9198052  mov	w9, #0xcd
0xfffffff008806c9c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008806ca0: a850ff90  adrp	x8, #0xfffffff00721a000
0xfffffff008806ca4: 08690891  add	x8, x8, #0x21a
0xfffffff008806ca8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008806cac: 880e8052  mov	w8, #0x74
0xfffffff008806cb0: f52300a9  stp	x21, x8, [sp]
0xfffffff008806cb4: 004ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008806cb8: 00003a91  add	x0, x0, #0xe80
0xfffffff008806cbc: 0190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008806cc0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008806cc4: e351fff0  adrp	x3, #0xfffffff007245000
0xfffffff008806cc8: 63080b91  add	x3, x3, #0x2c2
0xfffffff008806ccc: 02008052  mov	w2, #0
0xfffffff008806cd0: 18b1ec97  bl	#0xfffffff008333130
