; Candidate 5375
; ADRP+ADD at VM 0xfffffff0087eba18 (fileoff 0x17e7a18): page=0x1fe9fe000 add_imm=0xe80

0xfffffff0087eb998: 09000014  b	#0xfffffff0087eb9bc
0xfffffff0087eb99c: 60030034  cbz	w0, #0xfffffff0087eba08
0xfffffff0087eb9a0: e8031b4b  neg	w8, w27
0xfffffff0087eb9a4: 28032837  tbnz	w8, #5, #0xfffffff0087eba08
0xfffffff0087eb9a8: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087eb9ac: 08d94db9  ldr	w8, [x8, #0xdd8]
0xfffffff0087eb9b0: e80300f9  str	x8, [sp]
0xfffffff0087eb9b4: 4051ffb0  adrp	x0, #0xfffffff007214000
0xfffffff0087eb9b8: 00e81391  add	x0, x0, #0x4fa
0xfffffff0087eb9bc: a92ed797  bl	#0xfffffff007db7460
0xfffffff0087eb9c0: 1e000014  b	#0xfffffff0087eba38
0xfffffff0087eb9c4: fa210394  bl	#0xfffffff0088b41ac
0xfffffff0087eb9c8: f60300aa  mov	x22, x0
0xfffffff0087eb9cc: e00314aa  mov	x0, x20
0xfffffff0087eb9d0: a03f0294  bl	#0xfffffff00887b850
0xfffffff0087eb9d4: e8da4db9  ldr	w8, [x23, #0xdd8]
0xfffffff0087eb9d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087eb9dc: e80313aa  mov	x8, x19
0xfffffff0087eb9e0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087eb9e4: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eb9e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eb9ec: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eb9f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eb9f4: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087eb9f8: 633c3691  add	x3, x3, #0xd8f
0xfffffff0087eb9fc: 02008052  mov	w2, #0
0xfffffff0087eba00: cc1ded97  bl	#0xfffffff008333130
0xfffffff0087eba04: 0d000014  b	#0xfffffff0087eba38
0xfffffff0087eba08: 68d700f0  adrp	x8, #0xfffffff00a2da000
0xfffffff0087eba0c: 1fd94db9  ldr	wzr, [x8, #0xdd8]
0xfffffff0087eba10: 08d94db9  ldr	w8, [x8, #0xdd8]
0xfffffff0087eba14: e80300f9  str	x8, [sp]
0xfffffff0087eba18: e04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eba1c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eba20: e190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eba24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eba28: 8352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087eba2c: 63c03591  add	x3, x3, #0xd70
0xfffffff0087eba30: 02008052  mov	w2, #0
0xfffffff0087eba34: bf1ded97  bl	#0xfffffff008333130
0xfffffff0087eba38: 19008052  mov	w25, #0
0xfffffff0087eba3c: 78d700f0  adrp	x24, #0xfffffff00a2da000
0xfffffff0087eba40: 18833791  add	x24, x24, #0xde0
0xfffffff0087eba44: f790ffb0  adrp	x23, #0xfffffff007a08000
0xfffffff0087eba48: f72e42f9  ldr	x23, [x23, #0x458]
0xfffffff0087eba4c: e8031b4b  neg	w8, w27
0xfffffff0087eba50: e83f00b9  str	w8, [sp, #0x3c]
0xfffffff0087eba54: fa0313aa  mov	x26, x19
0xfffffff0087eba58: e00313aa  mov	x0, x19
0xfffffff0087eba5c: e10314aa  mov	x1, x20
0xfffffff0087eba60: 5c3f0294  bl	#0xfffffff00887b7d0
0xfffffff0087eba64: 20080034  cbz	w0, #0xfffffff0087ebb68
0xfffffff0087eba68: e00313aa  mov	x0, x19
0xfffffff0087eba6c: 6b3f0294  bl	#0xfffffff00887b818
0xfffffff0087eba70: 9b02f837  tbnz	w27, #0x1f, #0xfffffff0087ebac0
0xfffffff0087eba74: f6031baa  mov	x22, x27
0xfffffff0087eba78: 7b031b12  and	w27, w27, #0x20
0xfffffff0087eba7c: 15000052  eor	w21, w0, #1
0xfffffff0087eba80: cb210394  bl	#0xfffffff0088b41ac
0xfffffff0087eba84: fc0300aa  mov	x28, x0
0xfffffff0087eba88: e00314aa  mov	x0, x20
0xfffffff0087eba8c: 713f0294  bl	#0xfffffff00887b850
0xfffffff0087eba90: 080340b9  ldr	w8, [x24]
0xfffffff0087eba94: 090740b9  ldr	w9, [x24, #4]
