; Candidate 420
; ADRP+ADD at VM 0xfffffff007f06c4c (fileoff 0xf02c4c): page=0x2336000 add_imm=0xdc8

0xfffffff007f06bcc: 95ffffb5  cbnz	x21, #0xfffffff007f06bbc
0xfffffff007f06bd0: c8024079  ldrh	w8, [x22]
0xfffffff007f06bd4: 7f4a00f9  str	xzr, [x19, #0x90]
0xfffffff007f06bd8: 88001837  tbnz	w8, #3, #0xfffffff007f06be8
0xfffffff007f06bdc: 5a010034  cbz	w26, #0xfffffff007f06c04
0xfffffff007f06be0: 54020035  cbnz	w20, #0xfffffff007f06c28
0xfffffff007f06be4: 0b000014  b	#0xfffffff007f06c10
0xfffffff007f06be8: 08791c12  and	w8, w8, #0xfffffff7
0xfffffff007f06bec: c8020079  strh	w8, [x22]
0xfffffff007f06bf0: e00316aa  mov	x0, x22
0xfffffff007f06bf4: 01008052  mov	w1, #0
0xfffffff007f06bf8: 02008052  mov	w2, #0
0xfffffff007f06bfc: cff5fa97  bl	#0xfffffff007dc4338
0xfffffff007f06c00: 1affff35  cbnz	w26, #0xfffffff007f06be0
0xfffffff007f06c04: e00313aa  mov	x0, x19
0xfffffff007f06c08: 57000094  bl	#0xfffffff007f06d64
0xfffffff007f06c0c: f4000035  cbnz	w20, #0xfffffff007f06c28
0xfffffff007f06c10: 68220091  add	x8, x19, #8
0xfffffff007f06c14: e91a44b9  ldr	w9, [x23, #0x418]
0xfffffff007f06c18: e20309aa  mov	x2, x9
0xfffffff007f06c1c: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007f06c20: 5f00096b  cmp	w2, w9
0xfffffff007f06c24: 21020054  b.ne	#0xfffffff007f06c68
0xfffffff007f06c28: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff007f06c2c: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff007f06c30: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff007f06c34: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff007f06c38: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff007f06c3c: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff007f06c40: ffc30291  add	sp, sp, #0xb0
0xfffffff007f06c44: ff0f5fd6  retab	
0xfffffff007f06c48: 5f2003d5  wfe	
0xfffffff007f06c4c: a01901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f06c50: 00203791  add	x0, x0, #0xdc8
0xfffffff007f06c54: 82ceff90  adrp	x2, #0xfffffff0078d6000
0xfffffff007f06c58: 42403791  add	x2, x2, #0xdd0
0xfffffff007f06c5c: e10317aa  mov	x1, x23
0xfffffff007f06c60: 39a3fa97  bl	#0xfffffff007daf944
0xfffffff007f06c64: 9fffff17  b	#0xfffffff007f06ae0
0xfffffff007f06c68: e00313aa  mov	x0, x19
0xfffffff007f06c6c: e10317aa  mov	x1, x23
0xfffffff007f06c70: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff007f06c74: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff007f06c78: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff007f06c7c: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff007f06c80: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff007f06c84: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff007f06c88: ffc30291  add	sp, sp, #0xb0
0xfffffff007f06c8c: ff2303d5  autibsp	
0xfffffff007f06c90: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007f06c94: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007f06c9c
0xfffffff007f06c98: 208e38d4  brk	#0xc471
0xfffffff007f06c9c: b296fa17  b	#0xfffffff007dac764
0xfffffff007f06ca0: a88afff0  adrp	x8, #0xfffffff00705d000
0xfffffff007f06ca4: 08410791  add	x8, x8, #0x1d0
0xfffffff007f06ca8: e9a28152  mov	w9, #0xd17
0xfffffff007f06cac: e82700a9  stp	x8, x9, [sp]
0xfffffff007f06cb0: c08aff90  adrp	x0, #0xfffffff00705e000
0xfffffff007f06cb4: 00a40091  add	x0, x0, #0x29
0xfffffff007f06cb8: 15361694  bl	#0xfffffff00849450c
0xfffffff007f06cbc: a88afff0  adrp	x8, #0xfffffff00705d000
0xfffffff007f06cc0: 08410791  add	x8, x8, #0x1d0
0xfffffff007f06cc4: 49438352  mov	w9, #0x1a1a
0xfffffff007f06cc8: e82700a9  stp	x8, x9, [sp]
