; Candidate 7459
; ADRP+ADD at VM 0xfffffff00886ebc0 (fileoff 0x186abc0): page=0x1fe9a5000 add_imm=0xe0f

0xfffffff00886eb40: 00008052  mov	w0, #0
0xfffffff00886eb44: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00886eb48: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00886eb4c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00886eb50: ffc30191  add	sp, sp, #0x70
0xfffffff00886eb54: ff0f5fd6  retab	
0xfffffff00886eb58: 7f2303d5  pacibsp	
0xfffffff00886eb5c: ff0302d1  sub	sp, sp, #0x80
0xfffffff00886eb60: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00886eb64: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00886eb68: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00886eb6c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00886eb70: fdc30191  add	x29, sp, #0x70
0xfffffff00886eb74: f30300aa  mov	x19, x0
0xfffffff00886eb78: 600b8052  mov	w0, #0x5b
0xfffffff00886eb7c: 01018052  mov	w1, #8
0xfffffff00886eb80: 14330094  bl	#0xfffffff00887b7d0
0xfffffff00886eb84: a0040034  cbz	w0, #0xfffffff00886ec18
0xfffffff00886eb88: 600b8052  mov	w0, #0x5b
0xfffffff00886eb8c: 23330094  bl	#0xfffffff00887b818
0xfffffff00886eb90: f50300aa  mov	x21, x0
0xfffffff00886eb94: 86150194  bl	#0xfffffff0088b41ac
0xfffffff00886eb98: f40300aa  mov	x20, x0
0xfffffff00886eb9c: 00018052  mov	w0, #8
0xfffffff00886eba0: 2c330094  bl	#0xfffffff00887b850
0xfffffff00886eba4: 75010034  cbz	w21, #0xfffffff00886ebd0
0xfffffff00886eba8: e84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff00886ebac: 08811d91  add	x8, x8, #0x760
0xfffffff00886ebb0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886ebb4: 680b8052  mov	w8, #0x5b
0xfffffff00886ebb8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886ebbc: f40300f9  str	x20, [sp]
0xfffffff00886ebc0: 204dffb0  adrp	x0, #0xfffffff007213000
0xfffffff00886ebc4: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886ebc8: 2622d597  bl	#0xfffffff007db7460
0xfffffff00886ebcc: 13000014  b	#0xfffffff00886ec18
0xfffffff00886ebd0: 77150194  bl	#0xfffffff0088b41ac
0xfffffff00886ebd4: f40300aa  mov	x20, x0
0xfffffff00886ebd8: 00018052  mov	w0, #8
0xfffffff00886ebdc: 1d330094  bl	#0xfffffff00887b850
0xfffffff00886ebe0: e84dff90  adrp	x8, #0xfffffff00722a000
0xfffffff00886ebe4: 08811d91  add	x8, x8, #0x760
0xfffffff00886ebe8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886ebec: 680b8052  mov	w8, #0x5b
0xfffffff00886ebf0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886ebf4: f40300f9  str	x20, [sp]
0xfffffff00886ebf8: c04bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886ebfc: 00003a91  add	x0, x0, #0xe80
0xfffffff00886ec00: c18cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00886ec04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886ec08: 434fffd0  adrp	x3, #0xfffffff007258000
0xfffffff00886ec0c: 63fc2391  add	x3, x3, #0x8ff
0xfffffff00886ec10: 02008052  mov	w2, #0
0xfffffff00886ec14: 4711eb97  bl	#0xfffffff008333130
0xfffffff00886ec18: e00313aa  mov	x0, x19
0xfffffff00886ec1c: 21008052  mov	w1, #1
0xfffffff00886ec20: 02098052  mov	w2, #0x48
0xfffffff00886ec24: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff00886ec28: 38590094  bl	#0xfffffff008885108
0xfffffff00886ec2c: f50300aa  mov	x21, x0
0xfffffff00886ec30: 1f040072  tst	w0, #3
0xfffffff00886ec34: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff00886ec38: 600b8052  mov	w0, #0x5b
0xfffffff00886ec3c: 01018052  mov	w1, #8
