; Candidate 9165
; ADRP+ADD at VM 0xfffffff008a05d04 (fileoff 0x1a01d04): page=0x1fe894000 add_imm=0xe40

0xfffffff008a05c84: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008a05c88: ff030191  add	sp, sp, #0x40
0xfffffff008a05c8c: ff0f5fd6  retab	
0xfffffff008a05c90: 100040f9  ldr	x16, [x0]
0xfffffff008a05c94: f10300aa  mov	x17, x0
0xfffffff008a05c98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05c9c: 301ac1da  autda	x16, x17
0xfffffff008a05ca0: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05ca4: 1002118b  add	x16, x16, x17
0xfffffff008a05ca8: 080240f9  ldr	x8, [x16]
0xfffffff008a05cac: e90310aa  mov	x9, x16
0xfffffff008a05cb0: f30300aa  mov	x19, x0
0xfffffff008a05cb4: 010080d2  mov	x1, #0
0xfffffff008a05cb8: f10309aa  mov	x17, x9
0xfffffff008a05cbc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05cc0: 11093fd7  blraa	x8, x17
0xfffffff008a05cc4: 700240f9  ldr	x16, [x19]
0xfffffff008a05cc8: f10313aa  mov	x17, x19
0xfffffff008a05ccc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05cd0: 301ac1da  autda	x16, x17
0xfffffff008a05cd4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05cd8: 1002118b  add	x16, x16, x17
0xfffffff008a05cdc: 080240f9  ldr	x8, [x16]
0xfffffff008a05ce0: e90310aa  mov	x9, x16
0xfffffff008a05ce4: e00313aa  mov	x0, x19
0xfffffff008a05ce8: 010080d2  mov	x1, #0
0xfffffff008a05cec: f10309aa  mov	x17, x9
0xfffffff008a05cf0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05cf4: 11093fd7  blraa	x8, x17
0xfffffff008a05cf8: b444ffb0  adrp	x20, #0xfffffff00729a000
0xfffffff008a05cfc: 94661f91  add	x20, x20, #0x7d9
0xfffffff008a05d00: e05300a9  stp	x0, x20, [sp]
0xfffffff008a05d04: a044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a05d08: 00003991  add	x0, x0, #0xe40
0xfffffff008a05d0c: 2182ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a05d10: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a05d14: c344ffb0  adrp	x3, #0xfffffff00729e000
0xfffffff008a05d18: 63ec2191  add	x3, x3, #0x87b
0xfffffff008a05d1c: 02028052  mov	w2, #0x10
0xfffffff008a05d20: 04b5e497  bl	#0xfffffff008333130
0xfffffff008a05d24: 700240f9  ldr	x16, [x19]
0xfffffff008a05d28: f10313aa  mov	x17, x19
0xfffffff008a05d2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05d30: 301ac1da  autda	x16, x17
0xfffffff008a05d34: f10310aa  mov	x17, x16
0xfffffff008a05d38: f147c1da  xpacd	x17
0xfffffff008a05d3c: 1f0211eb  cmp	x16, x17
0xfffffff008a05d40: 40000054  b.eq	#0xfffffff008a05d48
0xfffffff008a05d44: 408e38d4  brk	#0xc472
0xfffffff008a05d48: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a05d4c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a05d50: e00313aa  mov	x0, x19
0xfffffff008a05d54: 010080d2  mov	x1, #0
0xfffffff008a05d58: f10308aa  mov	x17, x8
0xfffffff008a05d5c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05d60: 31093fd7  blraa	x9, x17
0xfffffff008a05d64: e05300a9  stp	x0, x20, [sp]
0xfffffff008a05d68: a044ffb0  adrp	x0, #0xfffffff00729a000
0xfffffff008a05d6c: 00b81f91  add	x0, x0, #0x7ee
0xfffffff008a05d70: ac44e597  bl	#0xfffffff008357020
0xfffffff008a05d74: e0588052  mov	w0, #0x2c7
0xfffffff008a05d78: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008a05d7c: c1ffff17  b	#0xfffffff008a05c80
0xfffffff008a05d80: 5f2403d5  bti	c
