; Candidate 1222
; ADRP+ADD at VM 0xfffffff0082a9a74 (fileoff 0x12a5a74): page=0x1fede9000 add_imm=0xe59

0xfffffff0082a99f4: f81740f9  ldr	x24, [sp, #0x28]
0xfffffff0082a99f8: 61080054  b.ne	#0xfffffff0082a9b04
0xfffffff0082a99fc: 000080d2  mov	x0, #0
0xfffffff0082a9a00: 010080d2  mov	x1, #0
0xfffffff0082a9a04: 9f47fa97  bl	#0xfffffff00813b880
0xfffffff0082a9a08: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff0082a9a0c: e20308aa  mov	x2, x8
0xfffffff0082a9a10: 7ffea288  casl	w2, wzr, [x19]
0xfffffff0082a9a14: 5f00086b  cmp	w2, w8
0xfffffff0082a9a18: 21080054  b.ne	#0xfffffff0082a9b1c
0xfffffff0082a9a1c: 3b008012  mov	w27, #-2
0xfffffff0082a9a20: beffff17  b	#0xfffffff0082a9918
0xfffffff0082a9a24: 68fb00d0  adrp	x8, #0xfffffff00a217000
0xfffffff0082a9a28: 092d5279  ldrh	w9, [x8, #0x916]
0xfffffff0082a9a2c: 29050011  add	w9, w9, #1
0xfffffff0082a9a30: 092d1279  strh	w9, [x8, #0x916]
0xfffffff0082a9a34: e00317aa  mov	x0, x23
0xfffffff0082a9a38: 2ee9f397  bl	#0xfffffff007fa3ef0
0xfffffff0082a9a3c: 7b068052  mov	w27, #0x33
0xfffffff0082a9a40: b8f4ffb5  cbnz	x24, #0xfffffff0082a98d4
0xfffffff0082a9a44: acffff17  b	#0xfffffff0082a98f4
0xfffffff0082a9a48: e00318aa  mov	x0, x24
0xfffffff0082a9a4c: e10314aa  mov	x1, x20
0xfffffff0082a9a50: 450bec97  bl	#0xfffffff007dac764
0xfffffff0082a9a54: b7ffff17  b	#0xfffffff0082a9930
0xfffffff0082a9a58: a8520391  add	x8, x21, #0xd4
0xfffffff0082a9a5c: 09188052  mov	w9, #0xc0
0xfffffff0082a9a60: 081129b8  ldclr	w9, w8, [x8]
0xfffffff0082a9a64: 3c008052  mov	w28, #1
0xfffffff0082a9a68: 4cfeff17  b	#0xfffffff0082a9398
0xfffffff0082a9a6c: 3b088052  mov	w27, #0x41
0xfffffff0082a9a70: a5ffff17  b	#0xfffffff0082a9904
0xfffffff0082a9a74: 406fffb0  adrp	x0, #0xfffffff007092000
0xfffffff0082a9a78: 00643991  add	x0, x0, #0xe59
0xfffffff0082a9a7c: 416fffb0  adrp	x1, #0xfffffff007092000
0xfffffff0082a9a80: 218c3991  add	x1, x1, #0xe63
0xfffffff0082a9a84: 021c8052  mov	w2, #0xe0
0xfffffff0082a9a88: 63d70794  bl	#0xfffffff00849f814
0xfffffff0082a9a8c: 406fffb0  adrp	x0, #0xfffffff007092000
0xfffffff0082a9a90: 00643991  add	x0, x0, #0xe59
0xfffffff0082a9a94: 416fffb0  adrp	x1, #0xfffffff007092000
0xfffffff0082a9a98: 218c3991  add	x1, x1, #0xe63
0xfffffff0082a9a9c: e2238052  mov	w2, #0x11f
0xfffffff0082a9aa0: 5dd70794  bl	#0xfffffff00849f814
0xfffffff0082a9aa4: 406fffb0  adrp	x0, #0xfffffff007092000
0xfffffff0082a9aa8: 00643991  add	x0, x0, #0xe59
0xfffffff0082a9aac: 416fffb0  adrp	x1, #0xfffffff007092000
0xfffffff0082a9ab0: 218c3991  add	x1, x1, #0xe63
0xfffffff0082a9ab4: e2278052  mov	w2, #0x13f
0xfffffff0082a9ab8: 57d70794  bl	#0xfffffff00849f814
0xfffffff0082a9abc: 406fffb0  adrp	x0, #0xfffffff007092000
0xfffffff0082a9ac0: 00e43a91  add	x0, x0, #0xeb9
0xfffffff0082a9ac4: 416fffb0  adrp	x1, #0xfffffff007092000
0xfffffff0082a9ac8: 218c3991  add	x1, x1, #0xe63
0xfffffff0082a9acc: 02288052  mov	w2, #0x140
0xfffffff0082a9ad0: 51d70794  bl	#0xfffffff00849f814
0xfffffff0082a9ad4: 60fb00d0  adrp	x0, #0xfffffff00a217000
0xfffffff0082a9ad8: 00802491  add	x0, x0, #0x920
0xfffffff0082a9adc: e10314aa  mov	x1, x20
0xfffffff0082a9ae0: 02008052  mov	w2, #0
0xfffffff0082a9ae4: 0508ec97  bl	#0xfffffff007dabaf8
0xfffffff0082a9ae8: 1dffff17  b	#0xfffffff0082a975c
0xfffffff0082a9aec: 406fffb0  adrp	x0, #0xfffffff007092000
0xfffffff0082a9af0: 00143d91  add	x0, x0, #0xf45
