; Candidate 13887
; ADRP+ADD at VM 0xfffffff0095e9ce8 (fileoff 0x25e5ce8): page=0x1fe613000 add_imm=0xec0

0xfffffff0095e9c68: 10220d91  add	x16, x16, #0x348
0xfffffff0095e9c6c: 10420091  add	x16, x16, #0x10
0xfffffff0095e9c70: f10300aa  mov	x17, x0
0xfffffff0095e9c74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095e9c78: 300ac1da  pacda	x16, x17
0xfffffff0095e9c7c: 100000f9  str	x16, [x0]
0xfffffff0095e9c80: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0095e9c84: ff0f5fd6  retab	
0xfffffff0095e9c88: 5f2403d5  bti	c
0xfffffff0095e9c8c: 5a570014  b	#0xfffffff0095ff9f4
0xfffffff0095e9c90: 5f2403d5  bti	c
0xfffffff0095e9c94: 58570014  b	#0xfffffff0095ff9f4
0xfffffff0095e9c98: 7f2303d5  pacibsp	
0xfffffff0095e9c9c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0095e9ca0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0095e9ca4: fd430091  add	x29, sp, #0x10
0xfffffff0095e9ca8: f30300aa  mov	x19, x0
0xfffffff0095e9cac: 52570094  bl	#0xfffffff0095ff9f4
0xfffffff0095e9cb0: 8030fff0  adrp	x0, #0xfffffff007bfc000
0xfffffff0095e9cb4: 00003b91  add	x0, x0, #0xec0
0xfffffff0095e9cb8: e10313aa  mov	x1, x19
0xfffffff0095e9cbc: 020d8052  mov	w2, #0x68
0xfffffff0095e9cc0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0095e9cc4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0095e9cc8: ff2303d5  autibsp	
0xfffffff0095e9ccc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0095e9cd0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0095e9cd8
0xfffffff0095e9cd4: 208e38d4  brk	#0xc471
0xfffffff0095e9cd8: 71f6b317  b	#0xfffffff0082e769c
0xfffffff0095e9cdc: 5f2403d5  bti	c
0xfffffff0095e9ce0: e20301aa  mov	x2, x1
0xfffffff0095e9ce4: e10300aa  mov	x1, x0
0xfffffff0095e9ce8: 8030fff0  adrp	x0, #0xfffffff007bfc000
0xfffffff0095e9cec: 00003b91  add	x0, x0, #0xec0
0xfffffff0095e9cf0: 6bf6b317  b	#0xfffffff0082e769c
0xfffffff0095e9cf4: 5f2403d5  bti	c
0xfffffff0095e9cf8: 006d0090  adrp	x0, #0xfffffff00a389000
0xfffffff0095e9cfc: 00c01891  add	x0, x0, #0x630
0xfffffff0095e9d00: c0035fd6  ret	
0xfffffff0095e9d04: 7f2303d5  pacibsp	
0xfffffff0095e9d08: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0095e9d0c: fd030091  mov	x29, sp
0xfffffff0095e9d10: e1fbfeb0  adrp	x1, #0xfffffff007566000
0xfffffff0095e9d14: 21a81691  add	x1, x1, #0x5aa
0xfffffff0095e9d18: 026d0090  adrp	x2, #0xfffffff00a389000
0xfffffff0095e9d1c: 42e01f91  add	x2, x2, #0x7f8
0xfffffff0095e9d20: 030d8052  mov	w3, #0x68
0xfffffff0095e9d24: 85e7b397  bl	#0xfffffff0082e3b38
0xfffffff0095e9d28: 7030ffb0  adrp	x16, #0xfffffff007bf6000
0xfffffff0095e9d2c: 10021091  add	x16, x16, #0x400
0xfffffff0095e9d30: 10420091  add	x16, x16, #0x10
0xfffffff0095e9d34: f10300aa  mov	x17, x0
0xfffffff0095e9d38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0095e9d3c: 300ac1da  pacda	x16, x17
0xfffffff0095e9d40: 100000f9  str	x16, [x0]
0xfffffff0095e9d44: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0095e9d48: ff0f5fd6  retab	
0xfffffff0095e9d4c: 7f2303d5  pacibsp	
0xfffffff0095e9d50: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0095e9d54: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0095e9d58: fd430091  add	x29, sp, #0x10
0xfffffff0095e9d5c: 8030fff0  adrp	x0, #0xfffffff007bfc000
0xfffffff0095e9d60: 00003b91  add	x0, x0, #0xec0
0xfffffff0095e9d64: 010d8052  mov	w1, #0x68
