; Candidate 5240
; ADRP+ADD at VM 0xfffffff0087e183c (fileoff 0x17dd83c): page=0x1fea31000 add_imm=0xdb1

0xfffffff0087e17bc: c06e00f9  str	x0, [x22, #0xd8]
0xfffffff0087e17c0: c02e00f9  str	x0, [x22, #0x58]
0xfffffff0087e17c4: d30600f9  str	x19, [x22, #8]
0xfffffff0087e17c8: 9cd7ed97  bl	#0xfffffff008357638
0xfffffff0087e17cc: c00a00f9  str	x0, [x22, #0x10]
0xfffffff0087e17d0: 000400b4  cbz	x0, #0xfffffff0087e1850
0xfffffff0087e17d4: 19008052  mov	w25, #0
0xfffffff0087e17d8: 73000014  b	#0xfffffff0087e19a4
0xfffffff0087e17dc: 600e8052  mov	w0, #0x73
0xfffffff0087e17e0: 81008052  mov	w1, #4
0xfffffff0087e17e4: fb670294  bl	#0xfffffff00887b7d0
0xfffffff0087e17e8: a00d0034  cbz	w0, #0xfffffff0087e199c
0xfffffff0087e17ec: 600e8052  mov	w0, #0x73
0xfffffff0087e17f0: 0a680294  bl	#0xfffffff00887b818
0xfffffff0087e17f4: f70300aa  mov	x23, x0
0xfffffff0087e17f8: 6d4a0394  bl	#0xfffffff0088b41ac
0xfffffff0087e17fc: f60300aa  mov	x22, x0
0xfffffff0087e1800: 80008052  mov	w0, #4
0xfffffff0087e1804: 13680294  bl	#0xfffffff00887b850
0xfffffff0087e1808: 97050034  cbz	w23, #0xfffffff0087e18b8
0xfffffff0087e180c: e80315aa  mov	x8, x21
0xfffffff0087e1810: e82300f9  str	x8, [sp, #0x40]
0xfffffff0087e1814: e80314aa  mov	x8, x20
0xfffffff0087e1818: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087e181c: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1820: 08d53791  add	x8, x8, #0xdf5
0xfffffff0087e1824: 29288052  mov	w9, #0x141
0xfffffff0087e1828: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087e182c: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1830: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e1834: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1838: 680e8052  mov	w8, #0x73
0xfffffff0087e183c: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e1840: 00c43691  add	x0, x0, #0xdb1
0xfffffff0087e1844: f62300a9  stp	x22, x8, [sp]
0xfffffff0087e1848: 0657d797  bl	#0xfffffff007db7460
0xfffffff0087e184c: 54000014  b	#0xfffffff0087e199c
0xfffffff0087e1850: 600e8052  mov	w0, #0x73
0xfffffff0087e1854: 81008052  mov	w1, #4
0xfffffff0087e1858: de670294  bl	#0xfffffff00887b7d0
0xfffffff0087e185c: 00090034  cbz	w0, #0xfffffff0087e197c
0xfffffff0087e1860: 600e8052  mov	w0, #0x73
0xfffffff0087e1864: ed670294  bl	#0xfffffff00887b818
0xfffffff0087e1868: f80300aa  mov	x24, x0
0xfffffff0087e186c: 504a0394  bl	#0xfffffff0088b41ac
0xfffffff0087e1870: f70300aa  mov	x23, x0
0xfffffff0087e1874: 80008052  mov	w0, #4
0xfffffff0087e1878: f6670294  bl	#0xfffffff00887b850
0xfffffff0087e187c: 58050034  cbz	w24, #0xfffffff0087e1924
0xfffffff0087e1880: f35b03a9  stp	x19, x22, [sp, #0x30]
0xfffffff0087e1884: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1888: 084d3991  add	x8, x8, #0xe53
0xfffffff0087e188c: 492a8052  mov	w9, #0x152
0xfffffff0087e1890: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087e1894: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1898: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e189c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e18a0: 680e8052  mov	w8, #0x73
0xfffffff0087e18a4: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e18a8: 00303891  add	x0, x0, #0xe0c
0xfffffff0087e18ac: f72300a9  stp	x23, x8, [sp]
0xfffffff0087e18b0: ec56d797  bl	#0xfffffff007db7460
0xfffffff0087e18b4: 32000014  b	#0xfffffff0087e197c
0xfffffff0087e18b8: 3d4a0394  bl	#0xfffffff0088b41ac
