; Candidate 4433
; ADRP+ADD at VM 0xfffffff0087b07dc (fileoff 0x17ac7dc): page=0x1fe981000 add_imm=0xd90

0xfffffff0087b075c: fdc30091  add	x29, sp, #0x30
0xfffffff0087b0760: 080080d2  mov	x8, #0
0xfffffff0087b0764: 15008052  mov	w21, #0
0xfffffff0087b0768: 091041b9  ldr	w9, [x0, #0x110]
0xfffffff0087b076c: 0a0c8052  mov	w10, #0x60
0xfffffff0087b0770: 29010a9b  madd	x9, x9, x10, x0
0xfffffff0087b0774: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff0087b0778: 0b118052  mov	w11, #0x88
0xfffffff0087b077c: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff0087b0780: 539d40f9  ldr	x19, [x10, #0x138]
0xfffffff0087b0784: 29ad4b79  ldrh	w9, [x9, #0x5d6]
0xfffffff0087b0788: 14008012  mov	w20, #-1
0xfffffff0087b078c: 2a008052  mov	w10, #1
0xfffffff0087b0790: eb030aaa  mov	x11, x10
0xfffffff0087b0794: 6a06088b  add	x10, x19, x8, lsl #1
0xfffffff0087b0798: 4a394079  ldrh	w10, [x10, #0x1c]
0xfffffff0087b079c: 9f060031  cmn	w20, #1
0xfffffff0087b07a0: 0801941a  csel	w8, w8, w20, eq
0xfffffff0087b07a4: 5f010071  cmp	w10, #0
0xfffffff0087b07a8: b506951a  cinc	w21, w21, ne
0xfffffff0087b07ac: 9402881a  csel	w20, w20, w8, eq
0xfffffff0087b07b0: 28008052  mov	w8, #1
0xfffffff0087b07b4: 0a008052  mov	w10, #0
0xfffffff0087b07b8: cbfe0737  tbnz	w11, #0, #0xfffffff0087b0790
0xfffffff0087b07bc: 36150012  and	w22, w9, #0x3f
0xfffffff0087b07c0: bf020071  cmp	w21, #0
0xfffffff0087b07c4: 841a413a  ccmn	w20, #1, #4, ne
0xfffffff0087b07c8: a1010054  b.ne	#0xfffffff0087b07fc
0xfffffff0087b07cc: 08128052  mov	w8, #0x90
0xfffffff0087b07d0: 294dffb0  adrp	x9, #0xfffffff007155000
0xfffffff0087b07d4: 29f12991  add	x9, x9, #0xa7c
0xfffffff0087b07d8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b07dc: 004cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b07e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b07e4: 6192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b07e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b07ec: c34cfff0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b07f0: 63802691  add	x3, x3, #0x9a0
0xfffffff0087b07f4: 02008052  mov	w2, #0
0xfffffff0087b07f8: 4e0aee97  bl	#0xfffffff008333130
0xfffffff0087b07fc: 091f8652  mov	w9, #0x30f8
0xfffffff0087b0800: 4900a072  movk	w9, #2, lsl #16
0xfffffff0087b0804: 88028352  mov	w8, #0x1814
0xfffffff0087b0808: ca7e081b  mul	w10, w22, w8
0xfffffff0087b080c: 4801090b  add	w8, w10, w9
0xfffffff0087b0810: 0b3d1e12  and	w11, w8, #0x3fffc
0xfffffff0087b0814: 2c008052  mov	w12, #1
0xfffffff0087b0818: 0c61a072  movk	w12, #0x308, lsl #16
0xfffffff0087b081c: 6b010c2a  orr	w11, w11, w12
0xfffffff0087b0820: 6b0200b9  str	w11, [x19]
0xfffffff0087b0824: 2b299252  mov	w11, #0x9149
0xfffffff0087b0828: cb7ba072  movk	w11, #0x3de, lsl #16
0xfffffff0087b082c: 6b1203b9  str	w11, [x19, #0x310]
0xfffffff0087b0830: 6bf606b9  str	w11, [x19, #0x6f4]
0xfffffff0087b0834: 08410c11  add	w8, w8, #0x310
0xfffffff0087b0838: 083d1e12  and	w8, w8, #0x3fffc
0xfffffff0087b083c: 2b008052  mov	w11, #1
0xfffffff0087b0840: 0b2da072  movk	w11, #0x168, lsl #16
0xfffffff0087b0844: 08010b2a  orr	w8, w8, w11
0xfffffff0087b0848: 686e0bb9  str	w8, [x19, #0xb6c]
0xfffffff0087b084c: 6b364079  ldrh	w11, [x19, #0x1a]
0xfffffff0087b0850: 7f0900f1  cmp	x11, #2
0xfffffff0087b0854: 03010054  b.lo	#0xfffffff0087b0874
0xfffffff0087b0858: 6c723391  add	x12, x19, #0xcdc
