; Candidate 16474
; ADRP+ADD at VM 0xfffffff009eba8a8 (fileoff 0x2eb68a8): page=0x1fd986000 add_imm=0xe43

0xfffffff009eba828: e0830491  add	x0, sp, #0x120
0xfffffff009eba82c: 01008052  mov	w1, #0
0xfffffff009eba830: 02028052  mov	w2, #0x10
0xfffffff009eba834: e3487a97  bl	#0xfffffff007d4cbc0
0xfffffff009eba838: 68008052  mov	w8, #3
0xfffffff009eba83c: 0835a072  movk	w8, #0x1a8, lsl #16
0xfffffff009eba840: e82301b9  str	w8, [sp, #0x120]
0xfffffff009eba844: f79700f9  str	x23, [sp, #0x128]
0xfffffff009eba848: 600240f9  ldr	x0, [x19]
0xfffffff009eba84c: 047c40f9  ldr	x4, [x0, #0xf8]
0xfffffff009eba850: e3830491  add	x3, sp, #0x120
0xfffffff009eba854: e5630491  add	x5, sp, #0x118
0xfffffff009eba858: 21008052  mov	w1, #1
0xfffffff009eba85c: 020080d2  mov	x2, #0
0xfffffff009eba860: 4ba10094  bl	#0xfffffff009ee2d8c
0xfffffff009eba864: e0020035  cbnz	w0, #0xfffffff009eba8c0
0xfffffff009eba868: 093e8452  mov	w9, #0x21f0
0xfffffff009eba86c: fa8f40f9  ldr	x26, [sp, #0x118]
0xfffffff009eba870: 680240f9  ldr	x8, [x19]
0xfffffff009eba874: 0801098b  add	x8, x8, x9
0xfffffff009eba878: 491f40f9  ldr	x9, [x26, #0x38]
0xfffffff009eba87c: 4a4f40f9  ldr	x10, [x26, #0x98]
0xfffffff009eba880: 4b3740f9  ldr	x11, [x26, #0x68]
0xfffffff009eba884: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff009eba888: e91300f9  str	x9, [sp, #0x20]
0xfffffff009eba88c: 09008092  mov	x9, #-1
0xfffffff009eba890: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009eba894: c8918152  mov	w8, #0xc8e
0xfffffff009eba898: e80700f9  str	x8, [sp, #8]
0xfffffff009eba89c: 28ccfed0  adrp	x8, #0xfffffff007840000
0xfffffff009eba8a0: 08b13191  add	x8, x8, #0xc6c
0xfffffff009eba8a4: e80300f9  str	x8, [sp]
0xfffffff009eba8a8: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba8ac: 000c3991  add	x0, x0, #0xe43
0xfffffff009eba8b0: 0514ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba8b4: e0031aaa  mov	x0, x26
0xfffffff009eba8b8: 1a3e8452  mov	w26, #0x21f0
0xfffffff009eba8bc: f89d0094  bl	#0xfffffff009ee209c
0xfffffff009eba8c0: ff8b00f9  str	xzr, [sp, #0x110]
0xfffffff009eba8c4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba8c8: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff009eba8cc: e03b803d  str	q0, [sp, #0xe0]
0xfffffff009eba8d0: 600240f9  ldr	x0, [x19]
0xfffffff009eba8d4: e4830391  add	x4, sp, #0xe0
0xfffffff009eba8d8: e10317aa  mov	x1, x23
0xfffffff009eba8dc: 020080d2  mov	x2, #0
0xfffffff009eba8e0: 030080d2  mov	x3, #0
0xfffffff009eba8e4: 05008052  mov	w5, #0
0xfffffff009eba8e8: 4dc30094  bl	#0xfffffff009eeb61c
0xfffffff009eba8ec: 680240f9  ldr	x8, [x19]
0xfffffff009eba8f0: 08011a8b  add	x8, x8, x26
0xfffffff009eba8f4: e0010034  cbz	w0, #0xfffffff009eba930
0xfffffff009eba8f8: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009eba8fc: e9928152  mov	w9, #0xc97
0xfffffff009eba900: 28ccfed0  adrp	x8, #0xfffffff007840000
0xfffffff009eba904: 08b13191  add	x8, x8, #0xc6c
0xfffffff009eba908: e82700a9  stp	x8, x9, [sp]
0xfffffff009eba90c: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba910: 00c43a91  add	x0, x0, #0xeb1
0xfffffff009eba914: ec13ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba918: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba91c: 080080d2  mov	x8, #0
0xfffffff009eba920: a7ffff17  b	#0xfffffff009eba7bc
0xfffffff009eba924: 080080d2  mov	x8, #0
