; Candidate 14997
; ADRP+ADD at VM 0xfffffff009a22d78 (fileoff 0x2a1ed78): page=0x994000 add_imm=0xd88

0xfffffff009a22cf8: d1a681d2  mov	x17, #0xd36
0xfffffff009a22cfc: 11093fd7  blraa	x8, x17
0xfffffff009a22d00: e813ffb0  adrp	x8, #0xfffffff007c9f000
0xfffffff009a22d04: 08410991  add	x8, x8, #0x250
0xfffffff009a22d08: 150140f9  ldr	x21, [x8]
0xfffffff009a22d0c: 900240f9  ldr	x16, [x20]
0xfffffff009a22d10: f10314aa  mov	x17, x20
0xfffffff009a22d14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a22d18: 301ac1da  autda	x16, x17
0xfffffff009a22d1c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009a22d20: e90310aa  mov	x9, x16
0xfffffff009a22d24: e00314aa  mov	x0, x20
0xfffffff009a22d28: f10309aa  mov	x17, x9
0xfffffff009a22d2c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009a22d30: 11093fd7  blraa	x8, x17
0xfffffff009a22d34: bf0200eb  cmp	x21, x0
0xfffffff009a22d38: e1000054  b.ne	#0xfffffff009a22d54
0xfffffff009a22d3c: 885240f9  ldr	x8, [x20, #0xa0]
0xfffffff009a22d40: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff009a22d44: 880000b4  cbz	x8, #0xfffffff009a22d54
0xfffffff009a22d48: 69008052  mov	w9, #3
0xfffffff009a22d4c: 69761e33  bfi	w9, w19, #2, #0x1e
0xfffffff009a22d50: 1fd929b8  str	wzr, [x8, w9, sxtw #2]
0xfffffff009a22d54: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009a22d58: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009a22d5c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009a22d60: ff0f5fd6  retab	
0xfffffff009a22d64: 5f2403d5  bti	c
0xfffffff009a22d68: 6306a317  b	#0xfffffff0082e46f4
0xfffffff009a22d6c: 7f2303d5  pacibsp	
0xfffffff009a22d70: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a22d74: fd030091  mov	x29, sp
0xfffffff009a22d78: a04c0090  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a22d7c: 00203691  add	x0, x0, #0xd88
0xfffffff009a22d80: 01dffed0  adrp	x1, #0xfffffff007604000
0xfffffff009a22d84: 21981c91  add	x1, x1, #0x726
0xfffffff009a22d88: c213fff0  adrp	x2, #0xfffffff007c9d000
0xfffffff009a22d8c: 423841f9  ldr	x2, [x2, #0x270]
0xfffffff009a22d90: 03178052  mov	w3, #0xb8
0xfffffff009a22d94: 6903a397  bl	#0xfffffff0082e3b38
0xfffffff009a22d98: f013ffd0  adrp	x16, #0xfffffff007ca0000
0xfffffff009a22d9c: 10023e91  add	x16, x16, #0xf80
0xfffffff009a22da0: 10420091  add	x16, x16, #0x10
0xfffffff009a22da4: f10300aa  mov	x17, x0
0xfffffff009a22da8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a22dac: 300ac1da  pacda	x16, x17
0xfffffff009a22db0: 100000f9  str	x16, [x0]
0xfffffff009a22db4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a22db8: ff0f5fd6  retab	
0xfffffff009a22dbc: 5f2403d5  bti	c
0xfffffff009a22dc0: a04c0090  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a22dc4: 00203691  add	x0, x0, #0xd88
0xfffffff009a22dc8: 4b06a317  b	#0xfffffff0082e46f4
0xfffffff009a22dcc: 7f2303d5  pacibsp	
0xfffffff009a22dd0: ffc300d1  sub	sp, sp, #0x30
0xfffffff009a22dd4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009a22dd8: fd830091  add	x29, sp, #0x20
0xfffffff009a22ddc: 2000c03d  ldr	q0, [x1]
0xfffffff009a22de0: e003803d  str	q0, [sp]
0xfffffff009a22de4: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff009a22de8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009a22dec: e1030091  mov	x1, sp
0xfffffff009a22df0: 04000094  bl	#0xfffffff009a22e00
0xfffffff009a22df4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
