; Candidate 9792
; ADRP+ADD at VM 0xfffffff008b40aa0 (fileoff 0x1b3caa0): page=0x1fef49000 add_imm=0xd78

0xfffffff008b40a20: 0834a672  movk	w8, #0x31a0, lsl #16
0xfffffff008b40a24: a1a49f92  mov	x1, #-0xfd26
0xfffffff008b40a28: 0100bcf2  movk	x1, #0xe000, lsl #16
0xfffffff008b40a2c: 54ffff17  b	#0xfffffff008b4077c
0xfffffff008b40a30: 28008052  mov	w8, #1
0xfffffff008b40a34: 68f20239  strb	w8, [x19, #0xbc]
0xfffffff008b40a38: 68824239  ldrb	w8, [x19, #0xa0]
0xfffffff008b40a3c: 88010036  tbz	w8, #0, #0xfffffff008b40a6c
0xfffffff008b40a40: 683dfff0  adrp	x8, #0xfffffff0072ef000
0xfffffff008b40a44: 087d3991  add	x8, x8, #0xe5f
0xfffffff008b40a48: e80300f9  str	x8, [sp]
0xfffffff008b40a4c: 203cffb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b40a50: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b40a54: e179ffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b40a58: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b40a5c: 033effb0  adrp	x3, #0xfffffff007301000
0xfffffff008b40a60: 63f82191  add	x3, x3, #0x87e
0xfffffff008b40a64: 02008052  mov	w2, #0
0xfffffff008b40a68: b2c9df97  bl	#0xfffffff008333130
0xfffffff008b40a6c: 010080d2  mov	x1, #0
0xfffffff008b40a70: 15008052  mov	w21, #0
0xfffffff008b40a74: 28208052  mov	w8, #0x101
0xfffffff008b40a78: 68920978  sturh	w8, [x19, #0x99]
0xfffffff008b40a7c: 68da40f9  ldr	x8, [x19, #0x1b0]
0xfffffff008b40a80: e9018052  mov	w9, #0xf
0xfffffff008b40a84: ea2b40f9  ldr	x10, [sp, #0x50]
0xfffffff008b40a88: 09692ab8  str	w9, [x8, x10]
0xfffffff008b40a8c: 3affff17  b	#0xfffffff008b40774
0xfffffff008b40a90: 5f2403d5  bti	c
0xfffffff008b40a94: 287c009b  mul	x8, x1, x0
0xfffffff008b40a98: 1fc100f1  cmp	x8, #0x30
0xfffffff008b40a9c: e1000054  b.ne	#0xfffffff008b40ab8
0xfffffff008b40aa0: 407affb0  adrp	x0, #0xfffffff007a89000
0xfffffff008b40aa4: 00e03591  add	x0, x0, #0xd78
0xfffffff008b40aa8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b40aac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b40ab4
0xfffffff008b40ab0: 208e38d4  brk	#0xc471
0xfffffff008b40ab4: 9056e017  b	#0xfffffff0083564f4
0xfffffff008b40ab8: 7f2303d5  pacibsp	
0xfffffff008b40abc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008b40ac0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008b40ac4: fd830091  add	x29, sp, #0x20
0xfffffff008b40ac8: 09068052  mov	w9, #0x30
0xfffffff008b40acc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008b40ad0: 893dffb0  adrp	x9, #0xfffffff0072f1000
0xfffffff008b40ad4: 298d0a91  add	x9, x9, #0x2a3
0xfffffff008b40ad8: e90300f9  str	x9, [sp]
0xfffffff008b40adc: 203cffb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b40ae0: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b40ae4: e179ffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b40ae8: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b40aec: 233eff90  adrp	x3, #0xfffffff007304000
0xfffffff008b40af0: 63801391  add	x3, x3, #0x4e0
0xfffffff008b40af4: 02008052  mov	w2, #0
0xfffffff008b40af8: 8ec9df97  bl	#0xfffffff008333130
0xfffffff008b40afc: 000080d2  mov	x0, #0
0xfffffff008b40b00: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008b40b04: ffc30091  add	sp, sp, #0x30
0xfffffff008b40b08: ff0f5fd6  retab	
0xfffffff008b40b0c: 5f2403d5  bti	c
0xfffffff008b40b10: e10300aa  mov	x1, x0
0xfffffff008b40b14: 407affb0  adrp	x0, #0xfffffff007a89000
0xfffffff008b40b18: 00e03691  add	x0, x0, #0xdb8
0xfffffff008b40b1c: fc56e017  b	#0xfffffff00835670c
