; Candidate 16900
; ADRP+ADD at VM 0xfffffff009fd52e8 (fileoff 0x2fd12e8): page=0x1fd89c000 add_imm=0xcec

0xfffffff009fd5268: fd7b58a9  ldp	x29, x30, [sp, #0x180]
0xfffffff009fd526c: f44f57a9  ldp	x20, x19, [sp, #0x170]
0xfffffff009fd5270: ff430691  add	sp, sp, #0x190
0xfffffff009fd5274: ff0f5fd6  retab	
0xfffffff009fd5278: e0c4fe90  adrp	x0, #0xfffffff007871000
0xfffffff009fd527c: 00b03391  add	x0, x0, #0xcec
0xfffffff009fd5280: 88deff97  bl	#0xfffffff009fccca0
0xfffffff009fd5284: e0c4fe90  adrp	x0, #0xfffffff007871000
0xfffffff009fd5288: 00583491  add	x0, x0, #0xd16
0xfffffff009fd528c: 85deff97  bl	#0xfffffff009fccca0
0xfffffff009fd5290: e82a8052  mov	w8, #0x157
0xfffffff009fd5294: e9c4fe90  adrp	x9, #0xfffffff007871000
0xfffffff009fd5298: 29b13291  add	x9, x9, #0xcac
0xfffffff009fd529c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009fd52a0: e00300f9  str	x0, [sp]
0xfffffff009fd52a4: e0c4fe90  adrp	x0, #0xfffffff007871000
0xfffffff009fd52a8: 00143291  add	x0, x0, #0xc85
0xfffffff009fd52ac: 98fc9297  bl	#0xfffffff00849450c
0xfffffff009fd52b0: e7227697  bl	#0xfffffff007d5de4c
0xfffffff009fd52b4: 7f2303d5  pacibsp	
0xfffffff009fd52b8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009fd52bc: fd030091  mov	x29, sp
0xfffffff009fd52c0: e80301aa  mov	x8, x1
0xfffffff009fd52c4: 090040f9  ldr	x9, [x0]
0xfffffff009fd52c8: e10302aa  mov	x1, x2
0xfffffff009fd52cc: e20308aa  mov	x2, x8
0xfffffff009fd52d0: f10300aa  mov	x17, x0
0xfffffff009fd52d4: 91bdf4f2  movk	x17, #0xa5ec, lsl #48
0xfffffff009fd52d8: 31093fd7  blraa	x9, x17
0xfffffff009fd52dc: 60000035  cbnz	w0, #0xfffffff009fd52e8
0xfffffff009fd52e0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009fd52e4: ff0f5fd6  retab	
0xfffffff009fd52e8: e0c4fe90  adrp	x0, #0xfffffff007871000
0xfffffff009fd52ec: 00b03391  add	x0, x0, #0xcec
0xfffffff009fd52f0: 6cdeff97  bl	#0xfffffff009fccca0
0xfffffff009fd52f4: 7f2303d5  pacibsp	
0xfffffff009fd52f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009fd52fc: fd030091  mov	x29, sp
0xfffffff009fd5300: 0d43ff97  bl	#0xfffffff009fa5f34
0xfffffff009fd5304: 60000035  cbnz	w0, #0xfffffff009fd5310
0xfffffff009fd5308: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009fd530c: ff0f5fd6  retab	
0xfffffff009fd5310: e0c4fe90  adrp	x0, #0xfffffff007871000
0xfffffff009fd5314: 00583491  add	x0, x0, #0xd16
0xfffffff009fd5318: 62deff97  bl	#0xfffffff009fccca0
0xfffffff009fd531c: 5f2403d5  bti	c
0xfffffff009fd5320: 001e8052  mov	w0, #0xf0
0xfffffff009fd5324: c0035fd6  ret	
0xfffffff009fd5328: 7f2303d5  pacibsp	
0xfffffff009fd532c: ffc301d1  sub	sp, sp, #0x70
0xfffffff009fd5330: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009fd5334: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009fd5338: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009fd533c: fd830191  add	x29, sp, #0x60
0xfffffff009fd5340: f30300aa  mov	x19, x0
0xfffffff009fd5344: 68ebfef0  adrp	x8, #0xfffffff007d44000
0xfffffff009fd5348: 082d43f9  ldr	x8, [x8, #0x658]
0xfffffff009fd534c: 080140f9  ldr	x8, [x8]
0xfffffff009fd5350: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff009fd5354: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009fd5358: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff009fd535c: 28200090  adrp	x8, #0xfffffff00a3d9000
0xfffffff009fd5360: 08810c91  add	x8, x8, #0x320
0xfffffff009fd5364: f0fffff0  adrp	x16, #0xfffffff009fd4000
