; Candidate 13709
; ADRP+ADD at VM 0xfffffff0093e52d8 (fileoff 0x23e12d8): page=0x1fe7ee000 add_imm=0xd88

0xfffffff0093e5258: 00011f32  orr	w0, w8, #2
0xfffffff0093e525c: eeffff17  b	#0xfffffff0093e5214
0xfffffff0093e5260: 801240f9  ldr	x0, [x20, #0x20]
0xfffffff0093e5264: 613fffd0  adrp	x1, #0xfffffff007bd3000
0xfffffff0093e5268: 21402791  add	x1, x1, #0x9d0
0xfffffff0093e526c: dff3ff97  bl	#0xfffffff0093e21e8
0xfffffff0093e5270: 80f9ff35  cbnz	w0, #0xfffffff0093e51a0
0xfffffff0093e5274: 811640f9  ldr	x1, [x20, #0x28]
0xfffffff0093e5278: e0630091  add	x0, sp, #0x18
0xfffffff0093e527c: dbf3ff97  bl	#0xfffffff0093e21e8
0xfffffff0093e5280: c8ffff17  b	#0xfffffff0093e51a0
0xfffffff0093e5284: 00a02ad4  brk	#0x5500
0xfffffff0093e5288: f1e2a597  bl	#0xfffffff007d5de4c
0xfffffff0093e528c: 5f2403d5  bti	c
0xfffffff0093e5290: 030080d2  mov	x3, #0
0xfffffff0093e5294: dcfeff17  b	#0xfffffff0093e4e04
0xfffffff0093e5298: 7f2303d5  pacibsp	
0xfffffff0093e529c: ff0301d1  sub	sp, sp, #0x40
0xfffffff0093e52a0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0093e52a4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0093e52a8: fdc30091  add	x29, sp, #0x30
0xfffffff0093e52ac: f30300aa  mov	x19, x0
0xfffffff0093e52b0: 683fffd0  adrp	x8, #0xfffffff007bd3000
0xfffffff0093e52b4: 080144f9  ldr	x8, [x8, #0x800]
0xfffffff0093e52b8: 080140f9  ldr	x8, [x8]
0xfffffff0093e52bc: e80f00f9  str	x8, [sp, #0x18]
0xfffffff0093e52c0: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0093e52c4: e8a300a9  stp	x8, x8, [sp, #8]
0xfffffff0093e52c8: 00a00191  add	x0, x0, #0x68
0xfffffff0093e52cc: e1230091  add	x1, sp, #8
0xfffffff0093e52d0: 51fbff97  bl	#0xfffffff0093e4014
0xfffffff0093e52d4: c0040035  cbnz	w0, #0xfffffff0093e536c
0xfffffff0093e52d8: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e52dc: 00203691  add	x0, x0, #0xd88
0xfffffff0093e52e0: e1230091  add	x1, sp, #8
0xfffffff0093e52e4: c1f3ff97  bl	#0xfffffff0093e21e8
0xfffffff0093e52e8: e0020034  cbz	w0, #0xfffffff0093e5344
0xfffffff0093e52ec: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e52f0: 00603691  add	x0, x0, #0xd98
0xfffffff0093e52f4: e1230091  add	x1, sp, #8
0xfffffff0093e52f8: bcf3ff97  bl	#0xfffffff0093e21e8
0xfffffff0093e52fc: 80020034  cbz	w0, #0xfffffff0093e534c
0xfffffff0093e5300: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e5304: 00a03691  add	x0, x0, #0xda8
0xfffffff0093e5308: e1230091  add	x1, sp, #8
0xfffffff0093e530c: cbf3ff97  bl	#0xfffffff0093e2238
0xfffffff0093e5310: 20020034  cbz	w0, #0xfffffff0093e5354
0xfffffff0093e5314: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e5318: 00e03691  add	x0, x0, #0xdb8
0xfffffff0093e531c: e1230091  add	x1, sp, #8
0xfffffff0093e5320: c6f3ff97  bl	#0xfffffff0093e2238
0xfffffff0093e5324: c0010034  cbz	w0, #0xfffffff0093e535c
0xfffffff0093e5328: 603fffd0  adrp	x0, #0xfffffff007bd3000
0xfffffff0093e532c: 00203791  add	x0, x0, #0xdc8
0xfffffff0093e5330: e1230091  add	x1, sp, #8
0xfffffff0093e5334: c1f3ff97  bl	#0xfffffff0093e2238
0xfffffff0093e5338: a0010035  cbnz	w0, #0xfffffff0093e536c
0xfffffff0093e533c: 0802c0d2  mov	x8, #0x1000000000
0xfffffff0093e5340: 08000014  b	#0xfffffff0093e5360
0xfffffff0093e5344: 08e08152  mov	w8, #0xf00
0xfffffff0093e5348: 06000014  b	#0xfffffff0093e5360
0xfffffff0093e534c: 08018052  mov	w8, #8
0xfffffff0093e5350: 04000014  b	#0xfffffff0093e5360
0xfffffff0093e5354: 8800c0d2  mov	x8, #0x400000000
