; Candidate 5315
; ADRP+ADD at VM 0xfffffff0087e676c (fileoff 0x17e276c): page=0x1fea03000 add_imm=0xe80

0xfffffff0087e66ec: d13b8cd2  mov	x17, #0x61de
0xfffffff0087e66f0: 3002c1da  pacia	x16, x17
0xfffffff0087e66f4: e20310aa  mov	x2, x16
0xfffffff0087e66f8: e10315aa  mov	x1, x21
0xfffffff0087e66fc: 040080d2  mov	x4, #0
0xfffffff0087e6700: 05008052  mov	w5, #0
0xfffffff0087e6704: 148dee97  bl	#0xfffffff008389b54
0xfffffff0087e6708: 600600f9  str	x0, [x19, #8]
0xfffffff0087e670c: b00240f9  ldr	x16, [x21]
0xfffffff0087e6710: f10315aa  mov	x17, x21
0xfffffff0087e6714: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087e6718: 301ac1da  autda	x16, x17
0xfffffff0087e671c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087e6720: e90310aa  mov	x9, x16
0xfffffff0087e6724: e00315aa  mov	x0, x21
0xfffffff0087e6728: f10309aa  mov	x17, x9
0xfffffff0087e672c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087e6730: 11093fd7  blraa	x8, x17
0xfffffff0087e6734: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087e6738: 080600b4  cbz	x8, #0xfffffff0087e67f8
0xfffffff0087e673c: 15008052  mov	w21, #0
0xfffffff0087e6740: 86000014  b	#0xfffffff0087e6958
0xfffffff0087e6744: 9a360394  bl	#0xfffffff0088b41ac
0xfffffff0087e6748: f50300aa  mov	x21, x0
0xfffffff0087e674c: c0008052  mov	w0, #6
0xfffffff0087e6750: 40540294  bl	#0xfffffff00887b850
0xfffffff0087e6754: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087e6758: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e675c: 08393591  add	x8, x8, #0xd4e
0xfffffff0087e6760: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e6764: 680e8052  mov	w8, #0x73
0xfffffff0087e6768: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e676c: 0050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e6770: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e6774: 0191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e6778: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e677c: c352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087e6780: 63c81791  add	x3, x3, #0x5f2
0xfffffff0087e6784: 02008052  mov	w2, #0
0xfffffff0087e6788: 6a32ed97  bl	#0xfffffff008333130
0xfffffff0087e678c: d3f8ffb5  cbnz	x19, #0xfffffff0087e66a4
0xfffffff0087e6790: 600e8052  mov	w0, #0x73
0xfffffff0087e6794: 81008052  mov	w1, #4
0xfffffff0087e6798: 0e540294  bl	#0xfffffff00887b7d0
0xfffffff0087e679c: e0080034  cbz	w0, #0xfffffff0087e68b8
0xfffffff0087e67a0: 600e8052  mov	w0, #0x73
0xfffffff0087e67a4: 1d540294  bl	#0xfffffff00887b818
0xfffffff0087e67a8: f60300aa  mov	x22, x0
0xfffffff0087e67ac: 80360394  bl	#0xfffffff0088b41ac
0xfffffff0087e67b0: f50300aa  mov	x21, x0
0xfffffff0087e67b4: 80008052  mov	w0, #4
0xfffffff0087e67b8: 26540294  bl	#0xfffffff00887b850
0xfffffff0087e67bc: 36050034  cbz	w22, #0xfffffff0087e6860
0xfffffff0087e67c0: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff0087e67c4: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e67c8: 08a53591  add	x8, x8, #0xd69
0xfffffff0087e67cc: a9078052  mov	w9, #0x3d
0xfffffff0087e67d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087e67d4: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e67d8: 08393591  add	x8, x8, #0xd4e
0xfffffff0087e67dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e67e0: 680e8052  mov	w8, #0x73
0xfffffff0087e67e4: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e67e8: 00ac1091  add	x0, x0, #0x42b
