; Candidate 12584
; ADRP+ADD at VM 0xfffffff0090c135c (fileoff 0x20bd35c): page=0x1fe398000 add_imm=0xe24

0xfffffff0090c12dc: 756cff97  bl	#0xfffffff00909c4b0
0xfffffff0090c12e0: c8088052  mov	w8, #0x46
0xfffffff0090c12e4: 05000014  b	#0xfffffff0090c12f8
0xfffffff0090c12e8: 9f020071  cmp	w20, #0
0xfffffff0090c12ec: c8088052  mov	w8, #0x46
0xfffffff0090c12f0: 49018052  mov	w9, #0xa
0xfffffff0090c12f4: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c12f8: 49034039  ldrb	w9, [x26]
0xfffffff0090c12fc: 1f01096b  cmp	w8, w9
0xfffffff0090c1300: 43010054  b.lo	#0xfffffff0090c1328
0xfffffff0090c1304: e80314aa  mov	x8, x20
0xfffffff0090c1308: 087d4093  sxtw	x8, w8
0xfffffff0090c130c: e91cff90  adrp	x9, #0xfffffff00745d000
0xfffffff0090c1310: 29413c91  add	x9, x9, #0xf10
0xfffffff0090c1314: e97300a9  stp	x9, x28, [sp]
0xfffffff0090c1318: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c131c: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1320: 00903891  add	x0, x0, #0xe24
0xfffffff0090c1324: 3f57ca97  bl	#0xfffffff008357020
0xfffffff0090c1328: 34150035  cbnz	w20, #0xfffffff0090c15cc
0xfffffff0090c132c: 48018052  mov	w8, #0xa
0xfffffff0090c1330: 49034039  ldrb	w9, [x26]
0xfffffff0090c1334: 1f01096b  cmp	w8, w9
0xfffffff0090c1338: 83010054  b.lo	#0xfffffff0090c1368
0xfffffff0090c133c: e80314aa  mov	x8, x20
0xfffffff0090c1340: 087d4093  sxtw	x8, w8
0xfffffff0090c1344: 491dff90  adrp	x9, #0xfffffff007469000
0xfffffff0090c1348: 29e50d91  add	x9, x9, #0x379
0xfffffff0090c134c: ea1cff90  adrp	x10, #0xfffffff00745d000
0xfffffff0090c1350: 4a413c91  add	x10, x10, #0xf10
0xfffffff0090c1354: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090c1358: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c135c: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1360: 00903891  add	x0, x0, #0xe24
0xfffffff0090c1364: 2f57ca97  bl	#0xfffffff008357020
0xfffffff0090c1368: e00314aa  mov	x0, x20
0xfffffff0090c136c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0090c1370: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0090c1374: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0090c1378: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0090c137c: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0090c1380: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0090c1384: ff430391  add	sp, sp, #0xd0
0xfffffff0090c1388: ff0f5fd6  retab	
0xfffffff0090c138c: 88eb8052  mov	w8, #0x75c
0xfffffff0090c1390: 291dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090c1394: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c1398: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c139c: c81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090c13a0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c13a4: 4a1dff90  adrp	x10, #0xfffffff007469000
0xfffffff0090c13a8: 4a811391  add	x10, x10, #0x4e0
0xfffffff0090c13ac: 2f000014  b	#0xfffffff0090c1468
0xfffffff0090c13b0: a8eb8052  mov	w8, #0x75d
0xfffffff0090c13b4: 0b000014  b	#0xfffffff0090c13e0
0xfffffff0090c13b8: c8eb8052  mov	w8, #0x75e
0xfffffff0090c13bc: 291dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090c13c0: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c13c4: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c13c8: c81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090c13cc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c13d0: 4a1dff90  adrp	x10, #0xfffffff007469000
0xfffffff0090c13d4: 4aa51391  add	x10, x10, #0x4e9
0xfffffff0090c13d8: 24000014  b	#0xfffffff0090c1468
