; Candidate 8996
; ADRP+ADD at VM 0xfffffff008925bd4 (fileoff 0x1921bd4): page=0x1fe953000 add_imm=0xd59

0xfffffff008925b54: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008925b58: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008925b5c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008925b60: ff0f5fd6  retab	
0xfffffff008925b64: 725a0094  bl	#0xfffffff00893c52c
0xfffffff008925b68: 8d5a0094  bl	#0xfffffff00893c59c
0xfffffff008925b6c: 7e5a0094  bl	#0xfffffff00893c564
0xfffffff008925b70: 615a0094  bl	#0xfffffff00893c4f4
0xfffffff008925b74: 525a0094  bl	#0xfffffff00893c4bc
0xfffffff008925b78: 7f2303d5  pacibsp	
0xfffffff008925b7c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008925b80: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008925b84: fd430091  add	x29, sp, #0x10
0xfffffff008925b88: f30301aa  mov	x19, x1
0xfffffff008925b8c: 4088ff90  adrp	x0, #0xfffffff007a2d000
0xfffffff008925b90: 00401391  add	x0, x0, #0x4d0
0xfffffff008925b94: 58c2e897  bl	#0xfffffff0083564f4
0xfffffff008925b98: e10313aa  mov	x1, x19
0xfffffff008925b9c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008925ba0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008925ba4: ff2303d5  autibsp	
0xfffffff008925ba8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008925bac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008925bb4
0xfffffff008925bb0: 208e38d4  brk	#0xc471
0xfffffff008925bb4: f8dfff17  b	#0xfffffff00891db94
0xfffffff008925bb8: 5f2403d5  bti	c
0xfffffff008925bbc: e00301aa  mov	x0, x1
0xfffffff008925bc0: cf000014  b	#0xfffffff008925efc
0xfffffff008925bc4: 5f2403d5  bti	c
0xfffffff008925bc8: e00301aa  mov	x0, x1
0xfffffff008925bcc: ee020014  b	#0xfffffff008926784
0xfffffff008925bd0: 5f2403d5  bti	c
0xfffffff008925bd4: 804afff0  adrp	x0, #0xfffffff007278000
0xfffffff008925bd8: 00643591  add	x0, x0, #0xd59
0xfffffff008925bdc: c0035fd6  ret	
0xfffffff008925be0: 5f2403d5  bti	c
0xfffffff008925be4: c4fae617  b	#0xfffffff0082e46f4
0xfffffff008925be8: 5f2403d5  bti	c
0xfffffff008925bec: 00604639  ldrb	w0, [x0, #0x198]
0xfffffff008925bf0: c0035fd6  ret	
0xfffffff008925bf4: 7f2303d5  pacibsp	
0xfffffff008925bf8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008925bfc: fd030091  mov	x29, sp
0xfffffff008925c00: a0cd00f0  adrp	x0, #0xfffffff00a2dc000
0xfffffff008925c04: 00801f91  add	x0, x0, #0x7e0
0xfffffff008925c08: 814afff0  adrp	x1, #0xfffffff007278000
0xfffffff008925c0c: 21d83191  add	x1, x1, #0xc76
0xfffffff008925c10: a2cd00f0  adrp	x2, #0xfffffff00a2dc000
0xfffffff008925c14: 42601d91  add	x2, x2, #0x758
0xfffffff008925c18: 033a8052  mov	w3, #0x1d0
0xfffffff008925c1c: c7f7e697  bl	#0xfffffff0082e3b38
0xfffffff008925c20: 1088ffd0  adrp	x16, #0xfffffff007a27000
0xfffffff008925c24: 10221091  add	x16, x16, #0x408
0xfffffff008925c28: 10420091  add	x16, x16, #0x10
0xfffffff008925c2c: f10300aa  mov	x17, x0
0xfffffff008925c30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008925c34: 300ac1da  pacda	x16, x17
0xfffffff008925c38: 100000f9  str	x16, [x0]
0xfffffff008925c3c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008925c40: ff0f5fd6  retab	
0xfffffff008925c44: 5f2403d5  bti	c
0xfffffff008925c48: a0cd00f0  adrp	x0, #0xfffffff00a2dc000
0xfffffff008925c4c: 00801f91  add	x0, x0, #0x7e0
0xfffffff008925c50: a9fae617  b	#0xfffffff0082e46f4
