; Candidate 1608
; ADRP+ADD at VM 0xfffffff0084bb98c (fileoff 0x14b798c): page=0x1feb9b000 add_imm=0xe17

0xfffffff0084bb90c: ed9206f9  str	x13, [x23, #0xd20]
0xfffffff0084bb910: 3f010ceb  cmp	x9, x12
0xfffffff0084bb914: a2020054  b.hs	#0xfffffff0084bb968
0xfffffff0084bb918: e80300aa  mov	x8, x0
0xfffffff0084bb91c: 1fb000b9  str	wzr, [x0, #0xb0]
0xfffffff0084bb920: 6ca145f9  ldr	x12, [x11, #0xb40]
0xfffffff0084bb924: 807929f8  str	x0, [x12, x9, lsl #3]
0xfffffff0084bb928: 096800f9  str	x9, [x0, #0xd0]
0xfffffff0084bb92c: a99646f9  ldr	x9, [x21, #0xd28]
0xfffffff0084bb930: 090000f9  str	x9, [x0]
0xfffffff0084bb934: a09606f9  str	x0, [x21, #0xd28]
0xfffffff0084bb938: e99246f9  ldr	x9, [x23, #0xd20]
0xfffffff0084bb93c: cc9e45f9  ldr	x12, [x22, #0xb38]
0xfffffff0084bb940: 00600391  add	x0, x0, #0xd8
0xfffffff0084bb944: 3f010ceb  cmp	x9, x12
0xfffffff0084bb948: 02104afa  ccmp	x0, x10, #2, ne
0xfffffff0084bb94c: e3fdff54  b.lo	#0xfffffff0084bb908
0xfffffff0084bb950: d2ffff17  b	#0xfffffff0084bb898
0xfffffff0084bb954: 080080d2  mov	x8, #0
0xfffffff0084bb958: c0008052  mov	w0, #6
0xfffffff0084bb95c: d2ffff17  b	#0xfffffff0084bb8a4
0xfffffff0084bb960: a89646f9  ldr	x8, [x21, #0xd28]
0xfffffff0084bb964: cdffff17  b	#0xfffffff0084bb898
0xfffffff0084bb968: c89e45f9  ldr	x8, [x22, #0xb38]
0xfffffff0084bb96c: eaa48152  mov	w10, #0xd27
0xfffffff0084bb970: ea1300f9  str	x10, [sp, #0x20]
0xfffffff0084bb974: ca5cfff0  adrp	x10, #0xfffffff007056000
0xfffffff0084bb978: 4aa91d91  add	x10, x10, #0x76a
0xfffffff0084bb97c: cb5cfff0  adrp	x11, #0xfffffff007056000
0xfffffff0084bb980: 6b453991  add	x11, x11, #0xe51
0xfffffff0084bb984: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff0084bb988: eb2700a9  stp	x11, x9, [sp]
0xfffffff0084bb98c: c05cfff0  adrp	x0, #0xfffffff007056000
0xfffffff0084bb990: 005c3891  add	x0, x0, #0xe17
0xfffffff0084bb994: de62ff97  bl	#0xfffffff00849450c
0xfffffff0084bb998: 080080d2  mov	x8, #0
0xfffffff0084bb99c: 60008052  mov	w0, #3
0xfffffff0084bb9a0: c1ffff17  b	#0xfffffff0084bb8a4
0xfffffff0084bb9a4: 7f2303d5  pacibsp	
0xfffffff0084bb9a8: ff8301d1  sub	sp, sp, #0x60
0xfffffff0084bb9ac: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0084bb9b0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0084bb9b4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0084bb9b8: fd430191  add	x29, sp, #0x50
0xfffffff0084bb9bc: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff0084bb9c0: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff0084bb9c4: 615fffd0  adrp	x1, #0xfffffff0070a9000
0xfffffff0084bb9c8: 21d42091  add	x1, x1, #0x835
0xfffffff0084bb9cc: e2a30091  add	x2, sp, #0x28
0xfffffff0084bb9d0: 000080d2  mov	x0, #0
0xfffffff0084bb9d4: 3bc3fe97  bl	#0xfffffff00846c6c0
0xfffffff0084bb9d8: f31740f9  ldr	x19, [sp, #0x28]
0xfffffff0084bb9dc: 94a5fff0  adrp	x20, #0xfffffff00796e000
0xfffffff0084bb9e0: 840646f9  ldr	x4, [x20, #0xc08]
0xfffffff0084bb9e4: 95a5fff0  adrp	x21, #0xfffffff00796e000
0xfffffff0084bb9e8: a80e46f9  ldr	x8, [x21, #0xc18]
0xfffffff0084bb9ec: 050104cb  sub	x5, x8, x4
0xfffffff0084bb9f0: c15cfff0  adrp	x1, #0xfffffff007056000
0xfffffff0084bb9f4: 21002591  add	x1, x1, #0x940
0xfffffff0084bb9f8: e2830091  add	x2, sp, #0x20
0xfffffff0084bb9fc: e3730091  add	x3, sp, #0x1c
0xfffffff0084bba00: e00313aa  mov	x0, x19
0xfffffff0084bba04: f6c3fe97  bl	#0xfffffff00846c9dc
0xfffffff0084bba08: 1f040071  cmp	w0, #1
