; Candidate 10726
; ADRP+ADD at VM 0xfffffff008de4614 (fileoff 0x1de0614): page=0x1fe5e0000 add_imm=0xe15

0xfffffff008de4594: 4ac10f91  add	x10, x10, #0x3f0
0xfffffff008de4598: 0a000014  b	#0xfffffff008de45c0
0xfffffff008de459c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de45a0: 88cf8052  mov	w8, #0x67c
0xfffffff008de45a4: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de45a8: 29490d91  add	x9, x9, #0x352
0xfffffff008de45ac: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de45b0: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de45b4: 08493991  add	x8, x8, #0xe52
0xfffffff008de45b8: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de45bc: 4a291091  add	x10, x10, #0x40a
0xfffffff008de45c0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de45c4: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de45c8: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de45cc: 00543891  add	x0, x0, #0xe15
0xfffffff008de45d0: 94cad597  bl	#0xfffffff008357020
0xfffffff008de45d4: ffc30091  add	sp, sp, #0x30
0xfffffff008de45d8: c8088052  mov	w8, #0x46
0xfffffff008de45dc: 53008012  mov	w19, #-3
0xfffffff008de45e0: b7ffff17  b	#0xfffffff008de44bc
0xfffffff008de45e4: 687e4093  sxtw	x8, w19
0xfffffff008de45e8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de45ec: 29d38052  mov	w9, #0x699
0xfffffff008de45f0: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de45f4: 4a490d91  add	x10, x10, #0x352
0xfffffff008de45f8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de45fc: 092fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de4600: 29493991  add	x9, x9, #0xe52
0xfffffff008de4604: 0b2fff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de4608: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de460c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de4610: eb0300f9  str	x11, [sp]
0xfffffff008de4614: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4618: 00543891  add	x0, x0, #0xe15
0xfffffff008de461c: 81cad597  bl	#0xfffffff008357020
0xfffffff008de4620: ffc30091  add	sp, sp, #0x30
0xfffffff008de4624: c8088052  mov	w8, #0x46
0xfffffff008de4628: 9f030091  mov	sp, x28
0xfffffff008de462c: a4ffff17  b	#0xfffffff008de44bc
0xfffffff008de4630: 07e6bd97  bl	#0xfffffff007d5de4c
0xfffffff008de4634: 7f2303d5  pacibsp	
0xfffffff008de4638: ff0305d1  sub	sp, sp, #0x140
0xfffffff008de463c: fc6f0ea9  stp	x28, x27, [sp, #0xe0]
0xfffffff008de4640: fa670fa9  stp	x26, x25, [sp, #0xf0]
0xfffffff008de4644: f85f10a9  stp	x24, x23, [sp, #0x100]
0xfffffff008de4648: f65711a9  stp	x22, x21, [sp, #0x110]
0xfffffff008de464c: f44f12a9  stp	x20, x19, [sp, #0x120]
0xfffffff008de4650: fd7b13a9  stp	x29, x30, [sp, #0x130]
0xfffffff008de4654: fdc30491  add	x29, sp, #0x130
0xfffffff008de4658: f30304aa  mov	x19, x4
0xfffffff008de465c: f70303aa  mov	x23, x3
0xfffffff008de4660: f60302aa  mov	x22, x2
0xfffffff008de4664: f50301aa  mov	x21, x1
0xfffffff008de4668: f40300aa  mov	x20, x0
0xfffffff008de466c: 6868ff90  adrp	x8, #0xfffffff007af0000
0xfffffff008de4670: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de4674: 080140f9  ldr	x8, [x8]
0xfffffff008de4678: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de467c: daa800f0  adrp	x26, #0xfffffff00a2ff000
0xfffffff008de4680: 5a432c91  add	x26, x26, #0xb10
0xfffffff008de4684: 48034039  ldrb	w8, [x26]
0xfffffff008de4688: f82effd0  adrp	x24, #0xfffffff0073c2000
0xfffffff008de468c: 18b71091  add	x24, x24, #0x42d
0xfffffff008de4690: f92effb0  adrp	x25, #0xfffffff0073c1000
