; Candidate 9376
; ADRP+ADD at VM 0xfffffff008a35148 (fileoff 0x1a31148): page=0x1fe864000 add_imm=0xe40

0xfffffff008a350c8: 080240f9  ldr	x8, [x16]
0xfffffff008a350cc: e90310aa  mov	x9, x16
0xfffffff008a350d0: e00313aa  mov	x0, x19
0xfffffff008a350d4: e10314aa  mov	x1, x20
0xfffffff008a350d8: f10309aa  mov	x17, x9
0xfffffff008a350dc: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a350e0: 11093fd7  blraa	x8, x17
0xfffffff008a350e4: e00313aa  mov	x0, x19
0xfffffff008a350e8: d48ef097  bl	#0xfffffff008658c38
0xfffffff008a350ec: f50300aa  mov	x21, x0
0xfffffff008a350f0: 700240f9  ldr	x16, [x19]
0xfffffff008a350f4: f10313aa  mov	x17, x19
0xfffffff008a350f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a350fc: 301ac1da  autda	x16, x17
0xfffffff008a35100: f10310aa  mov	x17, x16
0xfffffff008a35104: f147c1da  xpacd	x17
0xfffffff008a35108: 1f0211eb  cmp	x16, x17
0xfffffff008a3510c: 40000054  b.eq	#0xfffffff008a35114
0xfffffff008a35110: 408e38d4  brk	#0xc472
0xfffffff008a35114: 08c21191  add	x8, x16, #0x470
0xfffffff008a35118: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a3511c: e00313aa  mov	x0, x19
0xfffffff008a35120: e10314aa  mov	x1, x20
0xfffffff008a35124: f10308aa  mov	x17, x8
0xfffffff008a35128: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a3512c: 31093fd7  blraa	x9, x17
0xfffffff008a35130: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a35134: d6688052  mov	w22, #0x346
0xfffffff008a35138: 5943ffb0  adrp	x25, #0xfffffff00729e000
0xfffffff008a3513c: 39470391  add	x25, x25, #0xd1
0xfffffff008a35140: f9db00a9  stp	x25, x22, [sp, #8]
0xfffffff008a35144: f50300f9  str	x21, [sp]
0xfffffff008a35148: 2043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a3514c: 00003991  add	x0, x0, #0xe40
0xfffffff008a35150: a180ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a35154: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a35158: 6343ff90  adrp	x3, #0xfffffff0072a1000
0xfffffff008a3515c: 63080491  add	x3, x3, #0x102
0xfffffff008a35160: 02028052  mov	w2, #0x10
0xfffffff008a35164: f3f7e397  bl	#0xfffffff008333130
0xfffffff008a35168: e00313aa  mov	x0, x19
0xfffffff008a3516c: b38ef097  bl	#0xfffffff008658c38
0xfffffff008a35170: f50300aa  mov	x21, x0
0xfffffff008a35174: 700240f9  ldr	x16, [x19]
0xfffffff008a35178: f10313aa  mov	x17, x19
0xfffffff008a3517c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a35180: 301ac1da  autda	x16, x17
0xfffffff008a35184: f10310aa  mov	x17, x16
0xfffffff008a35188: f147c1da  xpacd	x17
0xfffffff008a3518c: 1f0211eb  cmp	x16, x17
0xfffffff008a35190: 40000054  b.eq	#0xfffffff008a35198
0xfffffff008a35194: 408e38d4  brk	#0xc472
0xfffffff008a35198: 08c21191  add	x8, x16, #0x470
0xfffffff008a3519c: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a351a0: e00313aa  mov	x0, x19
0xfffffff008a351a4: e10314aa  mov	x1, x20
0xfffffff008a351a8: f10308aa  mov	x17, x8
0xfffffff008a351ac: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a351b0: 31093fd7  blraa	x9, x17
0xfffffff008a351b4: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a351b8: f9db00a9  stp	x25, x22, [sp, #8]
0xfffffff008a351bc: f50300f9  str	x21, [sp]
0xfffffff008a351c0: 4043ff90  adrp	x0, #0xfffffff00729d000
0xfffffff008a351c4: 00481a91  add	x0, x0, #0x692
