; Candidate 6802
; ADRP+ADD at VM 0xfffffff008842b3c (fileoff 0x183eb3c): page=0x1fe9a7000 add_imm=0xe80

0xfffffff008842abc: 26000014  b	#0xfffffff008842b54
0xfffffff008842ac0: bbc50194  bl	#0xfffffff0088b41ac
0xfffffff008842ac4: f60300aa  mov	x22, x0
0xfffffff008842ac8: e0008052  mov	w0, #7
0xfffffff008842acc: 61e30094  bl	#0xfffffff00887b850
0xfffffff008842ad0: f80300aa  mov	x24, x0
0xfffffff008842ad4: e00315aa  mov	x0, x21
0xfffffff008842ad8: d6b2ff97  bl	#0xfffffff00882f630
0xfffffff008842adc: e80314aa  mov	x8, x20
0xfffffff008842ae0: e83b00f9  str	x8, [sp, #0x70]
0xfffffff008842ae4: e8031caa  mov	x8, x28
0xfffffff008842ae8: f72306a9  stp	x23, x8, [sp, #0x60]
0xfffffff008842aec: e80313aa  mov	x8, x19
0xfffffff008842af0: e9031baa  mov	x9, x27
0xfffffff008842af4: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff008842af8: e8031aaa  mov	x8, x26
0xfffffff008842afc: e90319aa  mov	x9, x25
0xfffffff008842b00: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008842b04: e01f00f9  str	x0, [sp, #0x38]
0xfffffff008842b08: aa835af8  ldur	x10, [x29, #-0x58]
0xfffffff008842b0c: 48a68052  mov	w8, #0x532
0xfffffff008842b10: 094fffd0  adrp	x9, #0xfffffff007224000
0xfffffff008842b14: 29551191  add	x9, x9, #0x455
0xfffffff008842b18: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008842b1c: 084fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008842b20: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008842b24: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008842b28: 480a8052  mov	w8, #0x52
0xfffffff008842b2c: 6350ffb0  adrp	x3, #0xfffffff00724f000
0xfffffff008842b30: 63f03691  add	x3, x3, #0xdbc
0xfffffff008842b34: e8e300a9  stp	x8, x24, [sp, #8]
0xfffffff008842b38: f60300f9  str	x22, [sp]
0xfffffff008842b3c: 204dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008842b40: 00003a91  add	x0, x0, #0xe80
0xfffffff008842b44: 218effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008842b48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008842b4c: 02008052  mov	w2, #0
0xfffffff008842b50: 78c1eb97  bl	#0xfffffff008333130
0xfffffff008842b54: 827e4093  sxtw	x2, w20
0xfffffff008842b58: 837f4093  sxtw	x3, w28
0xfffffff008842b5c: 6803132a  orr	w8, w27, w19
0xfffffff008842b60: 087d60d3  lsl	x8, x8, #0x20
0xfffffff008842b64: 497f4093  sxtw	x9, w26
0xfffffff008842b68: 084109aa  orr	x8, x8, x9, lsl #16
0xfffffff008842b6c: 297f4093  sxtw	x9, w25
0xfffffff008842b70: 040109aa  orr	x4, x8, x9
0xfffffff008842b74: 00a58052  mov	w0, #0x528
0xfffffff008842b78: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008842b7c: 010080d2  mov	x1, #0
0xfffffff008842b80: 050080d2  mov	x5, #0
0xfffffff008842b84: e0ece497  bl	#0xfffffff00817df04
0xfffffff008842b88: 400a8052  mov	w0, #0x52
0xfffffff008842b8c: 01018052  mov	w1, #8
0xfffffff008842b90: 10e30094  bl	#0xfffffff00887b7d0
0xfffffff008842b94: e0050034  cbz	w0, #0xfffffff008842c50
0xfffffff008842b98: 400a8052  mov	w0, #0x52
0xfffffff008842b9c: 1fe30094  bl	#0xfffffff00887b818
0xfffffff008842ba0: f60300aa  mov	x22, x0
0xfffffff008842ba4: 82c50194  bl	#0xfffffff0088b41ac
0xfffffff008842ba8: f50300aa  mov	x21, x0
0xfffffff008842bac: 00018052  mov	w0, #8
0xfffffff008842bb0: 28e30094  bl	#0xfffffff00887b850
0xfffffff008842bb4: 16020034  cbz	w22, #0xfffffff008842bf4
0xfffffff008842bb8: e80314aa  mov	x8, x20
