; Candidate 16741
; ADRP+ADD at VM 0xfffffff009f42474 (fileoff 0x2f3e474): page=0x1fd91e000 add_imm=0xcdf

0xfffffff009f423f4: 77000037  tbnz	w23, #0, #0xfffffff009f42400
0xfffffff009f423f8: e00314aa  mov	x0, x20
0xfffffff009f423fc: 11d3ff97  bl	#0xfffffff009f37040
0xfffffff009f42400: e00316aa  mov	x0, x22
0xfffffff009f42404: fd7b5ea9  ldp	x29, x30, [sp, #0x1e0]
0xfffffff009f42408: f44f5da9  ldp	x20, x19, [sp, #0x1d0]
0xfffffff009f4240c: f6575ca9  ldp	x22, x21, [sp, #0x1c0]
0xfffffff009f42410: f85f5ba9  ldp	x24, x23, [sp, #0x1b0]
0xfffffff009f42414: fa675aa9  ldp	x26, x25, [sp, #0x1a0]
0xfffffff009f42418: fc6f59a9  ldp	x28, x27, [sp, #0x190]
0xfffffff009f4241c: ffc30791  add	sp, sp, #0x1f0
0xfffffff009f42420: ff0f5fd6  retab	
0xfffffff009f42424: 88034079  ldrh	w8, [x28]
0xfffffff009f42428: 1f350071  cmp	w8, #0xd
0xfffffff009f4242c: 41010054  b.ne	#0xfffffff009f42454
0xfffffff009f42430: 083e8452  mov	w8, #0x21f0
0xfffffff009f42434: 6802088b  add	x8, x19, x8
0xfffffff009f42438: c9028052  mov	w9, #0x16
0xfffffff009f4243c: 2a5e8152  mov	w10, #0xaf1
0xfffffff009f42440: ebc8fed0  adrp	x11, #0xfffffff007860000
0xfffffff009f42444: 6b6d3291  add	x11, x11, #0xc9b
0xfffffff009f42448: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009f4244c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f42450: 09000014  b	#0xfffffff009f42474
0xfffffff009f42454: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009f42458: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f4245c: c9028052  mov	w9, #0x16
0xfffffff009f42460: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f42464: e8c8fed0  adrp	x8, #0xfffffff007860000
0xfffffff009f42468: 086d3291  add	x8, x8, #0xc9b
0xfffffff009f4246c: 295e8152  mov	w9, #0xaf1
0xfffffff009f42470: e82700a9  stp	x8, x9, [sp]
0xfffffff009f42474: e0c8fed0  adrp	x0, #0xfffffff007860000
0xfffffff009f42478: 007c3391  add	x0, x0, #0xcdf
0xfffffff009f4247c: 12f5fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f42480: e05f40f9  ldr	x0, [sp, #0xb8]
0xfffffff009f42484: deb07997  bl	#0xfffffff007dae7fc
0xfffffff009f42488: 08028052  mov	w8, #0x10
0xfffffff009f4248c: e8231b29  stp	w8, w8, [sp, #0xd8]
0xfffffff009f42490: ff0700f9  str	xzr, [sp, #8]
0xfffffff009f42494: ff0300b9  str	wzr, [sp]
0xfffffff009f42498: a20302d1  sub	x2, x29, #0x80
0xfffffff009f4249c: e3730391  add	x3, sp, #0xdc
0xfffffff009f424a0: a5c302d1  sub	x5, x29, #0xb0
0xfffffff009f424a4: e6630391  add	x6, sp, #0xd8
0xfffffff009f424a8: e00318aa  mov	x0, x24
0xfffffff009f424ac: 010080d2  mov	x1, #0
0xfffffff009f424b0: 04028052  mov	w4, #0x10
0xfffffff009f424b4: 67008052  mov	w7, #3
0xfffffff009f424b8: 478bff97  bl	#0xfffffff009f251d4
0xfffffff009f424bc: a0000034  cbz	w0, #0xfffffff009f424d0
0xfffffff009f424c0: f60300aa  mov	x22, x0
0xfffffff009f424c4: 1f080071  cmp	w0, #2
0xfffffff009f424c8: a14f0054  b.ne	#0xfffffff009f42ebc
0xfffffff009f424cc: bf0318f8  stur	xzr, [x29, #-0x80]
0xfffffff009f424d0: da0000b4  cbz	x26, #0xfffffff009f424e8
0xfffffff009f424d4: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff009f424d8: 480300f9  str	x8, [x26]
0xfffffff009f424dc: 887240f9  ldr	x8, [x20, #0xe0]
0xfffffff009f424e0: 89078052  mov	w9, #0x3c
0xfffffff009f424e4: 48a700a9  stp	x8, x9, [x26, #8]
0xfffffff009f424e8: e0830391  add	x0, sp, #0xe0
0xfffffff009f424ec: 18c48a97  bl	#0xfffffff0081f354c
0xfffffff009f424f0: a80358f8  ldur	x8, [x29, #-0x80]
