; Candidate 16512
; ADRP+ADD at VM 0xfffffff009ece83c (fileoff 0x2eca83c): page=0x1fd977000 add_imm=0xdb2

0xfffffff009ece7bc: 00201691  add	x0, x0, #0x588
0xfffffff009ece7c0: 01158052  mov	w1, #0xa8
0xfffffff009ece7c4: 83219297  bl	#0xfffffff008356dd0
0xfffffff009ece7c8: 800c00b4  cbz	x0, #0xfffffff009ece958
0xfffffff009ece7cc: f40300aa  mov	x20, x0
0xfffffff009ece7d0: 382800d0  adrp	x24, #0xfffffff00a3d4000
0xfffffff009ece7d4: 18232a91  add	x24, x24, #0xa88
0xfffffff009ece7d8: 08158052  mov	w8, #0xa8
0xfffffff009ece7dc: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009ece7e0: 62064079  ldrh	w2, [x19, #2]
0xfffffff009ece7e4: e10313aa  mov	x1, x19
0xfffffff009ece7e8: 6af87997  bl	#0xfffffff007d4c990
0xfffffff009ece7ec: c27640b9  ldr	w2, [x22, #0x74]
0xfffffff009ece7f0: e00317aa  mov	x0, x23
0xfffffff009ece7f4: e10314aa  mov	x1, x20
0xfffffff009ece7f8: 5f7b0194  bl	#0xfffffff009f2d574
0xfffffff009ece7fc: 000c0034  cbz	w0, #0xfffffff009ece97c
0xfffffff009ece800: f50300aa  mov	x21, x0
0xfffffff009ece804: 083e8452  mov	w8, #0x21f0
0xfffffff009ece808: e802088b  add	x8, x23, x8
0xfffffff009ece80c: c90640f9  ldr	x9, [x22, #8]
0xfffffff009ece810: 2a0340f9  ldr	x10, [x25]
0xfffffff009ece814: 6b1e40b9  ldr	w11, [x19, #0x1c]
0xfffffff009ece818: 6b110012  and	w11, w11, #0x1f
0xfffffff009ece81c: cc7640b9  ldr	w12, [x22, #0x74]
0xfffffff009ece820: 8c110012  and	w12, w12, #0x1f
0xfffffff009ece824: ec5703a9  stp	x12, x21, [sp, #0x30]
0xfffffff009ece828: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009ece82c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ece830: a8cbfef0  adrp	x8, #0xfffffff007845000
0xfffffff009ece834: 08d13791  add	x8, x8, #0xdf4
0xfffffff009ece838: 29588252  mov	w9, #0x12c1
0xfffffff009ece83c: a0cbfef0  adrp	x0, #0xfffffff007845000
0xfffffff009ece840: 00c83691  add	x0, x0, #0xdb2
0xfffffff009ece844: e82700a9  stp	x8, x9, [sp]
0xfffffff009ece848: 1fc4fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ece84c: e8148092  mov	x8, #-0xa8
0xfffffff009ece850: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009ece854: 60f3fe90  adrp	x0, #0xfffffff007d3a000
0xfffffff009ece858: 00601791  add	x0, x0, #0x5d8
0xfffffff009ece85c: 7f000014  b	#0xfffffff009ecea58
0xfffffff009ece860: 55800094  bl	#0xfffffff009eee9b4
0xfffffff009ece864: f50300aa  mov	x21, x0
0xfffffff009ece868: 60f2ff35  cbnz	w0, #0xfffffff009ece6b4
0xfffffff009ece86c: f32340f9  ldr	x19, [sp, #0x40]
0xfffffff009ece870: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff009ece874: c97640b9  ldr	w9, [x22, #0x74]
0xfffffff009ece878: 2801084a  eor	w8, w9, w8
0xfffffff009ece87c: 1f110072  tst	w8, #0x1f
0xfffffff009ece880: 800f0054  b.eq	#0xfffffff009ecea70
0xfffffff009ece884: 950b8052  mov	w21, #0x5c
0xfffffff009ece888: 2a000014  b	#0xfffffff009ece930
0xfffffff009ece88c: 140080d2  mov	x20, #0
0xfffffff009ece890: f80313aa  mov	x24, x19
0xfffffff009ece894: 3b000014  b	#0xfffffff009ece980
0xfffffff009ece898: 282800d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ece89c: 08e12791  add	x8, x8, #0x9f8
0xfffffff009ece8a0: 29008052  mov	w9, #1
0xfffffff009ece8a4: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009ece8a8: 282800d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ece8ac: 140105f9  str	x20, [x8, #0xa00]
0xfffffff009ece8b0: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff009ece8b4: c80200b9  str	w8, [x22]
0xfffffff009ece8b8: 681240b9  ldr	w8, [x19, #0x10]
