; Candidate 8276
; ADRP+ADD at VM 0xfffffff0088a0668 (fileoff 0x189c668): page=0x1fe949000 add_imm=0xe80

0xfffffff0088a05e8: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff0088a05ec: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a05f0: 08d50a91  add	x8, x8, #0x2b5
0xfffffff0088a05f4: ea5304a9  stp	x10, x20, [sp, #0x40]
0xfffffff0088a05f8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a05fc: c88f8052  mov	w8, #0x47e
0xfffffff0088a0600: 094cffd0  adrp	x9, #0xfffffff007222000
0xfffffff0088a0604: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a0608: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a060c: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a0610: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a0614: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a0618: a80f8052  mov	w8, #0x7d
0xfffffff0088a061c: 804cffb0  adrp	x0, #0xfffffff007231000
0xfffffff0088a0620: 00a40991  add	x0, x0, #0x269
0xfffffff0088a0624: 14ffff17  b	#0xfffffff0088a0274
0xfffffff0088a0628: e14e0094  bl	#0xfffffff0088b41ac
0xfffffff0088a062c: f50300aa  mov	x21, x0
0xfffffff0088a0630: 00018052  mov	w0, #8
0xfffffff0088a0634: 876cff97  bl	#0xfffffff00887b850
0xfffffff0088a0638: 680240b9  ldr	w8, [x19]
0xfffffff0088a063c: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0088a0640: 888e8052  mov	w8, #0x474
0xfffffff0088a0644: 094cffd0  adrp	x9, #0xfffffff007222000
0xfffffff0088a0648: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a064c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088a0650: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a0654: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a0658: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a065c: a80f8052  mov	w8, #0x7d
0xfffffff0088a0660: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a0664: f50300f9  str	x21, [sp]
0xfffffff0088a0668: 404affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a066c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a0670: 418bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a0674: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a0678: 034effb0  adrp	x3, #0xfffffff007261000
0xfffffff0088a067c: 63980d91  add	x3, x3, #0x366
0xfffffff0088a0680: 02008052  mov	w2, #0
0xfffffff0088a0684: ab4aea97  bl	#0xfffffff008333130
0xfffffff0088a0688: 9c000014  b	#0xfffffff0088a08f8
0xfffffff0088a068c: c84e0094  bl	#0xfffffff0088b41ac
0xfffffff0088a0690: f50300aa  mov	x21, x0
0xfffffff0088a0694: a0008052  mov	w0, #5
0xfffffff0088a0698: 6e6cff97  bl	#0xfffffff00887b850
0xfffffff0088a069c: c81240f9  ldr	x8, [x22, #0x20]
0xfffffff0088a06a0: 090340f9  ldr	x9, [x24]
0xfffffff0088a06a4: 6a0240b9  ldr	w10, [x19]
0xfffffff0088a06a8: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088a06ac: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff0088a06b0: c8928052  mov	w8, #0x496
0xfffffff0088a06b4: 094cffd0  adrp	x9, #0xfffffff007222000
0xfffffff0088a06b8: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a06bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a06c0: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a06c4: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a06c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a06cc: a80f8052  mov	w8, #0x7d
0xfffffff0088a06d0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a06d4: 404affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a06d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a06dc: 418bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a06e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a06e4: 034effb0  adrp	x3, #0xfffffff007261000
