; Candidate 3321
; ADRP+ADD at VM 0xfffffff00872edc8 (fileoff 0x172adc8): page=0x1fea03000 add_imm=0xd90

0xfffffff00872ed48: 4a050011  add	w10, w10, #1
0xfffffff00872ed4c: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff00872ed50: 4b1d0011  add	w11, w10, #7
0xfffffff00872ed54: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff00872ed58: 3f050071  cmp	w9, #1
0xfffffff00872ed5c: 49018b1a  csel	w9, w10, w11, eq
0xfffffff00872ed60: 3f210071  cmp	w9, #8
0xfffffff00872ed64: 88020054  b.hi	#0xfffffff00872edb4
0xfffffff00872ed68: e80300aa  mov	x8, x0
0xfffffff00872ed6c: f00309aa  mov	x16, x9
0xfffffff00872ed70: 1f2200f1  cmp	x16, #8
0xfffffff00872ed74: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00872ed78: 11000090  adrp	x17, #0xfffffff00872e000
0xfffffff00872ed7c: 31223b91  add	x17, x17, #0xec8
0xfffffff00872ed80: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00872ed84: 11000010  adr	x17, #0xfffffff00872ed84
0xfffffff00872ed88: 3002108b  add	x16, x17, x16
0xfffffff00872ed8c: 00021fd6  br	x16
0xfffffff00872ed90: 9f2403d5  bti	j
0xfffffff00872ed94: 00008052  mov	w0, #0
0xfffffff00872ed98: 29fc0011  add	w9, w1, #0x3f
0xfffffff00872ed9c: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00872eda0: 094d08b9  str	w9, [x8, #0x84c]
0xfffffff00872eda4: 29781f53  lsl	w9, w1, #1
0xfffffff00872eda8: 41000014  b	#0xfffffff00872eeac
0xfffffff00872edac: 00008052  mov	w0, #0
0xfffffff00872edb0: 43000014  b	#0xfffffff00872eebc
0xfffffff00872edb4: 9f2403d5  bti	j
0xfffffff00872edb8: 28210011  add	w8, w9, #8
0xfffffff00872edbc: 0951ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff00872edc0: 29351b91  add	x9, x9, #0x6cd
0xfffffff00872edc4: e92300a9  stp	x9, x8, [sp]
0xfffffff00872edc8: 0050fff0  adrp	x0, #0xfffffff007131000
0xfffffff00872edcc: 00403691  add	x0, x0, #0xd90
0xfffffff00872edd0: 6196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872edd4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872edd8: 6350ff90  adrp	x3, #0xfffffff00713a000
0xfffffff00872eddc: 63f43791  add	x3, x3, #0xdfd
0xfffffff00872ede0: 02008052  mov	w2, #0
0xfffffff00872ede4: d310f097  bl	#0xfffffff008333130
0xfffffff00872ede8: 00008012  mov	w0, #-1
0xfffffff00872edec: 34000014  b	#0xfffffff00872eebc
0xfffffff00872edf0: 9f2403d5  bti	j
0xfffffff00872edf4: 00008052  mov	w0, #0
0xfffffff00872edf8: 29080011  add	w9, w1, #2
0xfffffff00872edfc: 6a559552  mov	w10, #0xaaab
0xfffffff00872ee00: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff00872ee04: 297daa9b  umull	x9, w9, w10
0xfffffff00872ee08: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00872ee0c: 29791f53  lsl	w9, w9, #1
0xfffffff00872ee10: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff00872ee14: 29fd0011  add	w9, w9, #0x3f
0xfffffff00872ee18: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00872ee1c: 094d08b9  str	w9, [x8, #0x84c]
0xfffffff00872ee20: 29781f53  lsl	w9, w1, #1
0xfffffff00872ee24: 2909c41a  udiv	w9, w9, w4
0xfffffff00872ee28: 29150011  add	w9, w9, #5
0xfffffff00872ee2c: 297daa9b  umull	x9, w9, w10
0xfffffff00872ee30: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00872ee34: 29791f53  lsl	w9, w9, #1
0xfffffff00872ee38: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff00872ee3c: 1d000014  b	#0xfffffff00872eeb0
0xfffffff00872ee40: 9f2403d5  bti	j
0xfffffff00872ee44: 00008052  mov	w0, #0
