; Candidate 15761
; ADRP+ADD at VM 0xfffffff009cffbd4 (fileoff 0x2cfbbd4): page=0x6bc000 add_imm=0xdf8

0xfffffff009cffb54: 11ad80d2  mov	x17, #0x568
0xfffffff009cffb58: 1002118b  add	x16, x16, x17
0xfffffff009cffb5c: 080240f9  ldr	x8, [x16]
0xfffffff009cffb60: e90310aa  mov	x9, x16
0xfffffff009cffb64: 01008052  mov	w1, #0
0xfffffff009cffb68: f10309aa  mov	x17, x9
0xfffffff009cffb6c: d1bbf9f2  movk	x17, #0xcdde, lsl #48
0xfffffff009cffb70: 11093fd7  blraa	x8, x17
0xfffffff009cffb74: 2800ff90  adrp	x8, #0xfffffff007d03000
0xfffffff009cffb78: 08610b91  add	x8, x8, #0x2d8
0xfffffff009cffb7c: 02011a91  add	x2, x8, #0x680
0xfffffff009cffb80: 104143f9  ldr	x16, [x8, #0x680]
0xfffffff009cffb84: e00314aa  mov	x0, x20
0xfffffff009cffb88: e10313aa  mov	x1, x19
0xfffffff009cffb8c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009cffb90: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009cffb94: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009cffb98: ff2303d5  autibsp	
0xfffffff009cffb9c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009cffba0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009cffba8
0xfffffff009cffba4: 208e38d4  brk	#0xc471
0xfffffff009cffba8: f10302aa  mov	x17, x2
0xfffffff009cffbac: 31fae5f2  movk	x17, #0x2fd1, lsl #48
0xfffffff009cffbb0: 110a1fd7  braa	x16, x17
0xfffffff009cffbb4: 5f2403d5  bti	c
0xfffffff009cffbb8: cf929717  b	#0xfffffff0082e46f4
0xfffffff009cffbbc: 5f2403d5  bti	c
0xfffffff009cffbc0: 00304e39  ldrb	w0, [x0, #0x38c]
0xfffffff009cffbc4: c0035fd6  ret	
0xfffffff009cffbc8: 7f2303d5  pacibsp	
0xfffffff009cffbcc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009cffbd0: fd030091  mov	x29, sp
0xfffffff009cffbd4: e0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009cffbd8: 00e03791  add	x0, x0, #0xdf8
0xfffffff009cffbdc: 21cbfeb0  adrp	x1, #0xfffffff007664000
0xfffffff009cffbe0: 21c40691  add	x1, x1, #0x1b1
0xfffffff009cffbe4: e2350090  adrp	x2, #0xfffffff00a3bb000
0xfffffff009cffbe8: 42003c91  add	x2, x2, #0xf00
0xfffffff009cffbec: 03818052  mov	w3, #0x408
0xfffffff009cffbf0: d28f9797  bl	#0xfffffff0082e3b38
0xfffffff009cffbf4: 1000fff0  adrp	x16, #0xfffffff007d02000
0xfffffff009cffbf8: 10e21e91  add	x16, x16, #0x7b8
0xfffffff009cffbfc: 10420091  add	x16, x16, #0x10
0xfffffff009cffc00: f10300aa  mov	x17, x0
0xfffffff009cffc04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009cffc08: 300ac1da  pacda	x16, x17
0xfffffff009cffc0c: 100000f9  str	x16, [x0]
0xfffffff009cffc10: 00709852  mov	w0, #0xc380
0xfffffff009cffc14: 2039a072  movk	w0, #0x1c9, lsl #16
0xfffffff009cffc18: 01088052  mov	w1, #0x40
0xfffffff009cffc1c: b47d9897  bl	#0xfffffff00831f2ec
0xfffffff009cffc20: e8350090  adrp	x8, #0xfffffff00a3bb000
0xfffffff009cffc24: 001107f9  str	x0, [x8, #0xe20]
0xfffffff009cffc28: 00209f52  mov	w0, #0xf900
0xfffffff009cffc2c: 40a0b272  movk	w0, #0x9502, lsl #16
0xfffffff009cffc30: 01088052  mov	w1, #0x40
0xfffffff009cffc34: ae7d9897  bl	#0xfffffff00831f2ec
0xfffffff009cffc38: e8350090  adrp	x8, #0xfffffff00a3bb000
0xfffffff009cffc3c: 001507f9  str	x0, [x8, #0xe28]
0xfffffff009cffc40: 00409ed2  mov	x0, #0xf200
0xfffffff009cffc44: a040a5f2  movk	x0, #0x2a05, lsl #16
0xfffffff009cffc48: 2000c0f2  movk	x0, #1, lsl #32
0xfffffff009cffc4c: 01088052  mov	w1, #0x40
0xfffffff009cffc50: a77d9897  bl	#0xfffffff00831f2ec
