; Candidate 2708
; ADRP+ADD at VM 0xfffffff0086e4868 (fileoff 0x16e0868): page=0x1fea4d000 add_imm=0xd90

0xfffffff0086e47e8: eb030caa  mov	x11, x12
0xfffffff0086e47ec: 29050071  subs	w9, w9, #1
0xfffffff0086e47f0: a1feff54  b.ne	#0xfffffff0086e47c4
0xfffffff0086e47f4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e47f8: 290140b9  ldr	w9, [x9]
0xfffffff0086e47fc: 3f011a6a  tst	w9, w26
0xfffffff0086e4800: 80010054  b.eq	#0xfffffff0086e4830
0xfffffff0086e4804: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e4808: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e480c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4810: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4814: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4818: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e481c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e4820: 02008052  mov	w2, #0
0xfffffff0086e4824: 433af197  bl	#0xfffffff008333130
0xfffffff0086e4828: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e482c: 080240b9  ldr	w8, [x16]
0xfffffff0086e4830: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e4834: 290200b9  str	w9, [x17]
0xfffffff0086e4838: 08050051  sub	w8, w8, #1
0xfffffff0086e483c: 080200b9  str	w8, [x16]
0xfffffff0086e4840: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e4844: 290140b9  ldr	w9, [x9]
0xfffffff0086e4848: 3f011a6a  tst	w9, w26
0xfffffff0086e484c: 00020054  b.eq	#0xfffffff0086e488c
0xfffffff0086e4850: 897e1f53  lsr	w9, w20, #0x1f
0xfffffff0086e4854: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086e4858: 6853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e485c: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0086e4860: 29008052  mov	w9, #1
0xfffffff0086e4864: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e4868: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e486c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4870: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4874: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4878: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e487c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e4880: 02008052  mov	w2, #0
0xfffffff0086e4884: 2b3af197  bl	#0xfffffff008333130
0xfffffff0086e4888: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e488c: 080340f9  ldr	x8, [x24]
0xfffffff0086e4890: 09214139  ldrb	w9, [x8, #0x48]
0xfffffff0086e4894: 347d540b  add	w20, w9, w20, lsr #31
0xfffffff0086e4898: 14210139  strb	w20, [x8, #0x48]
0xfffffff0086e489c: 881e0012  and	w8, w20, #0xff
0xfffffff0086e48a0: 1f110071  cmp	w8, #4
0xfffffff0086e48a4: 23030054  b.lo	#0xfffffff0086e4908
0xfffffff0086e48a8: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0086e48ac: 08094039  ldrb	w8, [x8, #2]
0xfffffff0086e48b0: a8010036  tbz	w8, #0, #0xfffffff0086e48e4
0xfffffff0086e48b4: 6853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e48b8: 08f90591  add	x8, x8, #0x17e
0xfffffff0086e48bc: 891e4092  and	x9, x20, #0xff
0xfffffff0086e48c0: e82700a9  stp	x8, x9, [sp]
0xfffffff0086e48c4: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e48c8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e48cc: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e48d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e48d4: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e48d8: 633c2691  add	x3, x3, #0x98f
0xfffffff0086e48dc: 02008052  mov	w2, #0
0xfffffff0086e48e0: 143af197  bl	#0xfffffff008333130
0xfffffff0086e48e4: 00008012  mov	w0, #-1
