; Candidate 4066
; ADRP+ADD at VM 0xfffffff00878f61c (fileoff 0x178b61c): page=0x1fe9a2000 add_imm=0xd90

0xfffffff00878f59c: c8024039  ldrb	w8, [x22]
0xfffffff00878f5a0: 88010034  cbz	w8, #0xfffffff00878f5d0
0xfffffff00878f5a4: a87e1c53  lsr	w8, w21, #0x1c
0xfffffff00878f5a8: 1f050071  cmp	w8, #1
0xfffffff00878f5ac: f5079f1a  cset	w21, ne
0xfffffff00878f5b0: 82e20091  add	x2, x20, #0x38
0xfffffff00878f5b4: 83220291  add	x3, x20, #0x88
0xfffffff00878f5b8: e00313aa  mov	x0, x19
0xfffffff00878f5bc: eb010094  bl	#0xfffffff00878fd68
0xfffffff00878f5c0: 683e70b9  ldr	w8, [x19, #0x303c]
0xfffffff00878f5c4: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff00878f5c8: 0801152a  orr	w8, w8, w21
0xfffffff00878f5cc: 683e30b9  str	w8, [x19, #0x303c]
0xfffffff00878f5d0: 685e70b9  ldr	w8, [x19, #0x305c]
0xfffffff00878f5d4: 1f050071  cmp	w8, #1
0xfffffff00878f5d8: e1040054  b.ne	#0xfffffff00878f674
0xfffffff00878f5dc: 684256f9  ldr	x8, [x19, #0x2c80]
0xfffffff00878f5e0: 69566fb9  ldr	w9, [x19, #0x2f54]
0xfffffff00878f5e4: 090100b9  str	w9, [x8]
0xfffffff00878f5e8: 09eb8552  mov	w9, #0x2f58
0xfffffff00878f5ec: 6902098b  add	x9, x19, x9
0xfffffff00878f5f0: 200540ad  ldp	q0, q1, [x9]
0xfffffff00878f5f4: 2209c03d  ldr	q2, [x9, #0x20]
0xfffffff00878f5f8: 69c657f9  ldr	x9, [x19, #0x2f88]
0xfffffff00878f5fc: 094103f8  stur	x9, [x8, #0x34]
0xfffffff00878f600: 0241823c  stur	q2, [x8, #0x24]
0xfffffff00878f604: 0141813c  stur	q1, [x8, #0x14]
0xfffffff00878f608: 0041803c  stur	q0, [x8, #4]
0xfffffff00878f60c: 883640b9  ldr	w8, [x20, #0x34]
0xfffffff00878f610: 494efff0  adrp	x9, #0xfffffff00715a000
0xfffffff00878f614: 29d12591  add	x9, x9, #0x974
0xfffffff00878f618: e92300a9  stp	x9, x8, [sp]
0xfffffff00878f61c: 004dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00878f620: 00403691  add	x0, x0, #0xd90
0xfffffff00878f624: 6193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878f628: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878f62c: a34dfff0  adrp	x3, #0xfffffff007146000
0xfffffff00878f630: 63f00791  add	x3, x3, #0x1fc
0xfffffff00878f634: 02008052  mov	w2, #0
0xfffffff00878f638: be8eee97  bl	#0xfffffff008333130
0xfffffff00878f63c: 813640b9  ldr	w1, [x20, #0x34]
0xfffffff00878f640: e00313aa  mov	x0, x19
0xfffffff00878f644: 0dffff97  bl	#0xfffffff00878f278
0xfffffff00878f648: 08f98552  mov	w8, #0x2fc8
0xfffffff00878f64c: 6802088b  add	x8, x19, x8
0xfffffff00878f650: 694256f9  ldr	x9, [x19, #0x2c80]
0xfffffff00878f654: 00c1c03c  ldur	q0, [x8, #0xc]
0xfffffff00878f658: 0101c03d  ldr	q1, [x8]
0xfffffff00878f65c: 21c18d3c  stur	q1, [x9, #0xdc]
0xfffffff00878f660: 20818e3c  stur	q0, [x9, #0xe8]
0xfffffff00878f664: 684256f9  ldr	x8, [x19, #0x2c80]
0xfffffff00878f668: 69e66fb9  ldr	w9, [x19, #0x2fe4]
0xfffffff00878f66c: 09f900b9  str	w9, [x8, #0xf8]
0xfffffff00878f670: 53000014  b	#0xfffffff00878f7bc
0xfffffff00878f674: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff00878f678: 88ea8552  mov	w8, #0x2f54
0xfffffff00878f67c: 6202088b  add	x2, x19, x8
0xfffffff00878f680: 100040f9  ldr	x16, [x0]
0xfffffff00878f684: f10300aa  mov	x17, x0
0xfffffff00878f688: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878f68c: 301ac1da  autda	x16, x17
0xfffffff00878f690: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff00878f694: e90310aa  mov	x9, x16
0xfffffff00878f698: 21048052  mov	w1, #0x21
