; Candidate 3674
; ADRP+ADD at VM 0xfffffff00874d930 (fileoff 0x1749930): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874d8b0: c8000035  cbnz	w8, #0xfffffff00874d8c8
0xfffffff00874d8b4: e00313aa  mov	x0, x19
0xfffffff00874d8b8: e10314aa  mov	x1, x20
0xfffffff00874d8bc: 49000094  bl	#0xfffffff00874d9e0
0xfffffff00874d8c0: f50300aa  mov	x21, x0
0xfffffff00874d8c4: 00070035  cbnz	w0, #0xfffffff00874d9a4
0xfffffff00874d8c8: e00313aa  mov	x0, x19
0xfffffff00874d8cc: e10314aa  mov	x1, x20
0xfffffff00874d8d0: a4000094  bl	#0xfffffff00874db60
0xfffffff00874d8d4: 2d000014  b	#0xfffffff00874d988
0xfffffff00874d8d8: 9f2403d5  bti	j
0xfffffff00874d8dc: e00313aa  mov	x0, x19
0xfffffff00874d8e0: e10314aa  mov	x1, x20
0xfffffff00874d8e4: 3b010094  bl	#0xfffffff00874ddd0
0xfffffff00874d8e8: 2e000014  b	#0xfffffff00874d9a0
0xfffffff00874d8ec: 9f2403d5  bti	j
0xfffffff00874d8f0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00874d8f4: 1f050071  cmp	w8, #1
0xfffffff00874d8f8: c1000054  b.ne	#0xfffffff00874d910
0xfffffff00874d8fc: e00313aa  mov	x0, x19
0xfffffff00874d900: e10314aa  mov	x1, x20
0xfffffff00874d904: b5000094  bl	#0xfffffff00874dbd8
0xfffffff00874d908: f50300aa  mov	x21, x0
0xfffffff00874d90c: c0040035  cbnz	w0, #0xfffffff00874d9a4
0xfffffff00874d910: e00313aa  mov	x0, x19
0xfffffff00874d914: e10314aa  mov	x1, x20
0xfffffff00874d918: d6000094  bl	#0xfffffff00874dc70
0xfffffff00874d91c: 1b000014  b	#0xfffffff00874d988
0xfffffff00874d920: 9f2403d5  bti	j
0xfffffff00874d924: 4950fff0  adrp	x9, #0xfffffff007158000
0xfffffff00874d928: 29f12691  add	x9, x9, #0x9bc
0xfffffff00874d92c: e92300a9  stp	x9, x8, [sp]
0xfffffff00874d930: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874d934: 00403691  add	x0, x0, #0xd90
0xfffffff00874d938: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874d93c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874d940: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874d944: 63d81791  add	x3, x3, #0x5f6
0xfffffff00874d948: 02008052  mov	w2, #0
0xfffffff00874d94c: f995ef97  bl	#0xfffffff008333130
0xfffffff00874d950: 35008052  mov	w21, #1
0xfffffff00874d954: 14000014  b	#0xfffffff00874d9a4
0xfffffff00874d958: 9f2403d5  bti	j
0xfffffff00874d95c: 600640f9  ldr	x0, [x19, #8]
0xfffffff00874d960: 810a40b9  ldr	w1, [x20, #8]
0xfffffff00874d964: 100040f9  ldr	x16, [x0]
0xfffffff00874d968: f10300aa  mov	x17, x0
0xfffffff00874d96c: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff00874d970: 301ac1da  autda	x16, x17
0xfffffff00874d974: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff00874d978: e90310aa  mov	x9, x16
0xfffffff00874d97c: f10309aa  mov	x17, x9
0xfffffff00874d980: 31d3fef2  movk	x17, #0xf699, lsl #48
0xfffffff00874d984: 11093fd7  blraa	x8, x17
0xfffffff00874d988: 15008052  mov	w21, #0
0xfffffff00874d98c: 06000014  b	#0xfffffff00874d9a4
0xfffffff00874d990: 9f2403d5  bti	j
0xfffffff00874d994: e00313aa  mov	x0, x19
0xfffffff00874d998: e10314aa  mov	x1, x20
0xfffffff00874d99c: cd000094  bl	#0xfffffff00874dcd0
0xfffffff00874d9a0: f50300aa  mov	x21, x0
0xfffffff00874d9a4: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00874d9a8: 657bd997  bl	#0xfffffff007dac73c
0xfffffff00874d9ac: e00315aa  mov	x0, x21
