; Candidate 5159
; ADRP+ADD at VM 0xfffffff0087dc8b8 (fileoff 0x17d88b8): page=0x1fea0d000 add_imm=0xe80

0xfffffff0087dc838: 18020034  cbz	w24, #0xfffffff0087dc878
0xfffffff0087dc83c: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dc840: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087dc844: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087dc848: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc84c: 08c92f91  add	x8, x8, #0xbf2
0xfffffff0087dc850: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc854: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc858: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc85c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc860: 280a8052  mov	w8, #0x51
0xfffffff0087dc864: a051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087dc868: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087dc86c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dc870: fc6ad797  bl	#0xfffffff007db7460
0xfffffff0087dc874: 19000014  b	#0xfffffff0087dc8d8
0xfffffff0087dc878: 4d5e0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc87c: f70300aa  mov	x23, x0
0xfffffff0087dc880: c0008052  mov	w0, #6
0xfffffff0087dc884: f37b0294  bl	#0xfffffff00887b850
0xfffffff0087dc888: e80316aa  mov	x8, x22
0xfffffff0087dc88c: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087dc890: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087dc894: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087dc898: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc89c: 08c92f91  add	x8, x8, #0xbf2
0xfffffff0087dc8a0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc8a4: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc8a8: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc8ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc8b0: 280a8052  mov	w8, #0x51
0xfffffff0087dc8b4: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dc8b8: 6050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dc8bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dc8c0: 6191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087dc8c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dc8c8: 0353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087dc8cc: 63643a91  add	x3, x3, #0xe99
0xfffffff0087dc8d0: 02008052  mov	w2, #0
0xfffffff0087dc8d4: 175aed97  bl	#0xfffffff008333130
0xfffffff0087dc8d8: e00316aa  mov	x0, x22
0xfffffff0087dc8dc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087dc8e0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087dc8e4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087dc8e8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087dc8ec: ff830291  add	sp, sp, #0xa0
0xfffffff0087dc8f0: ff0f5fd6  retab	
0xfffffff0087dc8f4: 7f2303d5  pacibsp	
0xfffffff0087dc8f8: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087dc8fc: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087dc900: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087dc904: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087dc908: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087dc90c: fd030291  add	x29, sp, #0x80
0xfffffff0087dc910: f50302aa  mov	x21, x2
0xfffffff0087dc914: f40301aa  mov	x20, x1
0xfffffff0087dc918: f30300aa  mov	x19, x0
0xfffffff0087dc91c: 200a8052  mov	w0, #0x51
0xfffffff0087dc920: 01018052  mov	w1, #8
0xfffffff0087dc924: ab7b0294  bl	#0xfffffff00887b7d0
0xfffffff0087dc928: 60050034  cbz	w0, #0xfffffff0087dc9d4
0xfffffff0087dc92c: 200a8052  mov	w0, #0x51
0xfffffff0087dc930: ba7b0294  bl	#0xfffffff00887b818
0xfffffff0087dc934: f70300aa  mov	x23, x0
