; Candidate 7029
; ADRP+ADD at VM 0xfffffff008851b68 (fileoff 0x184db68): page=0x1fe998000 add_imm=0xe80

0xfffffff008851ae8: 0350ffb0  adrp	x3, #0xfffffff007252000
0xfffffff008851aec: 63083f91  add	x3, x3, #0xfc2
0xfffffff008851af0: f72300a9  stp	x23, x8, [sp]
0xfffffff008851af4: c04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008851af8: 00003a91  add	x0, x0, #0xe80
0xfffffff008851afc: a18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008851b00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008851b04: 02008052  mov	w2, #0
0xfffffff008851b08: 8a85eb97  bl	#0xfffffff008333130
0xfffffff008851b0c: 1fffff17  b	#0xfffffff008851788
0xfffffff008851b10: a7890194  bl	#0xfffffff0088b41ac
0xfffffff008851b14: f60300aa  mov	x22, x0
0xfffffff008851b18: c0008052  mov	w0, #6
0xfffffff008851b1c: 4da70094  bl	#0xfffffff00887b850
0xfffffff008851b20: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff008851b24: 295b40b9  ldr	w9, [x25, #0x58]
0xfffffff008851b28: 0a098052  mov	w10, #0x48
0xfffffff008851b2c: 4b018052  mov	w11, #0xa
0xfffffff008851b30: eb2b05a9  stp	x11, x10, [sp, #0x50]
0xfffffff008851b34: f92704a9  stp	x25, x9, [sp, #0x40]
0xfffffff008851b38: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff008851b3c: c86a8052  mov	w8, #0x356
0xfffffff008851b40: a94effb0  adrp	x9, #0xfffffff007226000
0xfffffff008851b44: 29bd1891  add	x9, x9, #0x62f
0xfffffff008851b48: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008851b4c: a84effd0  adrp	x8, #0xfffffff007227000
0xfffffff008851b50: 08811191  add	x8, x8, #0x460
0xfffffff008851b54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008851b58: e80d8052  mov	w8, #0x6f
0xfffffff008851b5c: 0350ffd0  adrp	x3, #0xfffffff007253000
0xfffffff008851b60: 63500091  add	x3, x3, #0x14
0xfffffff008851b64: f62300a9  stp	x22, x8, [sp]
0xfffffff008851b68: c04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008851b6c: 00003a91  add	x0, x0, #0xe80
0xfffffff008851b70: a18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008851b74: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008851b78: 02008052  mov	w2, #0
0xfffffff008851b7c: 6d85eb97  bl	#0xfffffff008333130
0xfffffff008851b80: a2835af8  ldur	x2, [x29, #-0x58]
0xfffffff008851b84: e00313aa  mov	x0, x19
0xfffffff008851b88: e10314aa  mov	x1, x20
0xfffffff008851b8c: 03098052  mov	w3, #0x48
0xfffffff008851b90: e40315aa  mov	x4, x21
0xfffffff008851b94: c0ecff97  bl	#0xfffffff00884ce94
0xfffffff008851b98: f60300aa  mov	x22, x0
0xfffffff008851b9c: c0040034  cbz	w0, #0xfffffff008851c34
0xfffffff008851ba0: e00d8052  mov	w0, #0x6f
0xfffffff008851ba4: 81008052  mov	w1, #4
0xfffffff008851ba8: 0aa70094  bl	#0xfffffff00887b7d0
0xfffffff008851bac: e0deff34  cbz	w0, #0xfffffff008851788
0xfffffff008851bb0: e00d8052  mov	w0, #0x6f
0xfffffff008851bb4: 19a70094  bl	#0xfffffff00887b818
0xfffffff008851bb8: f80300aa  mov	x24, x0
0xfffffff008851bbc: 7c890194  bl	#0xfffffff0088b41ac
0xfffffff008851bc0: f70300aa  mov	x23, x0
0xfffffff008851bc4: 80008052  mov	w0, #4
0xfffffff008851bc8: 22a70094  bl	#0xfffffff00887b850
0xfffffff008851bcc: 98060034  cbz	w24, #0xfffffff008851c9c
0xfffffff008851bd0: e80316aa  mov	x8, x22
0xfffffff008851bd4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008851bd8: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008851bdc: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008851be0: 4c018052  mov	w12, #0xa
0xfffffff008851be4: ec2307a9  stp	x12, x8, [sp, #0x70]
