; Candidate 8397
; ADRP+ADD at VM 0xfffffff0088a87c4 (fileoff 0x18a47c4): page=0x1fe98a000 add_imm=0xec9

0xfffffff0088a8744: 08696938  ldrb	w8, [x8, x9]
0xfffffff0088a8748: 1f010071  cmp	w8, #0
0xfffffff0088a874c: f6179f1a  cset	w22, eq
0xfffffff0088a8750: 02000014  b	#0xfffffff0088a8758
0xfffffff0088a8754: 16008052  mov	w22, #0
0xfffffff0088a8758: c00f8052  mov	w0, #0x7e
0xfffffff0088a875c: 01018052  mov	w1, #8
0xfffffff0088a8760: 1c4cff97  bl	#0xfffffff00887b7d0
0xfffffff0088a8764: 80030034  cbz	w0, #0xfffffff0088a87d4
0xfffffff0088a8768: c00f8052  mov	w0, #0x7e
0xfffffff0088a876c: 2b4cff97  bl	#0xfffffff00887b818
0xfffffff0088a8770: f50300aa  mov	x21, x0
0xfffffff0088a8774: 8e2e0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8778: f40300aa  mov	x20, x0
0xfffffff0088a877c: 00018052  mov	w0, #8
0xfffffff0088a8780: 344cff97  bl	#0xfffffff00887b850
0xfffffff0088a8784: d50a0034  cbz	w21, #0xfffffff0088a88dc
0xfffffff0088a8788: 680240b9  ldr	w8, [x19]
0xfffffff0088a878c: 694e41b9  ldr	w9, [x19, #0x14c]
0xfffffff0088a8790: 6a5a41b9  ldr	w10, [x19, #0x158]
0xfffffff0088a8794: 6b5241b9  ldr	w11, [x19, #0x150]
0xfffffff0088a8798: 6c1640b9  ldr	w12, [x19, #0x14]
0xfffffff0088a879c: ed03162a  mov	w13, w22
0xfffffff0088a87a0: ec3705a9  stp	x12, x13, [sp, #0x50]
0xfffffff0088a87a4: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff0088a87a8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088a87ac: 28088052  mov	w8, #0x41
0xfffffff0088a87b0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a87b4: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a87b8: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a87bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a87c0: c80f8052  mov	w8, #0x7e
0xfffffff0088a87c4: 404cffd0  adrp	x0, #0xfffffff007232000
0xfffffff0088a87c8: 00243b91  add	x0, x0, #0xec9
0xfffffff0088a87cc: f42300a9  stp	x20, x8, [sp]
0xfffffff0088a87d0: 243bd497  bl	#0xfffffff007db7460
0xfffffff0088a87d4: f60b0036  tbz	w22, #0, #0xfffffff0088a8950
0xfffffff0088a87d8: 685a41b9  ldr	w8, [x19, #0x158]
0xfffffff0088a87dc: 1f090071  cmp	w8, #2
0xfffffff0088a87e0: 600d0054  b.eq	#0xfffffff0088a898c
0xfffffff0088a87e4: 1f050071  cmp	w8, #1
0xfffffff0088a87e8: 010f0054  b.ne	#0xfffffff0088a89c8
0xfffffff0088a87ec: 6a1640b9  ldr	w10, [x19, #0x14]
0xfffffff0088a87f0: 294bff90  adrp	x9, #0xfffffff00720c000
0xfffffff0088a87f4: 29813f91  add	x9, x9, #0xfe0
0xfffffff0088a87f8: 5f0d0071  cmp	w10, #3
0xfffffff0088a87fc: 6b0e0054  b.lt	#0xfffffff0088a89c8
0xfffffff0088a8800: 4b0500d1  sub	x11, x10, #1
0xfffffff0088a8804: 685241b9  ldr	w8, [x19, #0x150]
0xfffffff0088a8808: 0c0d088b  add	x12, x8, x8, lsl #3
0xfffffff0088a880c: 2c010c8b  add	x12, x9, x12
0xfffffff0088a8810: 8a010a8b  add	x10, x12, x10
0xfffffff0088a8814: 4cf15f38  ldurb	w12, [x10, #-1]
0xfffffff0088a8818: ea030baa  mov	x10, x11
0xfffffff0088a881c: ecfeff34  cbz	w12, #0xfffffff0088a87f8
0xfffffff0088a8820: 6b1600b9  str	w11, [x19, #0x14]
0xfffffff0088a8824: 4c000014  b	#0xfffffff0088a8954
0xfffffff0088a8828: 612e0094  bl	#0xfffffff0088b41ac
0xfffffff0088a882c: f40300aa  mov	x20, x0
0xfffffff0088a8830: e0008052  mov	w0, #7
0xfffffff0088a8834: 074cff97  bl	#0xfffffff00887b850
0xfffffff0088a8838: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a883c: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a8840: e8cf01a9  stp	x8, x19, [sp, #0x18]
