; Candidate 8008
; ADRP+ADD at VM 0xfffffff00888dfd4 (fileoff 0x1889fd4): page=0x1fe95c000 add_imm=0xe80

0xfffffff00888df54: 88032837  tbnz	w8, #5, #0xfffffff00888dfc4
0xfffffff00888df58: e80240f9  ldr	x8, [x23]
0xfffffff00888df5c: 692a5329  ldp	w9, w10, [x19, #0x98]
0xfffffff00888df60: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888df64: e80300f9  str	x8, [sp]
0xfffffff00888df68: 004dffd0  adrp	x0, #0xfffffff00722f000
0xfffffff00888df6c: 004c0491  add	x0, x0, #0x113
0xfffffff00888df70: 3ca5d497  bl	#0xfffffff007db7460
0xfffffff00888df74: 20000014  b	#0xfffffff00888dff4
0xfffffff00888df78: 8d980094  bl	#0xfffffff0088b41ac
0xfffffff00888df7c: f80300aa  mov	x24, x0
0xfffffff00888df80: e00315aa  mov	x0, x21
0xfffffff00888df84: 33b6ff97  bl	#0xfffffff00887b850
0xfffffff00888df88: e80240f9  ldr	x8, [x23]
0xfffffff00888df8c: 692a5329  ldp	w9, w10, [x19, #0x98]
0xfffffff00888df90: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888df94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888df98: e80314aa  mov	x8, x20
0xfffffff00888df9c: f82300a9  stp	x24, x8, [sp]
0xfffffff00888dfa0: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888dfa4: 00003a91  add	x0, x0, #0xe80
0xfffffff00888dfa8: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888dfac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888dfb0: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888dfb4: 632c0a91  add	x3, x3, #0x28b
0xfffffff00888dfb8: 02008052  mov	w2, #0
0xfffffff00888dfbc: 5d94ea97  bl	#0xfffffff008333130
0xfffffff00888dfc0: 0d000014  b	#0xfffffff00888dff4
0xfffffff00888dfc4: e80240f9  ldr	x8, [x23]
0xfffffff00888dfc8: 692a5329  ldp	w9, w10, [x19, #0x98]
0xfffffff00888dfcc: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888dfd0: e80300f9  str	x8, [sp]
0xfffffff00888dfd4: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888dfd8: 00003a91  add	x0, x0, #0xe80
0xfffffff00888dfdc: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888dfe0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888dfe4: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888dfe8: 63000a91  add	x3, x3, #0x280
0xfffffff00888dfec: 02008052  mov	w2, #0
0xfffffff00888dff0: 5094ea97  bl	#0xfffffff008333130
0xfffffff00888dff4: 20018052  mov	w0, #9
0xfffffff00888dff8: ef930094  bl	#0xfffffff0088b2fb4
0xfffffff00888dffc: f70300aa  mov	x23, x0
0xfffffff00888e000: e00314aa  mov	x0, x20
0xfffffff00888e004: e10315aa  mov	x1, x21
0xfffffff00888e008: f2b5ff97  bl	#0xfffffff00887b7d0
0xfffffff00888e00c: e0070034  cbz	w0, #0xfffffff00888e108
0xfffffff00888e010: e00314aa  mov	x0, x20
0xfffffff00888e014: 01b6ff97  bl	#0xfffffff00887b818
0xfffffff00888e018: 5602f837  tbnz	w22, #0x1f, #0xfffffff00888e060
0xfffffff00888e01c: d9021b12  and	w25, w22, #0x20
0xfffffff00888e020: 1a000052  eor	w26, w0, #1
0xfffffff00888e024: 62980094  bl	#0xfffffff0088b41ac
0xfffffff00888e028: f80300aa  mov	x24, x0
0xfffffff00888e02c: e00315aa  mov	x0, x21
0xfffffff00888e030: 08b6ff97  bl	#0xfffffff00887b850
0xfffffff00888e034: 4817592a  orr	w8, w26, w25, lsr #5
0xfffffff00888e038: a8020037  tbnz	w8, #0, #0xfffffff00888e08c
0xfffffff00888e03c: e80240f9  ldr	x8, [x23]
0xfffffff00888e040: 692a5629  ldp	w9, w10, [x19, #0xb0]
0xfffffff00888e044: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888e048: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888e04c: e80314aa  mov	x8, x20
0xfffffff00888e050: f82300a9  stp	x24, x8, [sp]
