; Candidate 16115
; ADRP+ADD at VM 0xfffffff009e21d3c (fileoff 0x2e1dd3c): page=0x1fd882000 add_imm=0xe00

0xfffffff009e21cbc: 1c610091  add	x28, x8, #0x18
0xfffffff009e21cc0: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009e21cc4: e00500b4  cbz	x0, #0xfffffff009e21d80
0xfffffff009e21cc8: b71340f9  ldr	x23, [x29, #0x20]
0xfffffff009e21ccc: 4dee7c97  bl	#0xfffffff007d5d600
0xfffffff009e21cd0: e04700f9  str	x0, [sp, #0x88]
0xfffffff009e21cd4: fa2300f9  str	x26, [sp, #0x40]
0xfffffff009e21cd8: fb1b00f9  str	x27, [sp, #0x30]
0xfffffff009e21cdc: 178100b5  cbnz	x23, #0xfffffff009e22cfc
0xfffffff009e21ce0: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009e21ce4: e8430391  add	x8, sp, #0xd0
0xfffffff009e21ce8: 1f2100f9  str	xzr, [x8, #0x40]
0xfffffff009e21cec: 1f0500f9  str	xzr, [x8, #8]
0xfffffff009e21cf0: f83340f9  ldr	x24, [sp, #0x60]
0xfffffff009e21cf4: dbcffeb0  adrp	x27, #0xfffffff00781a000
0xfffffff009e21cf8: 7bd70591  add	x27, x27, #0x175
0xfffffff009e21cfc: e00316aa  mov	x0, x22
0xfffffff009e21d00: e1031baa  mov	x1, x27
0xfffffff009e21d04: bc1a0094  bl	#0xfffffff009e287f4
0xfffffff009e21d08: fa0300aa  mov	x26, x0
0xfffffff009e21d0c: 200600b4  cbz	x0, #0xfffffff009e21dd0
0xfffffff009e21d10: e1430491  add	x1, sp, #0x110
0xfffffff009e21d14: e0031aaa  mov	x0, x26
0xfffffff009e21d18: 0382ff97  bl	#0xfffffff009e02524
0xfffffff009e21d1c: a00000b4  cbz	x0, #0xfffffff009e21d30
0xfffffff009e21d20: f90300aa  mov	x25, x0
0xfffffff009e21d24: e8430391  add	x8, sp, #0xd0
0xfffffff009e21d28: 082140f9  ldr	x8, [x8, #0x40]
0xfffffff009e21d2c: 480500b5  cbnz	x8, #0xfffffff009e21dd4
0xfffffff009e21d30: e83f40f9  ldr	x8, [sp, #0x78]
0xfffffff009e21d34: a80b00b4  cbz	x8, #0xfffffff009e21ea8
0xfffffff009e21d38: e86f00a9  stp	x8, x27, [sp]
0xfffffff009e21d3c: 00c4fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e21d40: 00003891  add	x0, x0, #0xe00
0xfffffff009e21d44: 41f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e21d48: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e21d4c: e3cffed0  adrp	x3, #0xfffffff00781f000
0xfffffff009e21d50: 63683d91  add	x3, x3, #0xf5a
0xfffffff009e21d54: 02028052  mov	w2, #0x10
0xfffffff009e21d58: f6449497  bl	#0xfffffff008333130
0xfffffff009e21d5c: 1b0080d2  mov	x27, #0
0xfffffff009e21d60: 17008052  mov	w23, #0
0xfffffff009e21d64: 7e000014  b	#0xfffffff009e21f5c
0xfffffff009e21d68: c8cffef0  adrp	x8, #0xfffffff00781c000
0xfffffff009e21d6c: 08790191  add	x8, x8, #0x5e
0xfffffff009e21d70: 9a010014  b	#0xfffffff009e223d8
0xfffffff009e21d74: c8cffef0  adrp	x8, #0xfffffff00781c000
0xfffffff009e21d78: 08c50291  add	x8, x8, #0xb1
0xfffffff009e21d7c: 97010014  b	#0xfffffff009e223d8
0xfffffff009e21d80: e00314aa  mov	x0, x20
0xfffffff009e21d84: 010080d2  mov	x1, #0
0xfffffff009e21d88: 020080d2  mov	x2, #0
0xfffffff009e21d8c: 23008052  mov	w3, #1
0xfffffff009e21d90: 040080d2  mov	x4, #0
0xfffffff009e21d94: e5031caa  mov	x5, x28
0xfffffff009e21d98: 060080d2  mov	x6, #0
0xfffffff009e21d9c: 358cff97  bl	#0xfffffff009e04e70
0xfffffff009e21da0: 00060034  cbz	w0, #0xfffffff009e21e60
0xfffffff009e21da4: f90300aa  mov	x25, x0
0xfffffff009e21da8: 00c4fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e21dac: 00003891  add	x0, x0, #0xe00
0xfffffff009e21db0: 41f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e21db4: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e21db8: e3cffed0  adrp	x3, #0xfffffff00781f000
