; Candidate 6033
; ADRP+ADD at VM 0xfffffff00880fcbc (fileoff 0x180bcbc): page=0x1fe9da000 add_imm=0xe80

0xfffffff00880fc3c: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00880fc40: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff00880fc44: e84ffff0  adrp	x8, #0xfffffff00720e000
0xfffffff00880fc48: 08691291  add	x8, x8, #0x49a
0xfffffff00880fc4c: 29568052  mov	w9, #0x2b1
0xfffffff00880fc50: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00880fc54: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880fc58: 08fd0a91  add	x8, x8, #0x2bf
0xfffffff00880fc5c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880fc60: c80e8052  mov	w8, #0x76
0xfffffff00880fc64: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880fc68: f40300f9  str	x20, [sp]
0xfffffff00880fc6c: c04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880fc70: 00003a91  add	x0, x0, #0xe80
0xfffffff00880fc74: c18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880fc78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880fc7c: c351ff90  adrp	x3, #0xfffffff007247000
0xfffffff00880fc80: 63541491  add	x3, x3, #0x515
0xfffffff00880fc84: 02008052  mov	w2, #0
0xfffffff00880fc88: 2a8dec97  bl	#0xfffffff008333130
0xfffffff00880fc8c: 7e000014  b	#0xfffffff00880fe84
0xfffffff00880fc90: 47910294  bl	#0xfffffff0088b41ac
0xfffffff00880fc94: f30300aa  mov	x19, x0
0xfffffff00880fc98: 00018052  mov	w0, #8
0xfffffff00880fc9c: edae0194  bl	#0xfffffff00887b850
0xfffffff00880fca0: a90240b9  ldr	w9, [x21]
0xfffffff00880fca4: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880fca8: 08fd0a91  add	x8, x8, #0x2bf
0xfffffff00880fcac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880fcb0: c80e8052  mov	w8, #0x76
0xfffffff00880fcb4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880fcb8: f30300f9  str	x19, [sp]
0xfffffff00880fcbc: c04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880fcc0: 00003a91  add	x0, x0, #0xe80
0xfffffff00880fcc4: c18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880fcc8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880fccc: c351ff90  adrp	x3, #0xfffffff007247000
0xfffffff00880fcd0: 63541591  add	x3, x3, #0x555
0xfffffff00880fcd4: 02008052  mov	w2, #0
0xfffffff00880fcd8: 168dec97  bl	#0xfffffff008333130
0xfffffff00880fcdc: 00008052  mov	w0, #0
0xfffffff00880fce0: 6a000014  b	#0xfffffff00880fe88
0xfffffff00880fce4: 81008052  mov	w1, #4
0xfffffff00880fce8: baae0194  bl	#0xfffffff00887b7d0
0xfffffff00880fcec: c00c0034  cbz	w0, #0xfffffff00880fe84
0xfffffff00880fcf0: c00e8052  mov	w0, #0x76
0xfffffff00880fcf4: c9ae0194  bl	#0xfffffff00887b818
0xfffffff00880fcf8: f40300aa  mov	x20, x0
0xfffffff00880fcfc: 2c910294  bl	#0xfffffff0088b41ac
0xfffffff00880fd00: f30300aa  mov	x19, x0
0xfffffff00880fd04: 80008052  mov	w0, #4
0xfffffff00880fd08: d2ae0194  bl	#0xfffffff00887b850
0xfffffff00880fd0c: 94050034  cbz	w20, #0xfffffff00880fdbc
0xfffffff00880fd10: c80640b9  ldr	w8, [x22, #4]
0xfffffff00880fd14: a90240b9  ldr	w9, [x21]
0xfffffff00880fd18: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff00880fd1c: e84ffff0  adrp	x8, #0xfffffff00720e000
0xfffffff00880fd20: 08691291  add	x8, x8, #0x49a
0xfffffff00880fd24: a9588052  mov	w9, #0x2c5
0xfffffff00880fd28: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880fd2c: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880fd30: 08fd0a91  add	x8, x8, #0x2bf
0xfffffff00880fd34: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880fd38: c80e8052  mov	w8, #0x76
