; Candidate 3354
; ADRP+ADD at VM 0xfffffff008736918 (fileoff 0x1732918): page=0x1fe9fb000 add_imm=0xd90

0xfffffff008736898: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00873689c: 170940f9  ldr	x23, [x8, #0x10]
0xfffffff0087368a0: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff0087368a4: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087368a8: c90100b4  cbz	x9, #0xfffffff0087368e0
0xfffffff0087368ac: a9eb8052  mov	w9, #0x75d
0xfffffff0087368b0: c850ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0087368b4: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087368b8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087368bc: c04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff0087368c0: 00403691  add	x0, x0, #0xd90
0xfffffff0087368c4: 2196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087368c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087368cc: 02008052  mov	w2, #0
0xfffffff0087368d0: 2350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff0087368d4: 63580c91  add	x3, x3, #0x316
0xfffffff0087368d8: 16f2ef97  bl	#0xfffffff008333130
0xfffffff0087368dc: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff0087368e0: e94228ab  adds	x9, x23, w8, uxtw
0xfffffff0087368e4: 42050054  b.hs	#0xfffffff00873698c
0xfffffff0087368e8: 29a560d3  ubfx	x9, x9, #0x20, #0xa
0xfffffff0087368ec: 29030079  strh	w9, [x25]
0xfffffff0087368f0: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff0087368f4: 370940f9  ldr	x23, [x9, #0x10]
0xfffffff0087368f8: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087368fc: 690000b5  cbnz	x9, #0xfffffff008736908
0xfffffff008736900: 087d4092  and	x8, x8, #0xffffffff
0xfffffff008736904: 0e000014  b	#0xfffffff00873693c
0xfffffff008736908: c9eb8052  mov	w9, #0x75e
0xfffffff00873690c: c850ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff008736910: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008736914: e82700a9  stp	x8, x9, [sp]
0xfffffff008736918: c04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873691c: 00403691  add	x0, x0, #0xd90
0xfffffff008736920: 2196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008736924: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008736928: 02008052  mov	w2, #0
0xfffffff00873692c: 2350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff008736930: 63280d91  add	x3, x3, #0x34a
0xfffffff008736934: fff1ef97  bl	#0xfffffff008333130
0xfffffff008736938: e82340b9  ldr	w8, [sp, #0x20]
0xfffffff00873693c: e80208ab  adds	x8, x23, x8
0xfffffff008736940: 62020054  b.hs	#0xfffffff00873698c
0xfffffff008736944: 282300b8  stur	w8, [x25, #2]
0xfffffff008736948: 366300b8  stur	w22, [x25, #6]
0xfffffff00873694c: 68889f92  mov	x8, #-0xfc44
0xfffffff008736950: 0800b0f2  movk	x8, #0x8000, lsl #16
0xfffffff008736954: 6802088b  add	x8, x19, x8
0xfffffff008736958: 2900c092  mov	x9, #-0x100000001
0xfffffff00873695c: 1f0109eb  cmp	x8, x9
0xfffffff008736960: 29040054  b.ls	#0xfffffff0087369e4
0xfffffff008736964: 8877c0d2  mov	x8, #0x3bc00000000
0xfffffff008736968: 7b03088b  add	x27, x27, x8
0xfffffff00873696c: b5060091  add	x21, x21, #1
0xfffffff008736970: 18231891  add	x24, x24, #0x608
0xfffffff008736974: 39b30091  add	x25, x25, #0x2c
0xfffffff008736978: 9f0315eb  cmp	x28, x21
0xfffffff00873697c: 41f5ff54  b.ne	#0xfffffff008736824
0xfffffff008736980: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff008736984: e91f40b9  ldr	w9, [sp, #0x1c]
0xfffffff008736988: 04000014  b	#0xfffffff008736998
0xfffffff00873698c: 00008012  mov	w0, #-1
0xfffffff008736990: 07000014  b	#0xfffffff0087369ac
0xfffffff008736994: 09008052  mov	w9, #0
