; Candidate 4638
; ADRP+ADD at VM 0xfffffff0087bf04c (fileoff 0x17bb04c): page=0x1fe972000 add_imm=0xd90

0xfffffff0087befcc: 1f010071  cmp	w8, #0
0xfffffff0087befd0: a41a407a  ccmp	w21, #0, #4, ne
0xfffffff0087befd4: 2d020054  b.le	#0xfffffff0087bf018
0xfffffff0087befd8: 160080d2  mov	x22, #0
0xfffffff0087befdc: 144dffb0  adrp	x20, #0xfffffff00715f000
0xfffffff0087befe0: 94160091  add	x20, x20, #5
0xfffffff0087befe4: e00313aa  mov	x0, x19
0xfffffff0087befe8: e10314aa  mov	x1, x20
0xfffffff0087befec: 02018052  mov	w2, #8
0xfffffff0087beff0: b4f0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087beff4: 08000251  sub	w8, w0, #0x80
0xfffffff0087beff8: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087beffc: 2909168b  add	x9, x9, x22, lsl #2
0xfffffff0087bf000: 28f50ab9  str	w8, [x9, #0xaf4]
0xfffffff0087bf004: 1f000471  cmp	w0, #0x100
0xfffffff0087bf008: 62110054  b.hs	#0xfffffff0087bf234
0xfffffff0087bf00c: d6060091  add	x22, x22, #1
0xfffffff0087bf010: bf0216eb  cmp	x21, x22
0xfffffff0087bf014: 81feff54  b.ne	#0xfffffff0087befe4
0xfffffff0087bf018: 014dff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087bf01c: 216c0091  add	x1, x1, #0x1b
0xfffffff0087bf020: e00313aa  mov	x0, x19
0xfffffff0087bf024: 42008052  mov	w2, #2
0xfffffff0087bf028: a6f0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bf02c: 08180011  add	w8, w0, #6
0xfffffff0087bf030: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087bf034: 28590bb9  str	w8, [x9, #0xb58]
0xfffffff0087bf038: 1f100071  cmp	w0, #4
0xfffffff0087bf03c: 23030054  b.lo	#0xfffffff0087bf0a0
0xfffffff0087bf040: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bf044: 29793b91  add	x9, x9, #0xede
0xfffffff0087bf048: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bf04c: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf050: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf054: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf058: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf05c: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf060: 63d43691  add	x3, x3, #0xdb5
0xfffffff0087bf064: 02008052  mov	w2, #0
0xfffffff0087bf068: 32d0ed97  bl	#0xfffffff008333130
0xfffffff0087bf06c: a9feff17  b	#0xfffffff0087beb10
0xfffffff0087bf070: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf074: 08793b91  add	x8, x8, #0xede
0xfffffff0087bf078: e82700a9  stp	x8, x9, [sp]
0xfffffff0087bf07c: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf080: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf084: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf088: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf08c: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf090: 63a43591  add	x3, x3, #0xd69
0xfffffff0087bf094: 02008052  mov	w2, #0
0xfffffff0087bf098: 26d0ed97  bl	#0xfffffff008333130
0xfffffff0087bf09c: 9dfeff17  b	#0xfffffff0087beb10
0xfffffff0087bf0a0: 014dff90  adrp	x1, #0xfffffff00715f000
0xfffffff0087bf0a4: 21c80091  add	x1, x1, #0x32
0xfffffff0087bf0a8: e00313aa  mov	x0, x19
0xfffffff0087bf0ac: 42008052  mov	w2, #2
0xfffffff0087bf0b0: 84f0ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bf0b4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bf0b8: 005d0bb9  str	w0, [x8, #0xb5c]
0xfffffff0087bf0bc: 1f100071  cmp	w0, #4
0xfffffff0087bf0c0: e3050054  b.lo	#0xfffffff0087bf17c
0xfffffff0087bf0c4: e84cfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bf0c8: 08793b91  add	x8, x8, #0xede
