; Candidate 10846
; ADRP+ADD at VM 0xfffffff008de96fc (fileoff 0x1de56fc): page=0x1fe5db000 add_imm=0xe15

0xfffffff008de967c: 4a092191  add	x10, x10, #0x842
0xfffffff008de9680: e9ffff17  b	#0xfffffff008de9624
0xfffffff008de9684: 486b8052  mov	w8, #0x35a
0xfffffff008de9688: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de968c: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9690: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de9694: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9698: 08493991  add	x8, x8, #0xe52
0xfffffff008de969c: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de96a0: 4a393391  add	x10, x10, #0xcce
0xfffffff008de96a4: e0ffff17  b	#0xfffffff008de9624
0xfffffff008de96a8: 686b8052  mov	w8, #0x35b
0xfffffff008de96ac: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de96b0: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de96b4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de96b8: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de96bc: 08493991  add	x8, x8, #0xe52
0xfffffff008de96c0: ca2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008de96c4: 4a4d0291  add	x10, x10, #0x93
0xfffffff008de96c8: d7ffff17  b	#0xfffffff008de9624
0xfffffff008de96cc: f60300aa  mov	x22, x0
0xfffffff008de96d0: c87e4093  sxtw	x8, w22
0xfffffff008de96d4: e96b8052  mov	w9, #0x35f
0xfffffff008de96d8: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de96dc: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de96e0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de96e4: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de96e8: 29493991  add	x9, x9, #0xe52
0xfffffff008de96ec: cb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de96f0: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de96f4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de96f8: eb0300f9  str	x11, [sp]
0xfffffff008de96fc: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9700: 00543891  add	x0, x0, #0xe15
0xfffffff008de9704: 47b6d597  bl	#0xfffffff008357020
0xfffffff008de9708: 86ffff17  b	#0xfffffff008de9520
0xfffffff008de970c: 086c8052  mov	w8, #0x360
0xfffffff008de9710: c92effb0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de9714: 29e92e91  add	x9, x9, #0xbba
0xfffffff008de9718: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de971c: c82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de9720: 08493991  add	x8, x8, #0xe52
0xfffffff008de9724: ca2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008de9728: 4a790291  add	x10, x10, #0x9e
0xfffffff008de972c: beffff17  b	#0xfffffff008de9624
0xfffffff008de9730: f60300aa  mov	x22, x0
0xfffffff008de9734: c87e4093  sxtw	x8, w22
0xfffffff008de9738: c9728052  mov	w9, #0x396
0xfffffff008de973c: ca2effb0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de9740: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de9744: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de9748: c92efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de974c: 29493991  add	x9, x9, #0xe52
0xfffffff008de9750: cb2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de9754: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de9758: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de975c: eb0300f9  str	x11, [sp]
0xfffffff008de9760: c02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de9764: 00543891  add	x0, x0, #0xe15
0xfffffff008de9768: 2eb6d597  bl	#0xfffffff008357020
0xfffffff008de976c: 6dffff17  b	#0xfffffff008de9520
0xfffffff008de9770: 7f2303d5  pacibsp	
0xfffffff008de9774: ff4302d1  sub	sp, sp, #0x90
0xfffffff008de9778: fa6704a9  stp	x26, x25, [sp, #0x40]
