; Candidate 1236
; ADRP+ADD at VM 0xfffffff0082e3840 (fileoff 0x12df840): page=0x1fedb3000 add_imm=0xd15

0xfffffff0082e37c0: ff830191  add	sp, sp, #0x60
0xfffffff0082e37c4: ff0f5fd6  retab	
0xfffffff0082e37c8: a1e9e997  bl	#0xfffffff007d5de4c
0xfffffff0082e37cc: 5f2403d5  bti	c
0xfffffff0082e37d0: 1f0001eb  cmp	x0, x1
0xfffffff0082e37d4: e0179f1a  cset	w0, eq
0xfffffff0082e37d8: c0035fd6  ret	
0xfffffff0082e37dc: 5f2403d5  bti	c
0xfffffff0082e37e0: 200020d4  brk	#1
0xfffffff0082e37e4: 5f2403d5  bti	c
0xfffffff0082e37e8: 200020d4  brk	#1
0xfffffff0082e37ec: 5f2403d5  bti	c
0xfffffff0082e37f0: 000080d2  mov	x0, #0
0xfffffff0082e37f4: c0035fd6  ret	
0xfffffff0082e37f8: 5f2403d5  bti	c
0xfffffff0082e37fc: c0035fd6  ret	
0xfffffff0082e3800: 5f2403d5  bti	c
0xfffffff0082e3804: c0035fd6  ret	
0xfffffff0082e3808: 5f2403d5  bti	c
0xfffffff0082e380c: c0035fd6  ret	
0xfffffff0082e3810: 5f2403d5  bti	c
0xfffffff0082e3814: 20fb0090  adrp	x0, #0xfffffff00a247000
0xfffffff0082e3818: 00e02391  add	x0, x0, #0x8f8
0xfffffff0082e381c: c0035fd6  ret	
0xfffffff0082e3820: 7f2303d5  pacibsp	
0xfffffff0082e3824: ff8300d1  sub	sp, sp, #0x20
0xfffffff0082e3828: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0082e382c: fd430091  add	x29, sp, #0x10
0xfffffff0082e3830: 886dfff0  adrp	x8, #0xfffffff007096000
0xfffffff0082e3834: 087d3191  add	x8, x8, #0xc5f
0xfffffff0082e3838: 49ba8052  mov	w9, #0x5d2
0xfffffff0082e383c: e82700a9  stp	x8, x9, [sp]
0xfffffff0082e3840: 806dfff0  adrp	x0, #0xfffffff007096000
0xfffffff0082e3844: 00543491  add	x0, x0, #0xd15
0xfffffff0082e3848: 31c30694  bl	#0xfffffff00849450c
0xfffffff0082e384c: 5f2403d5  bti	c
0xfffffff0082e3850: c0035fd6  ret	
0xfffffff0082e3854: 5f2403d5  bti	c
0xfffffff0082e3858: c0035fd6  ret	
0xfffffff0082e385c: 5f2403d5  bti	c
0xfffffff0082e3860: 00008052  mov	w0, #0
0xfffffff0082e3864: c0035fd6  ret	
0xfffffff0082e3868: 5f2403d5  bti	c
0xfffffff0082e386c: c0035fd6  ret	
0xfffffff0082e3870: 5f2403d5  bti	c
0xfffffff0082e3874: 01000014  b	#0xfffffff0082e3878
0xfffffff0082e3878: 7f2303d5  pacibsp	
0xfffffff0082e387c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0082e3880: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0082e3884: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0082e3888: fd830091  add	x29, sp, #0x20
0xfffffff0082e388c: f30300aa  mov	x19, x0
0xfffffff0082e3890: 080080d2  mov	x8, #0
0xfffffff0082e3894: 30b2fff0  adrp	x16, #0xfffffff00792a000
0xfffffff0082e3898: 10221f91  add	x16, x16, #0x7c8
0xfffffff0082e389c: 10420091  add	x16, x16, #0x10
0xfffffff0082e38a0: f10300aa  mov	x17, x0
0xfffffff0082e38a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0082e38a8: 300ac1da  pacda	x16, x17
0xfffffff0082e38ac: 100000f9  str	x16, [x0]
0xfffffff0082e38b0: 090440f9  ldr	x9, [x0, #8]
0xfffffff0082e38b4: 350540f9  ldr	x21, [x9, #8]
0xfffffff0082e38b8: b6f90090  adrp	x22, #0xfffffff00a217000
0xfffffff0082e38bc: c06647f9  ldr	x0, [x22, #0xec8]
