; Candidate 8728
; ADRP+ADD at VM 0xfffffff0088c0450 (fileoff 0x18bc450): page=0x1fe929000 add_imm=0xe80

0xfffffff0088c03d0: 12edfe97  bl	#0xfffffff00887b818
0xfffffff0088c03d4: f50300aa  mov	x21, x0
0xfffffff0088c03d8: 75cfff97  bl	#0xfffffff0088b41ac
0xfffffff0088c03dc: f40300aa  mov	x20, x0
0xfffffff0088c03e0: 80008052  mov	w0, #4
0xfffffff0088c03e4: 1bedfe97  bl	#0xfffffff00887b850
0xfffffff0088c03e8: 95040034  cbz	w21, #0xfffffff0088c0478
0xfffffff0088c03ec: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c03f0: 0af52091  add	x10, x8, #0x83d
0xfffffff0088c03f4: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff0088c03f8: fba703a9  stp	x27, x9, [sp, #0x38]
0xfffffff0088c03fc: c80d8152  mov	w8, #0x86e
0xfffffff0088c0400: a94bffb0  adrp	x9, #0xfffffff007235000
0xfffffff0088c0404: 29413691  add	x9, x9, #0xd90
0xfffffff0088c0408: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088c040c: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c0410: 08113791  add	x8, x8, #0xdc4
0xfffffff0088c0414: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088c0418: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088c041c: e8088052  mov	w8, #0x47
0xfffffff0088c0420: a04bffd0  adrp	x0, #0xfffffff007236000
0xfffffff0088c0424: 001c2091  add	x0, x0, #0x807
0xfffffff0088c0428: f42300a9  stp	x20, x8, [sp]
0xfffffff0088c042c: 0ddcd397  bl	#0xfffffff007db7460
0xfffffff0088c0430: 2c000014  b	#0xfffffff0088c04e0
0xfffffff0088c0434: 5ecfff97  bl	#0xfffffff0088b41ac
0xfffffff0088c0438: f30300aa  mov	x19, x0
0xfffffff0088c043c: e0008052  mov	w0, #7
0xfffffff0088c0440: 04edfe97  bl	#0xfffffff00887b850
0xfffffff0088c0444: e8088052  mov	w8, #0x47
0xfffffff0088c0448: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088c044c: f30300f9  str	x19, [sp]
0xfffffff0088c0450: 4049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c0454: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c0458: 418aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c045c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c0460: 234dffd0  adrp	x3, #0xfffffff007266000
0xfffffff0088c0464: 63802b91  add	x3, x3, #0xae0
0xfffffff0088c0468: 02008052  mov	w2, #0
0xfffffff0088c046c: 31cbe997  bl	#0xfffffff008333130
0xfffffff0088c0470: 00008052  mov	w0, #0
0xfffffff0088c0474: 1c000014  b	#0xfffffff0088c04e4
0xfffffff0088c0478: 4dcfff97  bl	#0xfffffff0088b41ac
0xfffffff0088c047c: f40300aa  mov	x20, x0
0xfffffff0088c0480: 80008052  mov	w0, #4
0xfffffff0088c0484: f3ecfe97  bl	#0xfffffff00887b850
0xfffffff0088c0488: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff0088c048c: fba303a9  stp	x27, x8, [sp, #0x38]
0xfffffff0088c0490: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c0494: 0af52091  add	x10, x8, #0x83d
0xfffffff0088c0498: c80d8152  mov	w8, #0x86e
0xfffffff0088c049c: a94bffb0  adrp	x9, #0xfffffff007235000
0xfffffff0088c04a0: 29413691  add	x9, x9, #0xd90
0xfffffff0088c04a4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088c04a8: a84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088c04ac: 08113791  add	x8, x8, #0xdc4
0xfffffff0088c04b0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088c04b4: e8088052  mov	w8, #0x47
0xfffffff0088c04b8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088c04bc: f40300f9  str	x20, [sp]
0xfffffff0088c04c0: 4049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c04c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c04c8: 418aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088c04cc: 212c42f9  ldr	x1, [x1, #0x458]
