; Candidate 736
; ADRP+ADD at VM 0xfffffff008061938 (fileoff 0x105d938): page=0x1ff00d000 add_imm=0xd90

0xfffffff0080618b8: 880500b5  cbnz	x8, #0xfffffff008061968
0xfffffff0080618bc: 680a44f9  ldr	x8, [x19, #0x810]
0xfffffff0080618c0: c80300b5  cbnz	x8, #0xfffffff008061938
0xfffffff0080618c4: 681644f9  ldr	x8, [x19, #0x828]
0xfffffff0080618c8: 480400b5  cbnz	x8, #0xfffffff008061950
0xfffffff0080618cc: 7f1204f9  str	xzr, [x19, #0x820]
0xfffffff0080618d0: 08018052  mov	w8, #8
0xfffffff0080618d4: 696a68f8  ldr	x9, [x19, x8]
0xfffffff0080618d8: 890100b5  cbnz	x9, #0xfffffff008061908
0xfffffff0080618dc: 08210091  add	x8, x8, #8
0xfffffff0080618e0: 1f2120f1  cmp	x8, #0x808
0xfffffff0080618e4: 81ffff54  b.ne	#0xfffffff0080618d4
0xfffffff0080618e8: 680240f9  ldr	x8, [x19]
0xfffffff0080618ec: 1f2100b9  str	wzr, [x8, #0x20]
0xfffffff0080618f0: 680240f9  ldr	x8, [x19]
0xfffffff0080618f4: 1f5900b9  str	wzr, [x8, #0x58]
0xfffffff0080618f8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080618fc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008061900: ffc30091  add	sp, sp, #0x30
0xfffffff008061904: ff0f5fd6  retab	
0xfffffff008061908: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff00806190c: 00bc3691  add	x0, x0, #0xdaf
0xfffffff008061910: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061914: 21142a91  add	x1, x1, #0xa85
0xfffffff008061918: c29b8052  mov	w2, #0x4de
0xfffffff00806191c: bef71094  bl	#0xfffffff00849f814
0xfffffff008061920: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff008061924: 00443591  add	x0, x0, #0xd51
0xfffffff008061928: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff00806192c: 21142a91  add	x1, x1, #0xa85
0xfffffff008061930: 22e58052  mov	w2, #0x729
0xfffffff008061934: b8f71094  bl	#0xfffffff00849f814
0xfffffff008061938: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff00806193c: 00403691  add	x0, x0, #0xd90
0xfffffff008061940: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061944: 21142a91  add	x1, x1, #0xa85
0xfffffff008061948: 229b8052  mov	w2, #0x4d9
0xfffffff00806194c: b2f71094  bl	#0xfffffff00849f814
0xfffffff008061950: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff008061954: 00b83591  add	x0, x0, #0xd6e
0xfffffff008061958: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff00806195c: 21142a91  add	x1, x1, #0xa85
0xfffffff008061960: 429b8052  mov	w2, #0x4da
0xfffffff008061964: acf71094  bl	#0xfffffff00849f814
0xfffffff008061968: 6080ffb0  adrp	x0, #0xfffffff00706e000
0xfffffff00806196c: 00b83591  add	x0, x0, #0xd6e
0xfffffff008061970: 6180ffb0  adrp	x1, #0xfffffff00706e000
0xfffffff008061974: 21142a91  add	x1, x1, #0xa85
0xfffffff008061978: 42e58052  mov	w2, #0x72a
0xfffffff00806197c: a6f71094  bl	#0xfffffff00849f814
0xfffffff008061980: 7f2303d5  pacibsp	
0xfffffff008061984: ffc301d1  sub	sp, sp, #0x70
0xfffffff008061988: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff00806198c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008061990: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008061994: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008061998: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00806199c: fd830191  add	x29, sp, #0x60
0xfffffff0080619a0: f60306aa  mov	x22, x6
0xfffffff0080619a4: f30304aa  mov	x19, x4
0xfffffff0080619a8: f70302aa  mov	x23, x2
0xfffffff0080619ac: f50301aa  mov	x21, x1
0xfffffff0080619b0: f40300aa  mov	x20, x0
0xfffffff0080619b4: 08346039  ldrb	w8, [x0, #0x80d]
