; Candidate 7196
; ADRP+ADD at VM 0xfffffff00885ea44 (fileoff 0x185aa44): page=0x1fe9c9000 add_imm=0xd48

0xfffffff00885e9c4: e20314aa  mov	x2, x20
0xfffffff00885e9c8: e3031aaa  mov	x3, x26
0xfffffff00885e9cc: ddf6ff97  bl	#0xfffffff00885c540
0xfffffff00885e9d0: 40040034  cbz	w0, #0xfffffff00885ea58
0xfffffff00885e9d4: f90300aa  mov	x25, x0
0xfffffff00885e9d8: 800c8052  mov	w0, #0x64
0xfffffff00885e9dc: 81008052  mov	w1, #4
0xfffffff00885e9e0: 7c730094  bl	#0xfffffff00887b7d0
0xfffffff00885e9e4: 001e0034  cbz	w0, #0xfffffff00885eda4
0xfffffff00885e9e8: 800c8052  mov	w0, #0x64
0xfffffff00885e9ec: 8b730094  bl	#0xfffffff00887b818
0xfffffff00885e9f0: fc0300aa  mov	x28, x0
0xfffffff00885e9f4: ee550194  bl	#0xfffffff0088b41ac
0xfffffff00885e9f8: fb0300aa  mov	x27, x0
0xfffffff00885e9fc: 80008052  mov	w0, #4
0xfffffff00885ea00: 94730094  bl	#0xfffffff00887b850
0xfffffff00885ea04: 7c190034  cbz	w28, #0xfffffff00885ed30
0xfffffff00885ea08: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885ea0c: fae705a9  stp	x26, x25, [sp, #0x58]
0xfffffff00885ea10: f8d304a9  stp	x24, x20, [sp, #0x48]
0xfffffff00885ea14: 894dffd0  adrp	x9, #0xfffffff007210000
0xfffffff00885ea18: 2ab92791  add	x10, x9, #0x9ee
0xfffffff00885ea1c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00885ea20: a84b8052  mov	w8, #0x25d
0xfffffff00885ea24: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885ea28: 29792491  add	x9, x9, #0x91e
0xfffffff00885ea2c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885ea30: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ea34: 08811191  add	x8, x8, #0x460
0xfffffff00885ea38: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885ea3c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885ea40: 880c8052  mov	w8, #0x64
0xfffffff00885ea44: 404effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885ea48: 00203591  add	x0, x0, #0xd48
0xfffffff00885ea4c: fb2300a9  stp	x27, x8, [sp]
0xfffffff00885ea50: 8462d597  bl	#0xfffffff007db7460
0xfffffff00885ea54: d4000014  b	#0xfffffff00885eda4
0xfffffff00885ea58: 08031bcb  sub	x8, x24, x27
0xfffffff00885ea5c: 086105d1  sub	x8, x8, #0x158
0xfffffff00885ea60: 19fd4393  asr	x25, x8, #3
0xfffffff00885ea64: 800c8052  mov	w0, #0x64
0xfffffff00885ea68: c1008052  mov	w1, #6
0xfffffff00885ea6c: 59730094  bl	#0xfffffff00887b7d0
0xfffffff00885ea70: 20300034  cbz	w0, #0xfffffff00885f074
0xfffffff00885ea74: b98314f8  stur	x25, [x29, #-0xb8]
0xfffffff00885ea78: 800c8052  mov	w0, #0x64
0xfffffff00885ea7c: 67730094  bl	#0xfffffff00887b818
0xfffffff00885ea80: f90300aa  mov	x25, x0
0xfffffff00885ea84: ca550194  bl	#0xfffffff0088b41ac
0xfffffff00885ea88: e06300f9  str	x0, [sp, #0xc0]
0xfffffff00885ea8c: c0008052  mov	w0, #6
0xfffffff00885ea90: 70730094  bl	#0xfffffff00887b850
0xfffffff00885ea94: 59190034  cbz	w25, #0xfffffff00885edbc
0xfffffff00885ea98: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885ea9c: 89024079  ldrh	w9, [x20]
0xfffffff00885eaa0: 8a1240b9  ldr	w10, [x20, #0x10]
0xfffffff00885eaa4: ab0357f8  ldur	x11, [x29, #-0x90]
0xfffffff00885eaa8: 0b2800b4  cbz	x11, #0xfffffff00885efa8
0xfffffff00885eaac: 6bc540b9  ldr	w11, [x11, #0xc4]
0xfffffff00885eab0: 3f010014  b	#0xfffffff00885efac
0xfffffff00885eab4: be550194  bl	#0xfffffff0088b41ac
0xfffffff00885eab8: f80300aa  mov	x24, x0
0xfffffff00885eabc: 80008052  mov	w0, #4
0xfffffff00885eac0: 64730094  bl	#0xfffffff00887b850
