; Candidate 11066
; ADRP+ADD at VM 0xfffffff008e47a08 (fileoff 0x1e43a08): page=0x1fecc4000 add_imm=0xd00

0xfffffff008e47988: 7174e1f2  movk	x17, #0xba3, lsl #48
0xfffffff008e4798c: 301ac1da  autda	x16, x17
0xfffffff008e47990: f10310aa  mov	x17, x16
0xfffffff008e47994: f147c1da  xpacd	x17
0xfffffff008e47998: 1f0211eb  cmp	x16, x17
0xfffffff008e4799c: 40000054  b.eq	#0xfffffff008e479a4
0xfffffff008e479a0: 408e38d4  brk	#0xc472
0xfffffff008e479a4: e80310aa  mov	x8, x16
0xfffffff008e479a8: 090240f9  ldr	x9, [x16]
0xfffffff008e479ac: e10315aa  mov	x1, x21
0xfffffff008e479b0: f10308aa  mov	x17, x8
0xfffffff008e479b4: 7191f3f2  movk	x17, #0x9c8b, lsl #48
0xfffffff008e479b8: 31093fd7  blraa	x9, x17
0xfffffff008e479bc: 757a00f9  str	x21, [x19, #0xf0]
0xfffffff008e479c0: 08000014  b	#0xfffffff008e479e0
0xfffffff008e479c4: 681e4ef9  ldr	x8, [x19, #0x1c38]
0xfffffff008e479c8: 09210191  add	x9, x8, #0x48
0xfffffff008e479cc: 1f0100f1  cmp	x8, #0
0xfffffff008e479d0: e203899a  csel	x2, xzr, x9, eq
0xfffffff008e479d4: 21008052  mov	w1, #1
0xfffffff008e479d8: 26020094  bl	#0xfffffff008e48270
0xfffffff008e479dc: 605200f9  str	x0, [x19, #0xa0]
0xfffffff008e479e0: 2066ff90  adrp	x0, #0xfffffff007b0b000
0xfffffff008e479e4: 00002f91  add	x0, x0, #0xbc0
0xfffffff008e479e8: c33ad497  bl	#0xfffffff0083564f4
0xfffffff008e479ec: 681e4ef9  ldr	x8, [x19, #0x1c38]
0xfffffff008e479f0: 09210191  add	x9, x8, #0x48
0xfffffff008e479f4: 1f0100f1  cmp	x8, #0
0xfffffff008e479f8: e203899a  csel	x2, xzr, x9, eq
0xfffffff008e479fc: 41008052  mov	w1, #2
0xfffffff008e47a00: 1c020094  bl	#0xfffffff008e48270
0xfffffff008e47a04: 605a00f9  str	x0, [x19, #0xb0]
0xfffffff008e47a08: 2066ff90  adrp	x0, #0xfffffff007b0b000
0xfffffff008e47a0c: 00003491  add	x0, x0, #0xd00
0xfffffff008e47a10: b93ad497  bl	#0xfffffff0083564f4
0xfffffff008e47a14: e90d0194  bl	#0xfffffff008e8b1b8
0xfffffff008e47a18: 608600f9  str	x0, [x19, #0x108]
0xfffffff008e47a1c: 201500b4  cbz	x0, #0xfffffff008e47cc0
0xfffffff008e47a20: 684640f9  ldr	x8, [x19, #0x88]
0xfffffff008e47a24: 891f8452  mov	w9, #0x20fc
0xfffffff008e47a28: 08696938  ldrb	w8, [x8, x9]
0xfffffff008e47a2c: 68000034  cbz	w8, #0xfffffff008e47a38
0xfffffff008e47a30: 20008052  mov	w0, #1
0xfffffff008e47a34: 78bb0194  bl	#0xfffffff008eb6814
0xfffffff008e47a38: 55708052  mov	w21, #0x382
0xfffffff008e47a3c: 961f8452  mov	w22, #0x20fc
0xfffffff008e47a40: 607a75f8  ldr	x0, [x19, x21, lsl #3]
0xfffffff008e47a44: 400200b4  cbz	x0, #0xfffffff008e47a8c
0xfffffff008e47a48: 100040f9  ldr	x16, [x0]
0xfffffff008e47a4c: f10300aa  mov	x17, x0
0xfffffff008e47a50: b180f7f2  movk	x17, #0xbc05, lsl #48
0xfffffff008e47a54: 301ac1da  autda	x16, x17
0xfffffff008e47a58: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff008e47a5c: e90310aa  mov	x9, x16
0xfffffff008e47a60: e10313aa  mov	x1, x19
0xfffffff008e47a64: f10309aa  mov	x17, x9
0xfffffff008e47a68: 9172f9f2  movk	x17, #0xcb94, lsl #48
0xfffffff008e47a6c: 11093fd7  blraa	x8, x17
0xfffffff008e47a70: 40130036  tbz	w0, #0, #0xfffffff008e47cd8
0xfffffff008e47a74: 684640f9  ldr	x8, [x19, #0x88]
0xfffffff008e47a78: 08697638  ldrb	w8, [x8, x22]
0xfffffff008e47a7c: 88000034  cbz	w8, #0xfffffff008e47a8c
0xfffffff008e47a80: 607a75f8  ldr	x0, [x19, x21, lsl #3]
0xfffffff008e47a84: 21008052  mov	w1, #1
