; Candidate 6898
; ADRP+ADD at VM 0xfffffff008848d78 (fileoff 0x1844d78): page=0x1fe9a1000 add_imm=0xe80

0xfffffff008848cf8: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff008848cfc: eac30191  add	x10, sp, #0x70
0xfffffff008848d00: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff008848d04: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008848d08: a80302d1  sub	x8, x29, #0x80
0xfffffff008848d0c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008848d10: 4350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff008848d14: 63ac0891  add	x3, x3, #0x22b
0xfffffff008848d18: f55300a9  stp	x21, x20, [sp]
0xfffffff008848d1c: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008848d20: 00003a91  add	x0, x0, #0xe80
0xfffffff008848d24: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848d28: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008848d2c: 02008052  mov	w2, #0
0xfffffff008848d30: 00a9eb97  bl	#0xfffffff008333130
0xfffffff008848d34: 19000014  b	#0xfffffff008848d98
0xfffffff008848d38: 68024039  ldrb	w8, [x19]
0xfffffff008848d3c: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff008848d40: 490000b4  cbz	x9, #0xfffffff008848d48
0xfffffff008848d44: 290d40f9  ldr	x9, [x9, #0x18]
0xfffffff008848d48: 6a2e40f9  ldr	x10, [x19, #0x58]
0xfffffff008848d4c: 6082c63c  ldur	q0, [x19, #0x68]
0xfffffff008848d50: 6b3e40f9  ldr	x11, [x19, #0x78]
0xfffffff008848d54: 6c2240b9  ldr	w12, [x19, #0x20]
0xfffffff008848d58: eb2700f9  str	x11, [sp, #0x48]
0xfffffff008848d5c: e083833c  stur	q0, [sp, #0x38]
0xfffffff008848d60: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff008848d64: e9c30191  add	x9, sp, #0x70
0xfffffff008848d68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008848d6c: f3b300a9  stp	x19, x12, [sp, #8]
0xfffffff008848d70: a80302d1  sub	x8, x29, #0x80
0xfffffff008848d74: e80300f9  str	x8, [sp]
0xfffffff008848d78: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008848d7c: 00003a91  add	x0, x0, #0xe80
0xfffffff008848d80: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848d84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008848d88: 4350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff008848d8c: 63f40691  add	x3, x3, #0x1bd
0xfffffff008848d90: 02008052  mov	w2, #0
0xfffffff008848d94: e7a8eb97  bl	#0xfffffff008333130
0xfffffff008848d98: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008848d9c: 098eff90  adrp	x9, #0xfffffff007a08000
0xfffffff008848da0: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008848da4: 290140f9  ldr	x9, [x9]
0xfffffff008848da8: 3f0108eb  cmp	x9, x8
0xfffffff008848dac: 41010054  b.ne	#0xfffffff008848dd4
0xfffffff008848db0: 00008052  mov	w0, #0
0xfffffff008848db4: fd7b57a9  ldp	x29, x30, [sp, #0x170]
0xfffffff008848db8: f44f56a9  ldp	x20, x19, [sp, #0x160]
0xfffffff008848dbc: f65755a9  ldp	x22, x21, [sp, #0x150]
0xfffffff008848dc0: f85f54a9  ldp	x24, x23, [sp, #0x140]
0xfffffff008848dc4: fa6753a9  ldp	x26, x25, [sp, #0x130]
0xfffffff008848dc8: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff008848dcc: ff030691  add	sp, sp, #0x180
0xfffffff008848dd0: ff0f5fd6  retab	
0xfffffff008848dd4: 1e54d497  bl	#0xfffffff007d5de4c
0xfffffff008848dd8: 7f2303d5  pacibsp	
0xfffffff008848ddc: ff4302d1  sub	sp, sp, #0x90
0xfffffff008848de0: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008848de4: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008848de8: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008848dec: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008848df0: fd030291  add	x29, sp, #0x80
0xfffffff008848df4: f50302aa  mov	x21, x2
