; Candidate 9596
; ADRP+ADD at VM 0xfffffff008a7ef98 (fileoff 0x1a7af98): page=0x1861000 add_imm=0xe40

0xfffffff008a7ef18: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a7ef1c: e90310aa  mov	x9, x16
0xfffffff008a7ef20: e00313aa  mov	x0, x19
0xfffffff008a7ef24: f10309aa  mov	x17, x9
0xfffffff008a7ef28: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a7ef2c: 11093fd7  blraa	x8, x17
0xfffffff008a7ef30: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008a7ef34: 297fffb0  adrp	x9, #0xfffffff007a63000
0xfffffff008a7ef38: 298141f9  ldr	x9, [x9, #0x300]
0xfffffff008a7ef3c: 290140f9  ldr	x9, [x9]
0xfffffff008a7ef40: 3f0108eb  cmp	x9, x8
0xfffffff008a7ef44: 01010054  b.ne	#0xfffffff008a7ef64
0xfffffff008a7ef48: 00008052  mov	w0, #0
0xfffffff008a7ef4c: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff008a7ef50: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff008a7ef54: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff008a7ef58: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff008a7ef5c: ff830591  add	sp, sp, #0x160
0xfffffff008a7ef60: ff0f5fd6  retab	
0xfffffff008a7ef64: ba7bcb97  bl	#0xfffffff007d5de4c
0xfffffff008a7ef68: 5f2403d5  bti	c
0xfffffff008a7ef6c: e295e117  b	#0xfffffff0082e46f4
0xfffffff008a7ef70: 5f2403d5  bti	c
0xfffffff008a7ef74: c0035fd6  ret	
0xfffffff008a7ef78: 5f2403d5  bti	c
0xfffffff008a7ef7c: de95e117  b	#0xfffffff0082e46f4
0xfffffff008a7ef80: 5f2403d5  bti	c
0xfffffff008a7ef84: dc95e117  b	#0xfffffff0082e46f4
0xfffffff008a7ef88: 7f2303d5  pacibsp	
0xfffffff008a7ef8c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a7ef90: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a7ef94: fd430091  add	x29, sp, #0x10
0xfffffff008a7ef98: 00c300b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7ef9c: 00003991  add	x0, x0, #0xe40
0xfffffff008a7efa0: a141ff90  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7efa4: 21681191  add	x1, x1, #0x45a
0xfffffff008a7efa8: 337fffb0  adrp	x19, #0xfffffff007a63000
0xfffffff008a7efac: 736241f9  ldr	x19, [x19, #0x2c0]
0xfffffff008a7efb0: e20313aa  mov	x2, x19
0xfffffff008a7efb4: 03128052  mov	w3, #0x90
0xfffffff008a7efb8: e092e197  bl	#0xfffffff0082e3b38
0xfffffff008a7efbc: 307ffff0  adrp	x16, #0xfffffff007a65000
0xfffffff008a7efc0: 10822a91  add	x16, x16, #0xaa0
0xfffffff008a7efc4: 10420091  add	x16, x16, #0x10
0xfffffff008a7efc8: f10300aa  mov	x17, x0
0xfffffff008a7efcc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7efd0: 300ac1da  pacda	x16, x17
0xfffffff008a7efd4: 100000f9  str	x16, [x0]
0xfffffff008a7efd8: 00c300b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7efdc: 00a03991  add	x0, x0, #0xe68
0xfffffff008a7efe0: a141ff90  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7efe4: 21d01291  add	x1, x1, #0x4b4
0xfffffff008a7efe8: 227fffb0  adrp	x2, #0xfffffff007a63000
0xfffffff008a7efec: 423841f9  ldr	x2, [x2, #0x270]
0xfffffff008a7eff0: 03248052  mov	w3, #0x120
0xfffffff008a7eff4: d192e197  bl	#0xfffffff0082e3b38
0xfffffff008a7eff8: 507fff90  adrp	x16, #0xfffffff007a66000
0xfffffff008a7effc: 10c20391  add	x16, x16, #0xf0
0xfffffff008a7f000: 10420091  add	x16, x16, #0x10
0xfffffff008a7f004: f10300aa  mov	x17, x0
0xfffffff008a7f008: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7f00c: 300ac1da  pacda	x16, x17
0xfffffff008a7f010: 100000f9  str	x16, [x0]
0xfffffff008a7f014: 00c30090  adrp	x0, #0xfffffff00a2df000
