; Candidate 4214
; ADRP+ADD at VM 0xfffffff008796bd4 (fileoff 0x1792bd4): page=0x1fe99b000 add_imm=0xd90

0xfffffff008796b54: f40302aa  mov	x20, x2
0xfffffff008796b58: f50301aa  mov	x21, x1
0xfffffff008796b5c: f60300aa  mov	x22, x0
0xfffffff008796b60: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff008796b64: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008796b68: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008796b6c: 795c8052  mov	w25, #0x2e3
0xfffffff008796b70: 1900bc72  movk	w25, #0xe000, lsl #16
0xfffffff008796b74: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008796b78: e0c30091  add	x0, sp, #0x30
0xfffffff008796b7c: 01008052  mov	w1, #0
0xfffffff008796b80: 02098052  mov	w2, #0x48
0xfffffff008796b84: 0fd8d697  bl	#0xfffffff007d4cbc0
0xfffffff008796b88: f61b00f9  str	x22, [sp, #0x30]
0xfffffff008796b8c: c84241b9  ldr	w8, [x22, #0x140]
0xfffffff008796b90: e83b00b9  str	w8, [sp, #0x38]
0xfffffff008796b94: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff008796b98: c06e40f9  ldr	x0, [x22, #0xd8]
0xfffffff008796b9c: e1c30091  add	x1, sp, #0x30
0xfffffff008796ba0: 82018052  mov	w2, #0xc
0xfffffff008796ba4: dbaffe97  bl	#0xfffffff008742b10
0xfffffff008796ba8: f80300aa  mov	x24, x0
0xfffffff008796bac: 1f00196b  cmp	w0, w25
0xfffffff008796bb0: c1040054  b.ne	#0xfffffff008796c48
0xfffffff008796bb4: 1a008052  mov	w26, #0
0xfffffff008796bb8: c84241b9  ldr	w8, [x22, #0x140]
0xfffffff008796bbc: c9726cb9  ldr	w9, [x22, #0x2c70]
0xfffffff008796bc0: f76302a9  stp	x23, x24, [sp, #0x20]
0xfffffff008796bc4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008796bc8: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008796bcc: 086d0d91  add	x8, x8, #0x35b
0xfffffff008796bd0: e86b00a9  stp	x8, x26, [sp]
0xfffffff008796bd4: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796bd8: 00403691  add	x0, x0, #0xd90
0xfffffff008796bdc: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796be0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796be4: 834dffd0  adrp	x3, #0xfffffff007148000
0xfffffff008796be8: 63d01691  add	x3, x3, #0x5b4
0xfffffff008796bec: 02008052  mov	w2, #0
0xfffffff008796bf0: 5071ee97  bl	#0xfffffff008333130
0xfffffff008796bf4: c86e40f9  ldr	x8, [x22, #0xd8]
0xfffffff008796bf8: c9726cb9  ldr	w9, [x22, #0x2c70]
0xfffffff008796bfc: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff008796c00: 005d40f9  ldr	x0, [x8, #0xb8]
0xfffffff008796c04: 63dffe97  bl	#0xfffffff00874e990
0xfffffff008796c08: f8000035  cbnz	w24, #0xfffffff008796c24
0xfffffff008796c0c: 18008052  mov	w24, #0
0xfffffff008796c10: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff008796c14: a80200f9  str	x8, [x21]
0xfffffff008796c18: e9234929  ldp	w9, w8, [sp, #0x48]
0xfffffff008796c1c: 880200b9  str	w8, [x20]
0xfffffff008796c20: 690200b9  str	w9, [x19]
0xfffffff008796c24: e00318aa  mov	x0, x24
0xfffffff008796c28: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008796c2c: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff008796c30: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff008796c34: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff008796c38: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff008796c3c: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff008796c40: ff830391  add	sp, sp, #0xe0
0xfffffff008796c44: ff0f5fd6  retab	
0xfffffff008796c48: 1b008052  mov	w27, #0
0xfffffff008796c4c: 18feff34  cbz	w24, #0xfffffff008796c0c
0xfffffff008796c50: 20008052  mov	w0, #1
