; Candidate 13751
; ADRP+ADD at VM 0xfffffff00956f790 (fileoff 0x256b790): page=0x1fdfed000 add_imm=0xcf9

0xfffffff00956f710: c1020054  b.ne	#0xfffffff00956f768
0xfffffff00956f714: 9c1e40b9  ldr	w28, [x20, #0x1c]
0xfffffff00956f718: fa040034  cbz	w26, #0xfffffff00956f7b4
0xfffffff00956f71c: 1c050034  cbz	w28, #0xfffffff00956f7bc
0xfffffff00956f720: 9f031a6b  cmp	w28, w26
0xfffffff00956f724: c0040054  b.eq	#0xfffffff00956f7bc
0xfffffff00956f728: 9f03186b  cmp	w28, w24
0xfffffff00956f72c: 80040054  b.eq	#0xfffffff00956f7bc
0xfffffff00956f730: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f734: 190900f9  str	x25, [x8, #0x10]
0xfffffff00956f738: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff00956f73c: 891e40b9  ldr	w9, [x20, #0x1c]
0xfffffff00956f740: 163a0034  cbz	w22, #0xfffffff00956fe80
0xfffffff00956f744: e9eb01a9  stp	x9, x26, [sp, #0x18]
0xfffffff00956f748: f9e700a9  stp	x25, x25, [sp, #8]
0xfffffff00956f74c: e80300f9  str	x8, [sp]
0xfffffff00956f750: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956f754: 00f43591  add	x0, x0, #0xd7d
0xfffffff00956f758: 421fa197  bl	#0xfffffff007db7460
0xfffffff00956f75c: 16008052  mov	w22, #0
0xfffffff00956f760: fb0319aa  mov	x27, x25
0xfffffff00956f764: 9affff17  b	#0xfffffff00956f5cc
0xfffffff00956f768: 163e0034  cbz	w22, #0xfffffff00956ff28
0xfffffff00956f76c: e9bf40b9  ldr	w9, [sp, #0xbc]
0xfffffff00956f770: c93d0034  cbz	w9, #0xfffffff00956ff28
0xfffffff00956f774: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f778: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f77c: 3f0309eb  cmp	x25, x9
0xfffffff00956f780: 00010054  b.eq	#0xfffffff00956f7a0
0xfffffff00956f784: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff00956f788: f9e700a9  stp	x25, x25, [sp, #8]
0xfffffff00956f78c: e80300f9  str	x8, [sp]
0xfffffff00956f790: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956f794: 00e43391  add	x0, x0, #0xcf9
0xfffffff00956f798: 321fa197  bl	#0xfffffff007db7460
0xfffffff00956f79c: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f7a0: 15008052  mov	w21, #0
0xfffffff00956f7a4: 190900f9  str	x25, [x8, #0x10]
0xfffffff00956f7a8: 28008052  mov	w8, #1
0xfffffff00956f7ac: e8bf00b9  str	w8, [sp, #0xbc]
0xfffffff00956f7b0: 84ffff17  b	#0xfffffff00956f5c0
0xfffffff00956f7b4: bb8357f8  ldur	x27, [x29, #-0x88]
0xfffffff00956f7b8: 02000014  b	#0xfffffff00956f7c0
0xfffffff00956f7bc: f70316aa  mov	x23, x22
0xfffffff00956f7c0: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f7c4: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f7c8: 3f0309eb  cmp	x25, x9
0xfffffff00956f7cc: eb030054  b.lt	#0xfffffff00956f848
0xfffffff00956f7d0: 090540f9  ldr	x9, [x8, #8]
0xfffffff00956f7d4: 0a0940f9  ldr	x10, [x8, #0x10]
0xfffffff00956f7d8: 3f010aeb  cmp	x9, x10
0xfffffff00956f7dc: 6c030054  b.gt	#0xfffffff00956f848
0xfffffff00956f7e0: 692240f9  ldr	x9, [x19, #0x40]
0xfffffff00956f7e4: 9c020035  cbnz	w28, #0xfffffff00956f834
0xfffffff00956f7e8: 0a0540f9  ldr	x10, [x8, #8]
0xfffffff00956f7ec: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff00956f7f0: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff00956f7f4: e90300f9  str	x9, [sp]
0xfffffff00956f7f8: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956f7fc: 00243891  add	x0, x0, #0xe09
0xfffffff00956f800: 181fa197  bl	#0xfffffff007db7460
0xfffffff00956f804: 1a008052  mov	w26, #0
0xfffffff00956f808: 15008052  mov	w21, #0
0xfffffff00956f80c: 685a40f9  ldr	x8, [x19, #0xb0]
