; Candidate 16471
; ADRP+ADD at VM 0xfffffff009eba6cc (fileoff 0x2eb66cc): page=0x1fd986000 add_imm=0xd7d

0xfffffff009eba64c: 20020034  cbz	w0, #0xfffffff009eba690
0xfffffff009eba650: 88ccfe90  adrp	x8, #0xfffffff00784a000
0xfffffff009eba654: 089d0691  add	x8, x8, #0x1a7
0xfffffff009eba658: 1fa80171  cmp	w0, #0x6a
0xfffffff009eba65c: 88000054  b.hi	#0xfffffff009eba66c
0xfffffff009eba660: c8f3fed0  adrp	x8, #0xfffffff007d34000
0xfffffff009eba664: 08011191  add	x8, x8, #0x440
0xfffffff009eba668: 085960f8  ldr	x8, [x8, w0, uxtw #3]
0xfffffff009eba66c: 896640f9  ldr	x9, [x20, #0xc8]
0xfffffff009eba670: 298942f9  ldr	x9, [x9, #0x510]
0xfffffff009eba674: e02302a9  stp	x0, x8, [sp, #0x20]
0xfffffff009eba678: e96f01a9  stp	x9, x27, [sp, #0x10]
0xfffffff009eba67c: 488b8152  mov	w8, #0xc5a
0xfffffff009eba680: f52300a9  stp	x21, x8, [sp]
0xfffffff009eba684: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba688: 00d83391  add	x0, x0, #0xcf6
0xfffffff009eba68c: 12000014  b	#0xfffffff009eba6d4
0xfffffff009eba690: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009eba694: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009eba698: 892b4329  ldp	w9, w10, [x28, #0x18]
0xfffffff009eba69c: 3f491872  tst	w9, #0x7ffff00
0xfffffff009eba6a0: e0000054  b.eq	#0xfffffff009eba6bc
0xfffffff009eba6a4: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009eba6a8: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009eba6ac: f56700a9  stp	x21, x25, [sp]
0xfffffff009eba6b0: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba6b4: 00843491  add	x0, x0, #0xd21
0xfffffff009eba6b8: 07000014  b	#0xfffffff009eba6d4
0xfffffff009eba6bc: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009eba6c0: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009eba6c4: 488c8152  mov	w8, #0xc62
0xfffffff009eba6c8: f52300a9  stp	x21, x8, [sp]
0xfffffff009eba6cc: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba6d0: 00f43591  add	x0, x0, #0xd7d
0xfffffff009eba6d4: 7c14ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba6d8: 73060091  add	x19, x19, #1
0xfffffff009eba6dc: 5f0313eb  cmp	x26, x19
0xfffffff009eba6e0: 01faff54  b.ne	#0xfffffff009eba620
0xfffffff009eba6e4: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009eba6e8: 081e00b4  cbz	x8, #0xfffffff009ebaaa8
0xfffffff009eba6ec: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009eba6f0: 098942f9  ldr	x9, [x8, #0x510]
0xfffffff009eba6f4: fbeb01a9  stp	x27, x26, [sp, #0x18]
0xfffffff009eba6f8: 888d8152  mov	w8, #0xc6c
0xfffffff009eba6fc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009eba700: 28ccfed0  adrp	x8, #0xfffffff007840000
0xfffffff009eba704: 08b13191  add	x8, x8, #0xc6c
0xfffffff009eba708: e80300f9  str	x8, [sp]
0xfffffff009eba70c: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba710: 00e03691  add	x0, x0, #0xdb8
0xfffffff009eba714: 6c14ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba718: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba71c: f9031baa  mov	x25, x27
0xfffffff009eba720: ffab00f9  str	xzr, [sp, #0x150]
0xfffffff009eba724: e08309ad  stp	q0, q0, [sp, #0x130]
0xfffffff009eba728: e83740f9  ldr	x8, [sp, #0x68]
0xfffffff009eba72c: 1f050071  cmp	w8, #1
0xfffffff009eba730: 4b040054  b.lt	#0xfffffff009eba7b8
0xfffffff009eba734: f5cf45a9  ldp	x21, x19, [sp, #0x58]
0xfffffff009eba738: 600240f9  ldr	x0, [x19]
0xfffffff009eba73c: 800300b4  cbz	x0, #0xfffffff009eba7ac
0xfffffff009eba740: bf0310f8  stur	xzr, [x29, #-0x100]
0xfffffff009eba744: 089c40f9  ldr	x8, [x0, #0x138]
0xfffffff009eba748: c80000b4  cbz	x8, #0xfffffff009eba760
