; Candidate 6435
; ADRP+ADD at VM 0xfffffff00882b1c8 (fileoff 0x18271c8): page=0x1fe9be000 add_imm=0xe80

0xfffffff00882b148: 81008052  mov	w1, #4
0xfffffff00882b14c: a1410194  bl	#0xfffffff00887b7d0
0xfffffff00882b150: e0060034  cbz	w0, #0xfffffff00882b22c
0xfffffff00882b154: a00a8052  mov	w0, #0x55
0xfffffff00882b158: b0410194  bl	#0xfffffff00887b818
0xfffffff00882b15c: f50300aa  mov	x21, x0
0xfffffff00882b160: 13240294  bl	#0xfffffff0088b41ac
0xfffffff00882b164: f40300aa  mov	x20, x0
0xfffffff00882b168: 80008052  mov	w0, #4
0xfffffff00882b16c: b9410194  bl	#0xfffffff00887b850
0xfffffff00882b170: 15040034  cbz	w21, #0xfffffff00882b1f0
0xfffffff00882b174: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff00882b178: a80a8052  mov	w8, #0x55
0xfffffff00882b17c: f42300a9  stp	x20, x8, [sp]
0xfffffff00882b180: a04ffff0  adrp	x0, #0xfffffff007222000
0xfffffff00882b184: 00840491  add	x0, x0, #0x121
0xfffffff00882b188: b630d697  bl	#0xfffffff007db7460
0xfffffff00882b18c: 28000014  b	#0xfffffff00882b22c
0xfffffff00882b190: 07240294  bl	#0xfffffff0088b41ac
0xfffffff00882b194: f50300aa  mov	x21, x0
0xfffffff00882b198: 80008052  mov	w0, #4
0xfffffff00882b19c: ad410194  bl	#0xfffffff00887b850
0xfffffff00882b1a0: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00882b1a4: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b1a8: 08d90391  add	x8, x8, #0xf6
0xfffffff00882b1ac: e91d8052  mov	w9, #0xef
0xfffffff00882b1b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00882b1b4: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882b1b8: 08a10391  add	x8, x8, #0xe8
0xfffffff00882b1bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882b1c0: a80a8052  mov	w8, #0x55
0xfffffff00882b1c4: f52300a9  stp	x21, x8, [sp]
0xfffffff00882b1c8: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b1cc: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b1d0: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b1d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b1d8: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b1dc: 63d00b91  add	x3, x3, #0x2f4
0xfffffff00882b1e0: 02008052  mov	w2, #0
0xfffffff00882b1e4: d31fec97  bl	#0xfffffff008333130
0xfffffff00882b1e8: 007d8012  mov	w0, #-0x3e9
0xfffffff00882b1ec: 11000014  b	#0xfffffff00882b230
0xfffffff00882b1f0: ef230294  bl	#0xfffffff0088b41ac
0xfffffff00882b1f4: f40300aa  mov	x20, x0
0xfffffff00882b1f8: 80008052  mov	w0, #4
0xfffffff00882b1fc: 95410194  bl	#0xfffffff00887b850
0xfffffff00882b200: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff00882b204: a80a8052  mov	w8, #0x55
0xfffffff00882b208: f42300a9  stp	x20, x8, [sp]
0xfffffff00882b20c: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882b210: 00003a91  add	x0, x0, #0xe80
0xfffffff00882b214: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882b218: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882b21c: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882b220: 63980c91  add	x3, x3, #0x326
0xfffffff00882b224: 02008052  mov	w2, #0
0xfffffff00882b228: c21fec97  bl	#0xfffffff008333130
0xfffffff00882b22c: c07e8012  mov	w0, #-0x3f7
0xfffffff00882b230: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00882b234: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00882b238: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00882b23c: ffc30191  add	sp, sp, #0x70
0xfffffff00882b240: ff0f5fd6  retab	
0xfffffff00882b244: 7f2303d5  pacibsp	
